Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26,Load_MW_z27,Load_MW_z28,Load_MW_z29,Load_MW_z30,Load_MW_z31,Load_MW_z32,Load_MW_z33,Load_MW_z34,Load_MW_z35,Load_MW_z36,Load_MW_z37,Load_MW_z38,Load_MW_z39,Load_MW_z40,Load_MW_z41,Load_MW_z42,Load_MW_z43,Load_MW_z44,Load_MW_z45,Load_MW_z46,Load_MW_z47,Load_MW_z48,Load_MW_z49,Load_MW_z50,Load_MW_z51,Load_MW_z52,Load_MW_z53,Load_MW_z54,Load_MW_z55,Load_MW_z56,Load_MW_z57,Load_MW_z58,Load_MW_z59,Load_MW_z60,Load_MW_z61,Load_MW_z62,Load_MW_z63,Load_MW_z64,Load_MW_z65,Load_MW_z66,Load_MW_z67,Load_MW_z68,Load_MW_z69,Load_MW_z70,Load_MW_z71,Load_MW_z72,Load_MW_z73,Load_MW_z74,Load_MW_z75,Load_MW_z76,Load_MW_z77,Load_MW_z78,Load_MW_z79,Load_MW_z80,Load_MW_z81
2000,1,1,1,2000,1,24,24,1,9252.946955,6662.121807,0,0,3701.178782,0,1850.589391,0,10.36330059,8.882829077,11.10353635,0,7.402357564,11.8437721,12.58400786,0,5.551768173,0,0,7.402357564,4.441414538,15.54495088,16.65530452,0,0,0,7.032239686,8.14259332,9.252946955,11.47365422,7.772475442,8.14259332,20.72660118,3.331060904,6.662121807,9.993182711,5.551768173,14.80471513,3.331060904,6.662121807,18.50589391,0,0,0,0,8.882829077,11.8437721,8.14259332,6.292003929,4.811532417,9.623064833,6.292003929,7.402357564,6.292003929,6.662121807,7.032239686,5.551768173,9.252946955,9.993182711,7.402357564,3.331060904,24.05766208,14.06447937,0,11.10353635,11.47365422,8.14259332,7.402357564,8.512711198,14.43459725,24.05766208,15.54495088,0,17.0254224,0,0,0,0,11.10353635,10.36330059,0
,2,0.9,0.04,1800,,,,2,9252.946955,6662.121807,0,0,3701.178782,0,1850.589391,0,10.36330059,8.882829077,11.10353635,0,7.402357564,11.8437721,12.58400786,0,5.551768173,0,0,7.402357564,4.441414538,15.54495088,16.65530452,0,0,0,7.032239686,8.14259332,9.252946955,11.47365422,7.772475442,8.14259332,20.72660118,3.331060904,6.662121807,9.993182711,5.551768173,14.80471513,3.331060904,6.662121807,18.50589391,0,0,0,0,8.882829077,11.8437721,8.14259332,6.292003929,4.811532417,9.623064833,6.292003929,7.402357564,6.292003929,6.662121807,7.032239686,5.551768173,9.252946955,9.993182711,7.402357564,3.331060904,24.05766208,14.06447937,0,11.10353635,11.47365422,8.14259332,7.402357564,8.512711198,14.43459725,24.05766208,15.54495088,0,17.0254224,0,0,0,0,11.10353635,10.36330059,0
,3,0.55,0.024,1100,,,,3,7102.1611,5113.555992,0,0,2840.86444,0,1420.43222,0,7.954420432,6.818074656,8.52259332,0,5.68172888,9.090766208,9.658939096,0,4.26129666,0,0,5.68172888,3.409037328,11.93163065,12.78388998,0,0,0,5.397642436,6.249901768,7.1021611,8.806679764,5.965815324,6.249901768,15.90884086,2.556777996,5.113555992,7.670333988,4.26129666,11.36345776,2.556777996,5.113555992,14.2043222,0,0,0,0,6.818074656,9.090766208,6.249901768,4.829469548,3.693123772,7.386247544,4.829469548,5.68172888,4.829469548,5.113555992,5.397642436,4.26129666,7.1021611,7.670333988,5.68172888,2.556777996,18.46561886,10.79528487,0,8.52259332,8.806679764,6.249901768,5.68172888,6.533988212,11.07937132,18.46561886,11.93163065,0,13.06797642,0,0,0,0,8.52259332,7.954420432,0
,4,0.2,0.003,400,,,,4,6113.948919,4402.043222,0,0,2445.579568,0,1222.789784,0,6.84762279,5.869390963,7.336738703,0,4.891159136,7.825854617,8.31497053,0,3.668369352,0,0,4.891159136,2.934695481,10.27143418,11.00510806,0,0,0,4.646601179,5.380275049,6.113948919,7.58129666,5.135717092,5.380275049,13.69524558,2.201021611,4.402043222,6.603064833,3.668369352,9.782318271,2.201021611,4.402043222,12.22789784,0,0,0,0,5.869390963,7.825854617,5.380275049,4.157485265,3.179253438,6.358506876,4.157485265,4.891159136,4.157485265,4.402043222,4.646601179,3.668369352,6.113948919,6.603064833,4.891159136,2.201021611,15.89626719,9.293202358,0,7.336738703,7.58129666,5.380275049,4.891159136,5.624833006,9.537760314,15.89626719,10.27143418,0,11.24966601,0,0,0,0,7.336738703,6.84762279,0
,,,,,,,,5,5660.117878,4075.284872,0,0,2264.047151,0,1132.023576,0,6.339332024,5.433713163,6.792141454,0,4.528094303,7.244950884,7.697760314,0,3.396070727,0,0,4.528094303,2.716856582,9.508998035,10.18821218,0,0,0,4.301689587,4.980903733,5.660117878,7.018546169,4.754499018,4.980903733,12.67866405,2.037642436,4.075284872,6.112927308,3.396070727,9.056188605,2.037642436,4.075284872,11.32023576,0,0,0,0,5.433713163,7.244950884,4.980903733,3.848880157,2.943261297,5.886522593,3.848880157,4.528094303,3.848880157,4.075284872,4.301689587,3.396070727,5.660117878,6.112927308,4.528094303,2.037642436,14.71630648,8.603379175,0,6.792141454,7.018546169,4.980903733,4.528094303,5.207308448,8.82978389,14.71630648,9.508998035,0,10.4146169,0,0,0,0,6.792141454,6.339332024,0
,,,,,,,,6,4853.143418,3494.263261,0,0,1941.257367,0,970.6286837,0,5.435520629,4.659017682,5.823772102,0,3.882514735,6.212023576,6.600275049,0,2.911886051,0,0,3.882514735,2.329508841,8.153280943,8.735658153,0,0,0,3.688388998,4.270766208,4.853143418,6.017897839,4.076640472,4.270766208,10.87104126,1.747131631,3.494263261,5.241394892,2.911886051,7.76502947,1.747131631,3.494263261,9.706286837,0,0,0,0,4.659017682,6.212023576,4.270766208,3.300137525,2.523634578,5.047269155,3.300137525,3.882514735,3.300137525,3.494263261,3.688388998,2.911886051,4.853143418,5.241394892,3.882514735,1.747131631,12.61817289,7.376777996,0,5.823772102,6.017897839,4.270766208,3.882514735,4.464891945,7.570903733,12.61817289,8.153280943,0,8.92978389,0,0,0,0,5.823772102,5.435520629,0
,,,,,,,,7,3356.090373,2416.385069,0,0,1342.436149,0,671.2180747,0,3.758821218,3.221846758,4.027308448,0,2.684872299,4.295795678,4.564282908,0,2.013654224,0,0,2.684872299,1.610923379,5.638231827,6.040962672,0,0,0,2.550628684,2.953359528,3.356090373,4.161552063,2.819115914,2.953359528,7.517642436,1.208192534,2.416385069,3.624577603,2.013654224,5.369744597,1.208192534,2.416385069,6.712180747,0,0,0,0,3.221846758,4.295795678,2.953359528,2.282141454,1.745166994,3.490333988,2.282141454,2.684872299,2.282141454,2.416385069,2.550628684,2.013654224,3.356090373,3.624577603,2.684872299,1.208192534,8.725834971,5.101257367,0,4.027308448,4.161552063,2.953359528,2.684872299,3.087603143,5.235500982,8.725834971,5.638231827,0,6.175206287,0,0,0,0,4.027308448,3.758821218,0
,,,,,,,,8,3227.40668,2323.732809,0,0,1290.962672,0,645.481336,0,3.614695481,3.098310413,3.872888016,0,2.581925344,4.13108055,4.389273084,0,1.936444008,0,0,2.581925344,1.549155206,5.422043222,5.809332024,0,0,0,2.452829077,2.840117878,3.22740668,4.001984283,2.711021611,2.840117878,7.229390963,1.161866405,2.323732809,3.485599214,1.936444008,5.163850688,1.161866405,2.323732809,6.45481336,0,0,0,0,3.098310413,4.13108055,2.840117878,2.194636542,1.678251473,3.356502947,2.194636542,2.581925344,2.194636542,2.323732809,2.452829077,1.936444008,3.22740668,3.485599214,2.581925344,1.161866405,8.391257367,4.905658153,0,3.872888016,4.001984283,2.840117878,2.581925344,2.969214145,5.03475442,8.391257367,5.422043222,0,5.938428291,0,0,0,0,3.872888016,3.614695481,0
,,,,,,,,9,3575.147348,2574.10609,0,0,1430.058939,0,715.0294695,0,4.004165029,3.432141454,4.290176817,0,2.860117878,4.576188605,4.862200393,0,2.145088409,0,0,2.860117878,1.716070727,6.006247544,6.435265226,0,0,0,2.717111984,3.146129666,3.575147348,4.433182711,3.003123772,3.146129666,8.008330059,1.287053045,2.57410609,3.861159136,2.145088409,5.720235756,1.287053045,2.57410609,7.150294695,0,0,0,0,3.432141454,4.576188605,3.146129666,2.431100196,1.859076621,3.718153242,2.431100196,2.860117878,2.431100196,2.57410609,2.717111984,2.145088409,3.575147348,3.861159136,2.860117878,1.287053045,9.295383104,5.434223969,0,4.290176817,4.433182711,3.146129666,2.860117878,3.28913556,5.577229862,9.295383104,6.006247544,0,6.57827112,0,0,0,0,4.290176817,4.004165029,0
,,,,,,,,10,4707.760314,3389.587426,0,0,1883.104126,0,941.5520629,0,5.272691552,4.519449902,5.649312377,0,3.766208251,6.025933202,6.402554028,0,2.824656189,0,0,3.766208251,2.259724951,7.909037328,8.473968566,0,0,0,3.577897839,4.142829077,4.707760314,5.83762279,3.954518664,4.142829077,10.5453831,1.694793713,3.389587426,5.084381139,2.824656189,7.532416503,1.694793713,3.389587426,9.415520629,0,0,0,0,4.519449902,6.025933202,4.142829077,3.201277014,2.448035363,4.896070727,3.201277014,3.766208251,3.201277014,3.389587426,3.577897839,2.824656189,4.707760314,5.084381139,3.766208251,1.694793713,12.24017682,7.155795678,0,5.649312377,5.83762279,4.142829077,3.766208251,4.331139489,7.34410609,12.24017682,7.909037328,0,8.662278978,0,0,0,0,5.649312377,5.272691552,0
