Time_Index,USA_Single_conventional_hydroelectric_1.0_old,USA_Single_nuclear_1.0_old,USA_Single_naturalgas_ccavgcf_mid_0.0_old,USA_Single_landbasedwind_ltrg1_low_40_1.0_old,USA_Single_landbasedwind_ltrg1_low_40_2.0_old,USA_Single_landbasedwind_ltrg1_low_40_4.0_old,USA_Single_utilitypv_losangeles_low_0_2_1.0_old,USA_Single_utilitypv_losangeles_low_0_2_2.0_old,USA_Single_utilitypv_losangeles_low_0_2_4.0_old,USA_Single_utilitypv_losangeles_low_0_2_5.0_old,USA_Single_utilitypv_losangeles_low_0_2_7.0_old,USA_Single_utilitypv_losangeles_low_0_2_11.0_old,USA_Single_utilitypv_losangeles_low_0_2_13.0_old,USA_Single_utilitypv_losangeles_low_0_2_15.0_old,USA_Single_naturalgas_ccccsavgcf_mid_0.0,USA_Single_naturalgas_ccavgcf_mid_0.0,USA_Single_naturalgas_ctavgcf_mid_0.0,USA_Single_battery_high_0.0,USA_Single_netl_ngcc_0.0,USA_Single_netl_ngcc_ccs_0.0,USA_Single_naturalgas_ccs100_mid_0.0,USA_Single_landbasedwind_ltrg1_low_40_1.0,USA_Single_landbasedwind_ltrg1_low_40_2.0,USA_Single_landbasedwind_ltrg1_low_40_3.0,USA_Single_landbasedwind_ltrg1_low_40_4.0,USA_Single_landbasedwind_ltrg1_low_40_5.0,USA_Single_landbasedwind_ltrg1_low_40_6.0,USA_Single_landbasedwind_ltrg1_low_40_7.0,USA_Single_landbasedwind_ltrg1_low_40_8.0,USA_Single_landbasedwind_ltrg1_low_40_9.0,USA_Single_landbasedwind_ltrg1_low_40_10.0,USA_Single_landbasedwind_ltrg1_low_40_11.0,USA_Single_landbasedwind_ltrg1_low_40_12.0,USA_Single_landbasedwind_ltrg1_low_40_13.0,USA_Single_landbasedwind_ltrg1_low_40_14.0,USA_Single_landbasedwind_ltrg1_low_40_15.0,USA_Single_utilitypv_losangeles_low_0_2_1.0,USA_Single_utilitypv_losangeles_low_0_2_2.0,USA_Single_utilitypv_losangeles_low_0_2_3.0,USA_Single_utilitypv_losangeles_low_0_2_4.0,USA_Single_utilitypv_losangeles_low_0_2_5.0,USA_Single_utilitypv_losangeles_low_0_2_6.0,USA_Single_utilitypv_losangeles_low_0_2_7.0,USA_Single_utilitypv_losangeles_low_0_2_8.0,USA_Single_utilitypv_losangeles_low_0_2_9.0,USA_Single_utilitypv_losangeles_low_0_2_10.0,USA_Single_utilitypv_losangeles_low_0_2_11.0,USA_Single_utilitypv_losangeles_low_0_2_12.0,USA_Single_utilitypv_losangeles_low_0_2_13.0,USA_Single_utilitypv_losangeles_low_0_2_14.0,USA_Single_utilitypv_losangeles_low_0_2_15.0,USA_Single_ev_load_shifting_1.0
0,0.370200244,1,1,0.928670406,0.953046083,0.739884555,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.928670406,0.953046083,0.802534938,0.739884555,0.837687433,0.660106838,0.960845053,0.980993509,0.758785963,0.935123801,0.958139896,0.864182889,0.965743244,0.726266623,0.96185565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14083425
1,0.370271512,1,1,0.932729781,0.932945549,0.702272177,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.932729781,0.932945549,0.836108029,0.702272177,0.824138165,0.640037298,0.966077626,0.982577443,0.80137682,0.929945469,0.937511683,0.846429586,0.972563565,0.639858723,0.967054069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100754499
2,0.370315289,1,1,0.800678611,0.891806006,0.646454811,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.800678611,0.891806006,0.79348731,0.646454811,0.815459788,0.667685747,0.960763276,0.969444096,0.759019613,0.718094766,0.900267601,0.820186615,0.971213043,0.554650426,0.963587523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071248265
3,0.37038167,1,1,0.80345881,0.880590796,0.60099411,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.80345881,0.880590796,0.786626697,0.60099411,0.760783434,0.641106009,0.96081382,0.950051546,0.758736253,0.637688518,0.890295029,0.710009754,0.964804053,0.538314581,0.960745394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05519903
4,0.370411695,1,1,0.742168963,0.806062102,0.518245697,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.742168963,0.806062102,0.779432178,0.518245697,0.647909343,0.439869881,0.964550436,0.967278123,0.737269759,0.569939613,0.833278775,0.589114606,0.960704684,0.489050508,0.967149377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024901085
5,0.370444676,1,1,0.713603139,0.745041013,0.49129492,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.713603139,0.745041013,0.752874494,0.49129492,0.449179202,0.198419511,0.960773945,0.970392346,0.704163015,0.548774242,0.792529583,0.421059549,0.956584513,0.559256434,0.967013478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020128092
6,0.370510021,1,1,0.768157244,0.760022283,0.483379543,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.768157244,0.760022283,0.725601971,0.483379543,0.271477133,0.079705104,0.921564519,0.974047244,0.641198814,0.585671902,0.750293016,0.254610956,0.966469526,0.583911657,0.916048288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028209888
7,0.370550555,1,1,0.830924213,0.610337734,0.420146346,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.830924213,0.610337734,0.407495201,0.420146346,0.183366448,0.165670648,0.737964928,0.987049937,0.378647923,0.673534214,0.549023211,0.153593719,0.97113198,0.501999736,0.727901518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043751401
8,0.370584841,1,1,0.773903966,0.327776015,0.564062238,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.773903966,0.327776015,0.257261038,0.564062238,0.193527743,0.240525514,0.751406074,0.988262177,0.29390341,0.672860742,0.450041413,0.173005924,0.955025434,0.502357423,0.728222728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079921488
9,0.370649986,1,1,0.184962153,0.09969762,0.417965174,0,0,0,0.024707016,0,0,0.029639632,0.199493408,1,1,1,1,1,1,1,0.184962153,0.09969762,0.080831856,0.417965174,0.077120051,0.268348396,0.106551521,0.993961215,0.093486398,0.185972393,0.109633692,0.072288036,0.893942356,0.214657769,0.091507368,0,0,0,0,0.024707016,0,0,0,0,0,0,0,0.029639632,0,0.199493408,0.140954657
10,0.370693899,1,1,0.230655193,0.14716883,0.376648724,0.4430013,0.377951473,0.421483338,0.507362604,0.377512276,0.411518991,0.503090322,0.559469759,1,1,1,1,1,1,1,0.230655193,0.14716883,0.055520725,0.376648724,0.062005319,0.261477888,0.184580266,0.990377963,0.092479952,0.252782702,0.155091509,0.05757428,0.941992164,0.150064528,0.160462782,0.4430013,0.377951473,0.296702772,0.421483338,0.507362604,0.080008671,0.377512276,0.274387777,0,0,0.411518991,0.442992002,0.503090322,0.31314081,0.559469759,0.210406156
11,0.370727259,1,1,0.511213839,0.221182764,0.363330364,0.695532918,0.64443171,0.658186734,0.736073494,0.639732718,0.620546997,0.731630087,0.775487185,1,1,1,1,1,1,1,0.511213839,0.221182764,0.095552228,0.363330364,0.148225144,0.234808505,0.37087208,0.994429827,0.124222115,0.522470474,0.248348162,0.118264914,0.983831167,0.1748842,0.30675897,0.695532918,0.64443171,0.585431576,0.658186734,0.736073494,0.487522393,0.639732718,0.576653004,0.288346827,0.497377515,0.620546997,0.690369844,0.731630087,0.59927702,0.775487185,0.286835569
12,0.370797254,1,1,0.402172506,0.307605982,0.301312447,0.859222293,0.798261762,0.801779985,0.879410267,0.769107938,0.772669315,0.874320388,0.905384421,1,1,1,1,1,1,1,0.402172506,0.307605982,0.058510646,0.301312447,0.138407499,0.227358967,0.536589026,0.998552978,0.104303412,0.404359341,0.299900502,0.103389949,0.99298507,0.229290441,0.446173936,0.859222293,0.798261762,0.74632287,0.801779985,0.879410267,0.698849022,0.769107938,0.739572644,0.60676682,0.713429511,0.772669315,0.849423885,0.874320388,0.753591061,0.905384421,0.377154846
13,0.370836987,1,1,0.165215969,0.206961155,0.226089269,0.949730515,0.883617043,0.805872917,0.958236694,0.874681115,0.791485429,0.954556406,0.969304562,1,1,1,1,1,1,1,0.165215969,0.206961155,0.06772846,0.226089269,0.057996605,0.147423744,0.307814926,0.993970215,0.087107942,0.146061495,0.18392536,0.041285269,0.992318869,0.21743992,0.244051456,0.949730515,0.883617043,0.83191359,0.805872917,0.958236694,0.818539619,0.874681115,0.824820161,0.744830191,0.821708977,0.791485429,0.938936055,0.954556406,0.837037921,0.969304562,0.432748567
14,0.370865012,1,1,0.124375775,0.242086619,0.134993494,0.990331292,0.910089791,0.852385163,0.977766275,0.901011705,0.842882872,0.974588871,0.977542043,1,1,1,1,1,1,1,0.124375775,0.242086619,0.089508981,0.134993494,0.013653023,0.063819848,0.337538898,0.995944977,0.127268299,0.103298083,0.214057222,0.015532672,0.993759871,0.141427189,0.269425511,0.990331292,0.910089791,0.863491178,0.852385163,0.977766275,0.892922878,0.901011705,0.869039834,0.7836743,0.89601326,0.842882872,0.981278002,0.974588871,0.872543454,0.977542043,0.470752492
15,0.370939426,1,1,0.122168005,0.273168385,0.118584201,0.975465178,0.887616754,0.913855612,0.946052492,0.880096793,0.89441222,0.943032026,0.935968518,1,1,1,1,1,1,1,0.122168005,0.273168385,0.078570664,0.118584201,0.011159861,0.046978783,0.588856757,0.998424053,0.120593481,0.090210252,0.282075912,0.017968407,0.995165467,0.139641479,0.459149212,0.975465178,0.887616754,0.868071437,0.913855612,0.946052492,0.908944428,0.880096793,0.875492036,0.791120589,0.904845238,0.89441222,0.966119885,0.943032026,0.869840026,0.935968518,0.509937456
16,0.370971164,1,1,0.16731368,0.264952362,0.127016783,0.896698117,0.819445491,0.813870966,0.855045199,0.810328305,0.806750417,0.854997516,0.83538264,1,1,1,1,1,1,1,0.16731368,0.264952362,0.072249234,0.127016783,0.015557441,0.006688602,0.531186223,0.998821259,0.13835676,0.126761556,0.296589375,0.017462496,0.996481538,0.137327909,0.45333901,0.896698117,0.819445491,0.830087423,0.813870966,0.855045199,0.876292467,0.810328305,0.833573043,0.826511383,0.854122579,0.806750417,0.888816237,0.854997516,0.82622683,0.83538264,0.552378737
17,0.371004063,1,1,0.062552944,0.083744332,0.396508366,0.770520985,0.733938932,0.642726541,0.711039782,0.729121208,0.620140731,0.710884094,0.683818221,1,1,1,1,1,1,1,0.062552944,0.083744332,0.027931761,0.396508366,0.051916495,0.318603665,0.585492671,0.996761441,0.06143558,0.056093022,0.262376517,0.033507407,0.99400878,0.239613801,0.565668106,0.770520985,0.733938932,0.780851066,0.642726541,0.711039782,0.820922613,0.729121208,0.785351396,0.807103395,0.741407931,0.620140731,0.771726072,0.710884094,0.778467059,0.683818221,0.56047565
18,0.371075088,1,1,0.106397271,0.042510632,0.298413694,0.531663895,0.500438094,0.303865194,0.421577156,0.496870399,0.316049844,0.42472145,0.384188652,1,1,1,1,1,1,1,0.106397271,0.042510632,0.009936539,0.298413694,0.04039735,0.33969605,0.614201784,0.996667981,0.033771005,0.094049744,0.209840059,0.022898871,0.991805434,0.208758146,0.580756307,0.531663895,0.500438094,0.607638001,0.303865194,0.421577156,0.653249979,0.496870399,0.610581875,0.66096127,0.541003704,0.316049844,0.53397882,0.42472145,0.603248954,0.384188652,0.605724674
19,0.371110935,1,1,0.101847693,0.030607922,0.215038612,0.061436653,0,0,0,0.000240431,0,0,0,1,1,1,1,1,1,1,0.101847693,0.030607922,0.003384015,0.215038612,0.025740437,0.26086393,0.409635425,0.99817127,0.036126811,0.109527729,0.168860674,0.014002563,0.967589915,0.206742853,0.377875566,0.061436653,0,0.316189289,0,0,0.361878872,0.000240431,0.312905043,0.388896495,0.199529201,0,0.079064012,0,0.307743341,0,0.64473224
20,0.371147704,1,1,0.21014896,0.057447486,0.166270956,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.21014896,0.057447486,0.011318053,0.166270956,0.063078627,0.264292985,0.541145504,0.999024212,0.050554264,0.222182408,0.239484087,0.025605161,0.911073804,0.176914409,0.501985133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.604132507
21,0.371221166,1,1,0.165596902,0.087201253,0.235312581,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.165596902,0.087201253,0.041758951,0.235312581,0.064443864,0.242135569,0.532417595,0.999484062,0.083507754,0.182594061,0.253189385,0.059591796,0.933154643,0.171232358,0.526417315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555645929
22,0.371257092,1,1,0.18496938,0.236479551,0.376711369,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.18496938,0.236479551,0.124947324,0.376711369,0.142574221,0.29506436,0.67896378,0.997202873,0.135745242,0.186220378,0.336005151,0.167232513,0.940563023,0.240311936,0.664054036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472458572
23,0.371293386,1,1,0.234994233,0.385251343,0.466144711,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.234994233,0.385251343,0.157916367,0.466144711,0.166291907,0.369061232,0.668492317,0.994356632,0.149985403,0.204526693,0.359767228,0.140187576,0.951792955,0.326827347,0.609855711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362144214
24,0.371355351,1,1,0.196329981,0.534917355,0.570722938,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.196329981,0.534917355,0.1540806,0.570722938,0.098720096,0.208158761,0.747458756,0.988972902,0.154089898,0.167406529,0.47692579,0.077570453,0.95190829,0.453189939,0.684923112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214130673
25,0.371392966,1,1,0.077632785,0.678296864,0.673115432,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.077632785,0.678296864,0.165163398,0.673115432,0.069300525,0.188920841,0.770896018,0.988439977,0.180089906,0.077432662,0.571379185,0.051140752,0.93984282,0.506080508,0.705943465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117228832
26,0.371432314,1,1,0.185712442,0.690672815,0.698714972,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.185712442,0.690672815,0.125018582,0.698714972,0.056127407,0.117005229,0.725331485,0.978713989,0.171393052,0.181559533,0.579636574,0.051166035,0.931450367,0.48973763,0.658255219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066213156
27,0.371496826,1,1,0.157412499,0.513267815,0.652815998,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.157412499,0.513267815,0.117786638,0.652815998,0.028467242,0.086236991,0.737833917,0.934146404,0.147620976,0.160830289,0.505055428,0.043572981,0.870492816,0.427998006,0.655029893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025406222
