Resource,ngcc,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,11.746942,11.746942
t1,0.0,0.0,0.0,0.0,0.0016822706217162024,0.0016822706217162024
t2,0.0,0.0,0.0,0.0,0.0016831278702094446,0.0016831278702094446
t3,0.0,0.0,0.0,0.0,0.001684320624429782,0.001684320624429782
t4,0.0,0.0,0.0,0.0,0.0016853846125652041,0.0016853846125652041
t5,0.0,0.0,0.0,0.0,0.0016856698823682589,0.0016856698823682589
t6,0.0,0.0,0.0,0.0,0.0016848128543126134,0.0016848128543126134
t7,0.0,0.0,0.0,0.0,0.0016836349489751472,0.0016836349489751472
t8,0.0,0.0,0.0,0.0,0.0016836453965072833,0.0016836453965072833
t9,0.0,0.0,0.0,0.0,0.0016831563223988746,0.0016831563223988746
t10,0.0,0.0,0.0,0.0,0.0016825683115455586,0.0016825683115455586
t11,0.0,0.0,0.0,0.0,0.0016826169375735187,0.0016826169375735187
t12,0.0,0.0,0.0,0.0,0.0016827629841200454,0.0016827629841200454
t13,0.0,0.0,0.0,0.0,0.0016827079226492618,0.0016827079226492618
t14,0.0,0.0,0.0,0.0,0.001682913839726146,0.001682913839726146
t15,0.0,0.0,0.0,0.0,0.0016834009756971323,0.0016834009756971323
t16,0.0,0.0,0.0,0.0,0.0016842259089715466,0.0016842259089715466
t17,0.0,0.0,0.0,0.0,0.001682724694892748,0.001682724694892748
t18,0.0,0.0,0.0,0.0,0.0016814398464249395,0.0016814398464249395
t19,0.0,0.0,0.0,0.0,0.0016820158074738333,0.0016820158074738333
t20,0.0,0.0,0.0,0.0,0.0016823504016883015,0.0016823504016883015
t21,0.0,0.0,0.0,0.0,0.0016822497412697292,0.0016822497412697292
t22,0.0,0.0,0.0,0.0,0.0016819881272956603,0.0016819881272956603
t23,0.0,0.0,0.0,0.0,0.0016814797570370633,0.0016814797570370633
t24,0.0,0.0,0.0,0.0,0.0016811922201628257,0.0016811922201628257
t25,0.0,0.0,0.0,0.0,0.0016819083273285978,0.0016819083273285978
t26,0.0,0.0,0.0,0.0,0.0016846767769674899,0.0016846767769674899
t27,0.0,0.0,0.0,0.0,0.0016892175842960287,0.0016892175842960287
t28,0.0,0.0,0.0,0.0,0.0016922156901839245,0.0016922156901839245
t29,0.0,0.0,0.0,0.0,0.001687195161111688,0.001687195161111688
t30,0.0,0.0,0.0,0.0,0.0016831338384500551,0.0016831338384500551
t31,0.0,0.0,0.0,0.0,0.0016818374534758342,0.0016818374534758342
t32,0.0,0.0,0.0,0.0,0.0016823552405204815,0.0016823552405204815
t33,0.0,0.0,0.0,0.0,0.0016825980592386186,0.0016825980592386186
t34,0.0,0.0,0.0,0.0,0.0016826162691831455,0.0016826162691831455
t35,0.0,0.0,0.0,0.0,0.0016826231624330887,0.0016826231624330887
t36,0.0,0.0,0.0,0.0,0.0016827133927638075,0.0016827133927638075
t37,0.0,0.0,0.0,0.0,0.0016829304336027082,0.0016829304336027082
t38,0.0,0.0,0.0,0.0,0.001683173550884901,0.001683173550884901
t39,0.0,0.0,0.0,0.0,0.001683663509256398,0.001683663509256398
t40,0.0,0.0,0.0,0.0,0.001684592292160993,0.001684592292160993
t41,0.0,0.0,0.0,0.0,0.001683530139431198,0.001683530139431198
t42,0.0,0.0,0.0,0.0,0.0016803449499974707,0.0016803449499974707
t43,0.0,0.0,0.0,0.0,0.0016811205400920773,0.0016811205400920773
t44,0.0,0.0,0.0,0.0,0.0016814595269039297,0.0016814595269039297
t45,0.0,0.0,0.0,0.0,0.001682177186036352,0.001682177186036352
t46,0.0,0.0,0.0,0.0,0.001682613379448484,0.001682613379448484
t47,0.0,0.0,0.0,0.0,0.0016826701011767367,0.0016826701011767367
t48,0.0,0.0,0.0,0.0,0.0016829326471020942,0.0016829326471020942
t49,0.0,0.0,0.0,0.0,0.001683668302717255,0.001683668302717255
t50,0.0,0.0,0.0,0.0,0.0016841103093266166,0.0016841103093266166
t51,0.0,0.0,0.0,0.0,0.0016845604740115645,0.0016845604740115645
t52,0.0,0.0,0.0,0.0,0.0016849718097479134,0.0016849718097479134
t53,0.0,0.0,0.0,0.0,0.0016846060282936718,0.0016846060282936718
t54,0.0,0.0,0.0,0.0,0.001683563312771868,0.001683563312771868
t55,0.0,0.0,0.0,0.0,0.0016820814873909514,0.0016820814873909514
t56,0.0,0.0,0.0,0.0,0.0016815109910717164,0.0016815109910717164
t57,0.0,0.0,0.0,0.0,0.0016822402479479306,0.0016822402479479306
t58,0.0,0.0,0.0,0.0,0.001682738114167143,0.001682738114167143
t59,0.0,0.0,0.0,0.0,0.0016826712095098402,0.0016826712095098402
t60,0.0,0.0,0.0,0.0,0.0016827887149270119,0.0016827887149270119
t61,0.0,0.0,0.0,0.0,0.0016832510832198635,0.0016832510832198635
t62,0.0,0.0,0.0,0.0,0.0016839732469572238,0.0016839732469572238
t63,0.0,0.0,0.0,0.0,0.0016859778783177516,0.0016859778783177516
t64,0.0,0.0,0.0,0.0,0.0016900033138455566,0.0016900033138455566
t65,0.0,0.0,0.0,0.0,0.0016939995837182452,0.0016939995837182452
t66,0.0,0.0,0.0,0.0,0.0016651234915717387,0.0016651234915717387
t67,0.0,0.0,0.0,0.0,0.0016608958294954538,0.0016608958294954538
t68,0.0,0.0,0.0,0.0,0.0016803112727407663,0.0016803112727407663
t69,0.0,0.0,0.0,0.0,0.001685145423949739,0.001685145423949739
t70,0.0,0.0,0.0,0.0,0.0016855528605334077,0.0016855528605334077
t71,0.0,0.0,0.0,0.0,0.0016851661804244754,0.0016851661804244754
t72,0.0,0.0,0.0,0.0,0.0016844127743735945,0.0016844127743735945
t73,0.0,0.0,0.0,0.0,0.0016833386864928256,0.0016833386864928256
t74,0.0,0.0,0.0,0.0,0.0016832821146397319,0.0016832821146397319
t75,0.0,0.0,0.0,0.0,0.0016834401990170832,0.0016834401990170832
t76,0.0,0.0,0.0,0.0,0.0016836069004893218,0.0016836069004893218
t77,0.0,0.0,0.0,0.0,0.0016837851858740214,0.0016837851858740214
t78,0.0,0.0,0.0,0.0,0.001684106844668304,0.001684106844668304
t79,0.0,0.0,0.0,0.0,0.0016827404915987817,0.0016827404915987817
t80,0.0,0.0,0.0,0.0,0.001680654785079694,0.001680654785079694
t81,0.0,0.0,0.0,0.0,0.0016817856899670443,0.0016817856899670443
t82,0.0,0.0,0.0,0.0,0.001682382082496451,0.001682382082496451
t83,0.0,0.0,0.0,0.0,0.001682568064973169,0.001682568064973169
t84,0.0,0.0,0.0,0.0,0.001682808028676259,0.001682808028676259
t85,0.0,0.0,0.0,0.0,0.0016838034777101958,0.0016838034777101958
t86,0.0,0.0,0.0,0.0,0.0016849859808555792,0.0016849859808555792
t87,0.0,0.0,0.0,0.0,0.0016874171702641228,0.0016874171702641228
t88,0.0,0.0,0.0,0.0,0.001692359224320007,0.001692359224320007
t89,0.0,0.0,0.0,0.0,0.0016949607773504157,0.0016949607773504157
t90,0.0,0.0,0.0,0.0,0.0016462284175705528,0.0016462284175705528
t91,0.0,0.0,0.0,0.0,0.0016705870764962979,0.0016705870764962979
t92,0.0,0.0,0.0,0.0,0.001684347936643708,0.001684347936643708
t93,0.0,0.0,0.0,0.0,0.001685885694699458,0.001685885694699458
t94,0.0,0.0,0.0,0.0,0.0016855700575712704,0.0016855700575712704
t95,0.0,0.0,0.0,0.0,0.0016851494138051808,0.0016851494138051808
t96,0.0,0.0,0.0,0.0,0.001683370425265211,0.001683370425265211
t97,0.0,0.0,0.0,0.0,0.0016830262762504613,0.0016830262762504613
t98,0.0,0.0,0.0,0.0,0.0016835032058905672,0.0016835032058905672
t99,0.0,0.0,0.0,0.0,0.001683638948581043,0.001683638948581043
t100,0.0,0.0,0.0,0.0,0.0016839991193278979,0.0016839991193278979
t101,0.0,0.0,0.0,0.0,0.0016840427589711084,0.0016840427589711084
t102,0.0,0.0,0.0,0.0,0.001683564786121072,0.001683564786121072
t103,0.0,0.0,0.0,0.0,0.0016823314036484207,0.0016823314036484207
t104,0.0,0.0,0.0,0.0,0.001681364047806297,0.001681364047806297
t105,0.0,0.0,0.0,0.0,0.0016821014427459955,0.0016821014427459955
t106,0.0,0.0,0.0,0.0,0.0016820870427645507,0.0016820870427645507
t107,0.0,0.0,0.0,0.0,0.0016822394486422788,0.0016822394486422788
t108,0.0,0.0,0.0,0.0,0.0016826899347159037,0.0016826899347159037
t109,0.0,0.0,0.0,0.0,0.001682982499921362,0.001682982499921362
t110,0.0,0.0,0.0,0.0,0.0016832406242754698,0.0016832406242754698
t111,0.0,0.0,0.0,0.0,0.0016839974888927585,0.0016839974888927585
t112,0.0,0.0,0.0,0.0,0.0016853662827188151,0.0016853662827188151
t113,0.0,0.0,0.0,0.0,0.0016844693450763961,0.0016844693450763961
t114,0.0,0.0,0.0,0.0,0.001678016357195148,0.001678016357195148
t115,0.0,0.0,0.0,0.0,0.0016789428149715437,0.0016789428149715437
t116,0.0,0.0,0.0,0.0,0.0016808818982266196,0.0016808818982266196
t117,0.0,0.0,0.0,0.0,0.0016821430274658563,0.0016821430274658563
t118,0.0,0.0,0.0,0.0,0.001682599226891701,0.001682599226891701
t119,0.0,0.0,0.0,0.0,0.0016835569554082134,0.0016835569554082134
t120,0.0,0.0,0.0,0.0,0.001682646962530074,0.001682646962530074
t121,0.0,0.0,0.0,0.0,0.0016831729011278238,0.0016831729011278238
t122,0.0,0.0,0.0,0.0,0.001683499073378254,0.001683499073378254
t123,0.0,0.0,0.0,0.0,0.0016837516615806924,0.0016837516615806924
t124,0.0,0.0,0.0,0.0,0.001683986108236931,0.001683986108236931
t125,0.0,0.0,0.0,0.0,0.0016840312978172504,0.0016840312978172504
t126,0.0,0.0,0.0,0.0,0.001683440278887124,0.001683440278887124
t127,0.0,0.0,0.0,0.0,0.0016821458916080221,0.0016821458916080221
t128,0.0,0.0,0.0,0.0,0.001681252707472641,0.001681252707472641
t129,0.0,0.0,0.0,0.0,0.001682126160552565,0.001682126160552565
t130,0.0,0.0,0.0,0.0,0.0016824327213814255,0.0016824327213814255
t131,0.0,0.0,0.0,0.0,0.0016823022681223298,0.0016823022681223298
t132,0.0,0.0,0.0,0.0,0.001682656974420936,0.001682656974420936
t133,0.0,0.0,0.0,0.0,0.0016828934264712012,0.0016828934264712012
t134,0.0,0.0,0.0,0.0,0.001682933479042277,0.001682933479042277
t135,0.0,0.0,0.0,0.0,0.0016833668868765808,0.0016833668868765808
t136,0.0,0.0,0.0,0.0,0.001683838662238248,0.001683838662238248
t137,0.0,0.0,0.0,0.0,0.001682685708366803,0.001682685708366803
t138,0.0,0.0,0.0,0.0,0.00168055859090768,0.00168055859090768
t139,0.0,0.0,0.0,0.0,0.0016813144940721171,0.0016813144940721171
t140,0.0,0.0,0.0,0.0,0.0016815975284140163,0.0016815975284140163
t141,0.0,0.0,0.0,0.0,0.001682099288494226,0.001682099288494226
t142,0.0,0.0,0.0,0.0,0.0016821646531554081,0.0016821646531554081
t143,0.0,0.0,0.0,0.0,0.001682282402397513,0.001682282402397513
t144,0.0,0.0,0.0,0.0,0.001682516170681131,0.001682516170681131
t145,0.0,0.0,0.0,0.0,0.001683146623615389,0.001683146623615389
t146,0.0,0.0,0.0,0.0,0.0016837589772635965,0.0016837589772635965
t147,0.0,0.0,0.0,0.0,0.0016843573219704868,0.0016843573219704868
t148,0.0,0.0,0.0,0.0,0.001684844974676924,0.001684844974676924
t149,0.0,0.0,0.0,0.0,0.00168471983670058,0.00168471983670058
t150,0.0,0.0,0.0,0.0,0.0016837974683307415,0.0016837974683307415
t151,0.0,0.0,0.0,0.0,0.0016828494570394188,0.0016828494570394188
t152,0.0,0.0,0.0,0.0,0.0016824773725508013,0.0016824773725508013
t153,0.0,0.0,0.0,0.0,0.0016823484871215555,0.0016823484871215555
t154,0.0,0.0,0.0,0.0,0.0016824341580249547,0.0016824341580249547
t155,0.0,0.0,0.0,0.0,0.0016826001964543621,0.0016826001964543621
t156,0.0,0.0,0.0,0.0,0.0016826516951494307,0.0016826516951494307
t157,0.0,0.0,0.0,0.0,0.001682816239191335,0.001682816239191335
t158,0.0,0.0,0.0,0.0,0.001683060191756467,0.001683060191756467
t159,0.0,0.0,0.0,0.0,0.0016834641992525454,0.0016834641992525454
t160,0.0,0.0,0.0,0.0,0.0016838843128795763,0.0016838843128795763
t161,0.0,0.0,0.0,0.0,0.0016828146137176972,0.0016828146137176972
t162,0.0,0.0,0.0,0.0,0.001681477666252376,0.001681477666252376
t163,0.0,0.0,0.0,0.0,0.0016820697886509054,0.0016820697886509054
t164,0.0,0.0,0.0,0.0,0.001682495952754764,0.001682495952754764
t165,0.0,0.0,0.0,0.0,0.001682445703811146,0.001682445703811146
t166,0.0,0.0,0.0,0.0,0.0016823788225420262,0.0016823788225420262
t167,0.0,0.0,0.0,0.0,0.0016825189116362305,0.0016825189116362305
t168,0.0,0.0,0.0,0.0,0.0016835004213299433,0.0016835004213299433
t169,0.0,0.0,0.0,0.0,0.0013567339117541632,0.0013567339117541632
t170,0.0,0.0,0.0,0.0,0.0013573273092106263,0.0013573273092106263
t171,0.0,0.0,0.0,0.0,0.0013574695513561092,0.0013574695513561092
t172,0.0,0.0,0.0,0.0,0.0013575369942045168,0.0013575369942045168
t173,0.0,0.0,0.0,0.0,0.0013574984736537399,0.0013574984736537399
t174,0.0,0.0,0.0,0.0,0.0013572758014336124,0.0013572758014336124
t175,0.0,0.0,0.0,0.0,0.0013568977118003996,0.0013568977118003996
t176,0.0,0.0,0.0,0.0,0.0013568267856129347,0.0013568267856129347
t177,0.0,0.0,0.0,0.0,0.0013564618594792304,0.0013564618594792304
t178,0.0,0.0,0.0,0.0,0.0013562847572214406,0.0013562847572214406
t179,0.0,0.0,0.0,0.0,0.0013562679223603404,0.0013562679223603404
t180,0.0,0.0,0.0,0.0,0.0013563708938799572,0.0013563708938799572
t181,0.0,0.0,0.0,0.0,0.0013564950556067005,0.0013564950556067005
t182,0.0,0.0,0.0,0.0,0.001356745442414006,0.001356745442414006
t183,0.0,0.0,0.0,0.0,0.0013571887792439142,0.0013571887792439142
t184,0.0,0.0,0.0,0.0,0.001357740037861625,0.001357740037861625
t185,0.0,0.0,0.0,0.0,0.0013580100881962114,0.0013580100881962114
t186,0.0,0.0,0.0,0.0,0.0013554808379063245,0.0013554808379063245
t187,0.0,0.0,0.0,0.0,0.0013534318987689737,0.0013534318987689737
t188,0.0,0.0,0.0,0.0,0.0013546490373749964,0.0013546490373749964
t189,0.0,0.0,0.0,0.0,0.0013557180180366899,0.0013557180180366899
t190,0.0,0.0,0.0,0.0,0.0013563989867457153,0.0013563989867457153
t191,0.0,0.0,0.0,0.0,0.0013565006414139043,0.0013565006414139043
t192,0.0,0.0,0.0,0.0,0.0013567002046681468,0.0013567002046681468
t193,0.0,0.0,0.0,0.0,0.0013569469985545788,0.0013569469985545788
t194,0.0,0.0,0.0,0.0,0.0013570685358116434,0.0013570685358116434
t195,0.0,0.0,0.0,0.0,0.0013572949270839955,0.0013572949270839955
t196,0.0,0.0,0.0,0.0,0.001357630454259074,0.001357630454259074
t197,0.0,0.0,0.0,0.0,0.001357775669028763,0.001357775669028763
t198,0.0,0.0,0.0,0.0,0.0013574680975006722,0.0013574680975006722
t199,0.0,0.0,0.0,0.0,0.0013558866688926188,0.0013558866688926188
t200,0.0,0.0,0.0,0.0,0.0013549136933377046,0.0013549136933377046
t201,0.0,0.0,0.0,0.0,0.001355602714629629,0.001355602714629629
t202,0.0,0.0,0.0,0.0,0.0013560067292072045,0.0013560067292072045
t203,0.0,0.0,0.0,0.0,0.001356156435665561,0.001356156435665561
t204,0.0,0.0,0.0,0.0,0.0013562041734568834,0.0013562041734568834
t205,0.0,0.0,0.0,0.0,0.001356538740077826,0.001356538740077826
t206,0.0,0.0,0.0,0.0,0.0013566386243244958,0.0013566386243244958
t207,0.0,0.0,0.0,0.0,0.0013570470749519493,0.0013570470749519493
t208,0.0,0.0,0.0,0.0,0.0013575811446198127,0.0013575811446198127
t209,0.0,0.0,0.0,0.0,0.001358033185178025,0.001358033185178025
t210,0.0,0.0,0.0,0.0,0.0013554805576950003,0.0013554805576950003
t211,0.0,0.0,0.0,0.0,0.0013534363474337697,0.0013534363474337697
t212,0.0,0.0,0.0,0.0,0.001354618832332109,0.001354618832332109
t213,0.0,0.0,0.0,0.0,0.0013554378279133509,0.0013554378279133509
t214,0.0,0.0,0.0,0.0,0.0013562121196570023,0.0013562121196570023
t215,0.0,0.0,0.0,0.0,0.001356395280020333,0.001356395280020333
t216,0.0,0.0,0.0,0.0,0.0013566574406182505,0.0013566574406182505
t217,0.0,0.0,0.0,0.0,0.0013572639962031415,0.0013572639962031415
t218,0.0,0.0,0.0,0.0,0.0013576352301216128,0.0013576352301216128
t219,0.0,0.0,0.0,0.0,0.0013578381152910752,0.0013578381152910752
t220,0.0,0.0,0.0,0.0,0.0013581275979021438,0.0013581275979021438
t221,0.0,0.0,0.0,0.0,0.0013579508443486903,0.0013579508443486903
t222,0.0,0.0,0.0,0.0,0.0013573362151413323,0.0013573362151413323
t223,0.0,0.0,0.0,0.0,0.0013556854056776804,0.0013556854056776804
t224,0.0,0.0,0.0,0.0,0.0013552324531742519,0.0013552324531742519
t225,0.0,0.0,0.0,0.0,0.0013559188634212117,0.0013559188634212117
t226,0.0,0.0,0.0,0.0,0.0013561241068896718,0.0013561241068896718
t227,0.0,0.0,0.0,0.0,0.0013559960170613499,0.0013559960170613499
t228,0.0,0.0,0.0,0.0,0.001356085804445333,0.001356085804445333
t229,0.0,0.0,0.0,0.0,0.001356218040417614,0.001356218040417614
t230,0.0,0.0,0.0,0.0,0.0013563562377942383,0.0013563562377942383
t231,0.0,0.0,0.0,0.0,0.0013566874167010316,0.0013566874167010316
