Resource,ngcc,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.09656211477704346,0.30634464928880334,0.0,0.4029067640658468
t1,499.69921540172663,23117.960931731584,0.0,0.0002037489356967465,0.011137163535892032,23617.671488045784
t2,499.6999452544201,23118.57584435376,0.0,0.00020100070790986667,0.011137163960092754,23618.287127772848
t3,499.7008441206967,23119.033121656965,0.0,0.00020688777977409366,0.011137164475328438,23618.745309829916
t4,499.7015425266967,23119.263035199605,0.0,0.00020499381019883288,0.011137164853266867,23618.975919884964
t5,499.70166668640513,23119.298467929024,0.0,0.00017341691287665862,0.011137164772869374,23619.011445197113
t6,499.70108584690877,23119.122280120486,0.0,0.00014448794165490108,0.011137164086846334,23618.83464761942
t7,499.70022800415427,23118.744202898717,0.0,0.00012759902375503933,0.011137163393209273,23618.45569566529
t8,499.6996512286575,23118.40241744455,0.0,0.00013906536338075275,0.01113716368998513,23618.11334490226
t9,499.6990489952514,23117.82293409652,2.2171667533673518e-5,9.696764375316295e-5,0.011137163623877597,23617.533239394706
t10,499.6986230471518,23117.25343355879,5.3465728036641976e-5,1.7109454604649245e-6,0.011137163485790372,23616.9632489461
t11,499.69840963225977,23116.911284746504,7.163619411191975e-5,5.807775819242836e-7,0.011137163811088785,23616.620903759547
t12,499.69833507044507,23116.784370352907,8.080859080504165e-5,4.932391337397584e-7,0.011137164100646064,23616.493923889284
t13,499.69830361621996,23116.723447104712,7.736894669160682e-5,1.0194345951343855e-6,0.011137164168448873,23616.43296627348
t14,499.6983641378587,23116.836152777778,7.427824656815772e-5,1.7660958251842533e-6,0.011137164382286109,23616.545730124362
t15,499.69843478136534,23116.959007451118,6.247621013409257e-5,2.3095952262483905e-5,0.011137164728217123,23616.668664969377
t16,499.698405346146,23116.887923068232,4.1264730648359886e-5,4.621578511675648e-5,0.01113716520023824,23616.597553060095
t17,499.6978368503216,23115.678540731722,8.001276380514478e-6,3.250498240129601e-5,0.011137164172042925,23615.387555252477
t18,499.69730454235173,23114.532108805026,0.0,0.00012985345310571097,0.011137163460210191,23614.240680364288
t19,499.6973471481161,23114.618418743376,0.0,0.00021664285226415044,0.011137164224268109,23614.32711969857
t20,499.6975643173922,23115.06723453274,0.0,0.0002114606524255818,0.011137164418419235,23614.776147475208
t21,499.69780834619604,23115.59323275865,0.0,0.00021832848612591448,0.011137164220513541,23615.302396597548
t22,499.6981526638414,23116.326376670833,0.0,0.00021279134894889868,0.011137163878914128,23616.035879289902
t23,499.698670469392,23117.235099808197,0.0,0.00019454621268891878,0.011137163367970685,23616.94510198717
t24,499.6995933124604,23118.253136354953,0.0,0.00015242091892662423,0.011137162933063587,23617.964019251263
t25,499.70126589926844,23119.113972764822,0.0,0.00012079148903839091,0.011137163044032925,23618.826496618625
t26,499.7038922317775,23119.633525047706,0.0,0.000148443565021193,0.011137164370720057,23619.34870288742
t27,499.7068505670853,23119.881496888764,0.0,0.0001457182377167104,0.01113716671206355,23619.5996303408
t28,499.7078224233858,23119.937416121094,0.0,0.00020950239954355867,0.011137167956495244,23619.656585214834
t29,499.70485390880583,23119.735170477194,0.0,0.00019641223548900026,0.011137164113161607,23619.45135796235
t30,499.7016598551462,23119.216185929337,0.0,0.0001888763438678556,0.011137161662096424,23618.92917182249
t31,499.6998322182342,23118.433729718254,0.0,0.00013434284872062925,0.011137161528554759,23618.144833440863
t32,499.69904454709416,23117.791445281222,0.0,0.00011129181478574396,0.011137162643546673,23617.501738282775
t33,499.69848912721415,23117.00365325742,1.994080561656069e-5,0.00012959387763898493,0.011137163319791761,23616.71342908264
t34,499.6980711802607,23116.197437366092,4.259824843361188e-5,0.00016990735336383758,0.011137163653219992,23615.906858215607
t35,499.6978027613083,23115.605429312294,6.171599638374706e-5,0.00021281910518328582,0.01113716386866834,23615.314643772574
t36,499.6976978334802,23115.362731361434,7.046472265440638e-5,0.00022589874038607218,0.011137164057809663,23615.071862722434
t37,499.6977103126846,23115.38506893991,7.120001205631917e-5,0.0002270897247467711,0.011137164273509794,23615.094214706605
t38,499.69775266004757,23115.474426817033,6.747370934081956e-5,0.00022571077840473081,0.011137164457005112,23615.18360982602
t39,499.69777567201714,23115.51808800234,5.828877489780526e-5,0.00022696268752848815,0.011137164759822137,23615.22728609058
t40,499.69767775230434,23115.30890809896,3.979412442995337e-5,0.00021790004572705852,0.011137165326489923,23615.01798071076
t41,499.6969877210614,23113.99704022908,1.2500418883561593e-5,0.00022019796237464844,0.011137164720899912,23613.705397813243
