,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.172892472175799e8,9.942640824173285,-11.746941619214896,0.0,0.0,0.0,141.37237441280996,0.0,0.0,-1.172893867857143e8
t1,11339.606425880305,0.001425313921944432,-0.0016822706217162024,0.0,-0.0,0.0,-4.419287595886432e-7,0.0,0.0,-11339.606168489196
t2,10723.963949280458,0.0014248897212240708,-0.0016831278702094446,0.0,-0.0,0.0,-4.4192699154819896e-7,0.0,0.0,-10723.963690608487
t3,10265.787783455433,0.0014243744855398982,-0.001684320624429782,0.0,-0.0,0.0,-4.419256338152327e-7,0.0,0.0,-10265.787523076808
t4,10035.175833611935,0.0014239965471111386,-0.0016853846125652041,0.0,-0.0,0.0,-4.4192480228381753e-7,0.0,0.0,-10035.175571791458
t5,9999.618925028935,0.0014240769446039905,-0.0016856698823682589,0.0,-0.0,0.0,-4.4192438771766207e-7,0.0,0.0,-9999.61866300297
t6,10176.387555749134,0.0014247629676432435,-0.0016848128543126134,0.0,-0.0,0.0,-4.4192428632183855e-7,0.0,0.0,-10176.387295265746
t7,10555.322610395642,0.0014254566047053328,-0.0016836349489751472,0.0,-0.0,0.0,-4.4192419997756243e-7,0.0,0.0,-10555.322351783081
t8,10897.684846751252,0.0014251598288475078,-0.0016836453965072833,0.0,-0.0,0.0,-4.419236928643178e-7,0.0,0.0,-10897.684587832253
t9,11477.770415278253,0.0014252259363806198,-0.0016831563223988746,0.0,-0.0,0.0,-4.419248035262966e-7,0.0,0.0,-11477.77015692447
t10,12047.696866859602,0.0014253640236062061,-0.0016825683115455586,0.0,-0.0,0.0,-4.41922416317241e-7,0.0,0.0,-12047.696609219976
t11,12390.059103282973,0.001425038725193236,-0.0016826169375735187,0.0,-0.0,0.0,-4.4191991369088023e-7,0.0,0.0,-12390.058845269148
t12,12517.048063677552,0.0014247491679130917,-0.0016827629841200454,0.0,-0.0,0.0,-4.419187451600606e-7,0.0,0.0,-12517.04780522804
t13,12578.0027644706,0.0014246813651053521,-0.0016827079226492618,0.0,-0.0,0.0,-4.419187335979411e-7,0.0,0.0,-12578.002506008308
t14,12465.236568446893,0.0014244675278681394,-0.001682913839726146,0.0,-0.0,0.0,-4.419192501957139e-7,0.0,0.0,-12465.236309564812
t15,12342.311256039748,0.0014241215968539404,-0.0016834009756971323,0.0,-0.0,0.0,-4.419213419098744e-7,0.0,0.0,-12342.310996324604
t16,12413.425074913714,0.0014236495757368732,-0.0016842259089715466,0.0,-0.0,0.0,-4.419246265760449e-7,0.0,0.0,-12413.424813901584
t17,13623.37588287274,0.0014246777710533352,-0.001682724694892748,0.0,-0.0,0.0,-4.419314984606035e-7,0.0,0.0,-13623.375624389904
t18,14770.340167224487,0.001425389603786351,-0.0016814398464249395,0.0,-0.0,0.0,-4.4193310386354545e-7,0.0,0.0,-14770.339910738616
t19,14683.987675792341,0.001424625545867607,-0.0016820158074738333,0.0,-0.0,0.0,-4.419346179514943e-7,0.0,0.0,-14683.987417966568
