Resource,ngcc,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,1,0
Sum,0.9535974,11.793727,0.0,0.0,0.0,12.747324
t1,1.1530868747327247e-7,1.179725650293881e-7,0.0,0.0,0.0,2.3328125250266056e-7
t2,1.1531462571832308e-7,1.1799405345473138e-7,0.0,0.0,0.0,2.3330867917305446e-7
t3,1.1532470842696232e-7,1.180219678252245e-7,0.0,0.0,0.0,2.3334667625218682e-7
t4,1.153397571913381e-7,1.1805765850303421e-7,0.0,0.0,0.0,2.333974156943723e-7
t5,1.1535861334587265e-7,1.180999637318533e-7,0.0,0.0,0.0,2.3345857707772597e-7
t6,1.1537805791517765e-7,1.1814484697292581e-7,0.0,0.0,0.0,2.3352290488810345e-7
t7,1.1539406540236531e-7,1.1818649181658414e-7,0.0,0.0,0.0,2.3358055721894945e-7
t8,1.1540503030896487e-7,1.1822072713419027e-7,0.0,0.0,0.0,2.3362575744315514e-7
t9,1.1541295767977198e-7,1.1824851571966028e-7,0.0,0.0,0.0,2.3366147339943224e-7
t10,1.1541737374455178e-7,1.1826716651009603e-7,0.0,0.0,0.0,2.3368454025464782e-7
t11,1.1541928227012077e-7,1.1827759456010245e-7,0.0,0.0,0.0,2.336968768302232e-7
t12,1.1542004052270042e-7,1.1828474520072887e-7,0.0,0.0,0.0,2.3370478572342927e-7
t13,1.1542050460532257e-7,1.182910823561799e-7,0.0,0.0,0.0,2.3371158696150246e-7
t14,1.1542084394077529e-7,1.182971364651084e-7,0.0,0.0,0.0,2.337179804058837e-7
t15,1.1542169719892187e-7,1.1830456268301437e-7,0.0,0.0,0.0,2.3372625988193626e-7
t16,1.1542313675557306e-7,1.1831446496136702e-7,0.0,0.0,0.0,2.3373760171694008e-7
t17,1.1542472830321921e-7,1.1832800265031373e-7,0.0,0.0,0.0,2.3375273095353293e-7
t18,1.1542254866363794e-7,1.1833563846811004e-7,0.0,0.0,0.0,2.3375818713174797e-7
t19,1.1541660561885715e-7,1.1833141841301936e-7,0.0,0.0,0.0,2.3374802403187651e-7
t20,1.1541119626413906e-7,1.1832916730449553e-7,0.0,0.0,0.0,2.3374036356863457e-7
t21,1.1540718139532158e-7,1.1833191575520047e-7,0.0,0.0,0.0,2.3373909715052205e-7
