Resource,ngcc,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
Zone,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,-3.5655611856301803
t2,0.0,0.0,0.0,0.0,-3.5655324068355383
t3,0.0,0.0,0.0,0.0,-3.5654284148596993
t4,0.0,0.0,0.0,0.0,-3.5653287099891733
t5,0.0,0.0,0.0,0.0,-3.5653000346734802
t6,0.0,0.0,0.0,0.0,-3.565366086523233
t7,0.0,0.0,0.0,0.0,-3.565468974953248
t8,0.0,0.0,0.0,0.0,-3.565470831658037
t9,0.0,0.0,0.0,0.0,-3.565474257697026
t10,0.0,0.0,0.0,0.0,-3.5653638758210326
t11,0.0,0.0,0.0,0.0,-3.5652843524232245
t12,0.0,0.0,0.0,0.0,-3.5652057187522965
t13,0.0,0.0,0.0,0.0,-3.5651382082779275
t14,0.0,0.0,0.0,0.0,-3.565067942413749
t15,0.0,0.0,0.0,0.0,-3.5650468209481576
t16,0.0,0.0,0.0,0.0,-3.565067753491199
t17,0.0,0.0,0.0,0.0,-3.5654320498633982
t18,0.0,0.0,0.0,0.0,-3.56590026152593
t19,0.0,0.0,0.0,0.0,-3.5658832049663385
t20,0.0,0.0,0.0,0.0,-3.56581373147907
t21,0.0,0.0,0.0,0.0,-3.5657794128715032
t22,0.0,0.0,0.0,0.0,-3.5657541414436125
t23,0.0,0.0,0.0,0.0,-3.5657159317978047
t24,0.0,0.0,0.0,0.0,-3.565625914511214
t25,0.0,0.0,0.0,0.0,-3.565392658185688
t26,0.0,0.0,0.0,0.0,-3.5649737883197092
t27,0.0,0.0,0.0,0.0,-3.564512979325921
t28,0.0,0.0,0.0,0.0,-3.5643998137848243
t29,0.0,0.0,0.0,0.0,-3.564924807639873
t30,0.0,0.0,0.0,0.0,-3.565456231205949
t31,0.0,0.0,0.0,0.0,-3.565624593686935
t32,0.0,0.0,0.0,0.0,-3.565585973734838
t33,0.0,0.0,0.0,0.0,-3.565665184162162
t34,0.0,0.0,0.0,0.0,-3.5658044945482317
t35,0.0,0.0,0.0,0.0,-3.5658870217765823
t36,0.0,0.0,0.0,0.0,-3.5658505086009593
t37,0.0,0.0,0.0,0.0,-3.565714422015877
t38,0.0,0.0,0.0,0.0,-3.5655302018573103
t39,0.0,0.0,0.0,0.0,-3.5653177213533946
t40,0.0,0.0,0.0,0.0,-3.565152927471478
t41,0.0,0.0,0.0,0.0,-3.565439925727879
t42,0.0,0.0,0.0,0.0,-3.5659253648745994
