Names,Peak demand,Scale factor (multiples of representative networks),Share of zonal demand,Network_zones,DistrZones,CO_2_Max_ton_MWh,CO_2_Max_Mtons,CO_2_Import_ton_MWh,CO_2_Export_ton_MWh,RPS,CES,Share_in_MV,DistrLossFact_LV_Net_Quad,DistrLossFact_MV_Net_Linear,DistrLossFact_LV_Total_Linear,Predicted Average Loss at Peak,Assumed Distr. Headroom,Distr_Max_Inject,Distr_Max_Withdraw,Distr_Inject_Max_Reinforcement_MW,Distr_Withdraw_Max_Reinforcement_MW,Distr_MV_Reinforcement_Cost_per_MW_yr,Distr_LV_Reinforcement_Cost_per_MW_yr,DistrMarginFact_LV_Linear,DistrMarginFact_LV_Quad,DistrMarginFact_MV_Linear,DistrMargin_MV_Max,DistrMargin_MV_DiscountFact,Network_lines,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,Line_Loss_Percentage,Line_Max_Flow_MW,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MW_yr,Line_Voltage_kV,Line_Resistance_ohms,Line_X_ohms,Line_R_ohms,Thetha_max,Peak_Withdrawal_Hours,Peak_Injection_Hours,After_Tax_WACC,LineDistance_km
S_D_AECI,10000,0,0,z1,0,-1,-1,0,0,0,0,0,0,0,0,n/a,n/a,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
MIS_WUMS,10000,0,0,z2,0,-1,-1,0,0,0.129821437,0,0,0,0,0,n/a,n/a,-1,-1,-1,-1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1039,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
MIS_MO,10000,0,0,z3,0,-1,-1,0,0,0.15,0,0,0,0,0,n/a,n/a,-1,-1,-1,-1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1130,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
MIS_MNWI,10000,0,0,z4,0,-1,-1,0,0,0.1707064,0,0,0,0,0,n/a,n/a,-1,-1,-1,-1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1172,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
MIS_MIDA,10000,0,0,z5,0,-1,-1,0,0,0.007328441,0,0,0,0,0,n/a,n/a,-1,-1,-1,-1,0,0,0,0,0,0,0,5,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
MIS_LMI,10000,0,0,z6,0,-1,-1,0,0,0.15,0,0,0,0,0,n/a,n/a,-1,-1,-1,-1,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1200,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
MIS_LA,10000,0,0,z7,0,-1,-1,0,0,0,0,0,0,0,0,n/a,n/a,-1,-1,-1,-1,0,0,0,0,0,0,0,7,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
MIS_INKY,10000,0,0,z8,0,-1,-1,0,0,0.057628035,0,0,0,0,0,n/a,n/a,-1,-1,-1,-1,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,3400,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
MIS_IL,10000,0,0,z9,0,-1,-1,0,0,0.25,0,0,0,0,0,n/a,n/a,-1,-1,-1,-1,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,223,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
MIS_IA,10000,0,0,z10,0,-1,-1,0,0,0.007328441,0,0,0,0,0,n/a,n/a,-1,-1,-1,-1,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,300,0,0,230,1.234,1.234,1.234,1.5,All,all,0.071,317
