Line,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,Total
Sum,-2.5948595202743053e6,2.7703556299676844e6,-1.2872353960852693e6,-3.252244579706516e6,-8.893156166344149e6,-717240.9143597657,-810586.6406821754,3.898551129237763e6,-1.0208446464121379e6,292984.5792433533,3.0574059177576904e6,1.4482071774626417e7,4.1954749673569305e6,-6.841574048156468e6,-1.8817270118640333e6,-2.120799816985793e6,9.359307829219585e6,-3.588459441170576e6,-1.3683439318257244e6,-1.3183498279060067e6,-4.0308628869853895e6,-86705.5160735767,1.236204409745013e6,-1.0379748326711912e7,4.19725852911109e7,7.32913363857532e6,7.537807490772111e6,1.3387835554183627e7,-1.4374046613074401e6,-813048.530565199,4.499824432343832e6,6.907922869255138e6,1.0805352436018592e7,6.229005088505418e6,2.133911522892662e6,8.765254269739562e7
t1,1461.0847907569996,1039.0,-1130.0,-1172.0,-1480.0,376.2497609490014,-716.0,2794.322343756999,-223.0,-300.0,1195.0,3000.0,716.0,-1616.0,-600.0,-1790.9272781319999,2000.0,1400.0,-961.3039889511131,-1949.0,-905.0,-956.0,300.0,-2942.0,5283.0,1200.0,1176.6400609949999,1807.5504388122624,-792.0,1894.6874242782612,1070.0,-759.9196705813221,-1436.0426218078608,980.0,600.0,8564.341260076228
t2,1370.001659455,1039.0,-1130.0,-1172.0,-1480.0,359.33357848600014,-716.0,2775.1912574549992,-223.0,-300.0,1195.0,3000.0,716.0,-1616.0,-600.0,-1912.0,2000.0,1400.0,-645.0367632543749,-1949.0,-905.0,-956.0,300.0,-2942.0,5283.0,1200.0,1049.1367517099995,2123.5156175090005,-792.0,2119.0,1070.0,-548.3907639657759,-1440.4936187024614,980.0,600.0,9252.257718692388
t3,1273.6701204659996,1039.0,-1130.0,-1172.0,-1480.0,448.8455538620031,-716.0,2722.6342944659996,-223.0,-300.0,126.80432673199995,3000.0,716.0,-1616.0,-600.0,-1912.0,2000.0,1400.0,-590.1304897633756,-1751.936811902998,-905.0,-956.0,300.0,-2942.0,5283.0,1200.0,958.5006987340001,2143.0,-792.0,2119.0,1070.0,-696.7606573530047,-1971.6605770656538,980.0,600.0,7625.966458174969
t4,1049.8469440749998,1039.0,-1130.0,-1172.0,-1480.0,846.0999439610008,-716.0,2484.388927074999,-223.0,-300.0,309.90368545199976,3000.0,716.0,-1616.0,-600.0,-802.4234146584141,2000.0,1400.0,-472.5522747633757,-940.5810117209983,-905.0,-956.0,300.0,-2942.0,5283.0,1200.0,600.7509285749994,2143.0,-792.0,2119.0,1070.0,789.1431186628517,-1696.6975028530467,980.0,600.0,11185.879343805016
t5,406.6927357086083,1039.0,-790.7395298006084,-1172.0,-1480.0,1200.0,-33.0813402353638,1222.365373943971,-223.0,-300.0,550.1121257549997,3000.0,716.0,-1616.0,-559.8136426339997,-42.335809737364286,2000.0,1400.0,-221.17489076337594,656.9746592810004,-905.0,-956.0,300.0,-2942.0,5283.0,1200.0,292.62240758800215,2143.0,-792.0,2119.0,1070.0,1433.0,519.8878737262706,980.0,600.0,16098.50996283214
t6,276.1268875725795,1039.0,-980.2113910335797,-1172.0,-1480.0,1200.0,-716.0,1431.6155285725793,-223.0,-300.0,920.8797585619998,3000.0,716.0,-1616.0,-312.6252352179996,41.28194042857736,539.2391882824223,1400.0,116.48155423662443,897.4108512031997,-905.0,-956.0,300.0,-2942.0,5283.0,1200.0,2103.26304132958,2143.0,-792.0,580.0267006752011,1070.0,1433.0,-444.9670306578262,980.0,600.0,14430.521793953358
t7,-67.9033633080619,1039.0,-837.7652891239387,-1172.0,-1480.0,1048.6588974870015,716.0,-817.1715793080624,-223.0,-300.0,1195.0,3000.0,716.0,-1616.0,-257.9468764419996,-339.31573852799994,2000.0,1324.7809003980003,470.24482023662404,385.543664592817,-905.0,521.9475157580616,300.0,-2942.0,5283.0,1200.0,922.0158029609993,2143.0,-792.0,-51.03095117118039,1070.0,1132.4936539074754,-942.8085341176278,980.0,600.0,13303.742923342108
t8,-1295.751638106605,1039.0,490.9363059676043,-1172.0,-1480.0,665.210217297999,716.0,-2263.0932791066043,-223.0,-300.0,1177.9716704173052,3000.0,716.0,-1616.0,-103.57432817200002,12.574315721811224,1523.8126471701892,663.2615262420014,501.4305592366237,338.1807814163467,-905.0,956.0,300.0,-573.6204500755817,5283.0,1200.0,-207.75475642460384,2143.0,-792.0,139.5125628873468,1070.0,1433.0,418.04846837978357,980.0,600.0,14435.144602851617
t9,545.1907503656524,-811.0803702204524,-1130.0,569.3408006868,-1480.0,962.0946547905977,-716.0,544.9522847504902,153.14658558253115,300.0,237.25464623146843,3000.0,-651.3811462650865,-1616.0,-600.0,209.51306482506482,2000.0,322.81413043800103,778.7191655167577,387.3529493827932,-905.0,956.0,300.0,-2713.335653801,5283.0,1200.0,1468.795487048403,2143.0,-792.0,2119.0,516.5568234312134,1433.0,-157.51359021742363,980.0,600.0,15437.42058254581
