BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18
AnnualSum,2.1806230719497535e7,0.0,0.0,0.0,0.0,0.0,0.0,2.230072343205741e6,0.0,-2.40363030627033e7,6.02426276325384e7,0.0,0.0,0.0,0.0,0.0,0.0,9.610397080703901e6,0.0,-6.985302471324235e7,4.791085823980249e7,0.0,0.0,0.0,0.0,0.0,0.0,-4.954963941661103e6,0.0,-4.2955894298141785e7,1.3081733681635638e8,0.0,0.0,0.0,0.0,0.0,0.0,-2.6432633858728252e7,0.0,-1.0438470295762812e8,3.52739505529836e7,0.0,0.0,0.0,0.0,0.0,0.0,-3.521268560252425e6,0.0,-3.1752681992731176e7,1.0981909622771798e8,0.0,0.0,0.0,0.0,0.0,0.0,3.588459441170576e6,0.0,-1.1340755566888867e8,1.4624539454479977e8,0.0,0.0,0.0,0.0,0.0,0.0,6.717556646717127e6,0.0,-1.5296295119151694e8,1.355894483255041e8,0.0,0.0,0.0,0.0,0.0,0.0,-3.2742335858070478e7,0.0,-1.0284711246743372e8,5.726479978712812e7,0.0,0.0,0.0,0.0,0.0,0.0,-6.859620548826295e6,0.0,-5.040517923830168e7,2.798497505581084e7,0.0,0.0,0.0,0.0,0.0,0.0,-4.805012776810921e6,0.0,-2.3179962278999876e7,5.388046137121141e7,0.0,0.0,0.0,0.0,0.0,0.0,-1.0548419194734221e7,0.0,-4.333204217647719e7,1.5617384554510906e8,0.0,0.0,0.0,0.0,0.0,0.0,2.3581783828055788e7,0.0,-1.797556293731649e8,1.5140462162766332e7,0.0,0.0,0.0,0.0,0.0,0.0,8.100520330418536e6,0.0,-2.324098249318488e7,3.888253232710511e7,0.0,0.0,0.0,0.0,0.0,0.0,-4.528898253897087e6,0.0,-3.4353634073208064e7,7.734998748750405e7,0.0,0.0,0.0,0.0,0.0,0.0,-4.891680383605376e6,0.0,-7.245830710389872e7,1.6060766412084693e8,0.0,0.0,0.0,0.0,0.0,0.0,2.0848403080192527e6,0.0,-1.626925044288664e8,1.0853202534573297e8,0.0,0.0,0.0,0.0,0.0,0.0,-428879.00958538393,0.0,-1.081031463361478e8,1.816214371160044e8,0.0,0.0,0.0,0.0,0.0,0.0,4.3800082407880604e7,0.0,-2.254215195238854e8
t1,2694.186790757,0.0,-0.0,0.0,0.0,0.0,0.0,-798.0847907569998,-0.0,-1896.102,4820.672343949001,0.0,-0.0,0.0,0.0,0.0,0.0,1103.7502390509985,-0.0,-5924.422583,4253.4,0.0,-0.0,0.0,0.0,0.0,0.0,-94.23755299999942,-0.0,-4159.162447,15245.650922999997,0.0,-0.0,0.0,0.0,0.0,0.0,-5675.0,-0.0,-9570.650923,2190.8063938679998,0.0,-0.0,0.0,0.0,0.0,0.0,574.9272781319999,-0.0,-2765.733672,10340.289232,0.0,-0.0,0.0,0.0,0.0,0.0,-1400.0,-0.0,-8940.289232,10246.184381048888,0.0,-0.0,0.0,0.0,0.0,0.0,3815.3039889511133,-0.0,-14061.48837,11226.466528,0.0,-0.0,0.0,0.0,0.0,0.0,-1685.0000000000005,-0.0,-9541.466528,4488.214639238,0.0,-0.0,0.0,0.0,0.0,0.0,177.6822827619995,-0.0,-4665.896922,2663.029517,0.0,-0.0,0.0,0.0,0.0,0.0,-644.0,-0.0,-2019.029517,4861.803564763376,0.0,-0.0,0.0,0.0,0.0,0.0,-937.8544277633756,-0.0,-3923.949137,15393.530585466,0.0,-0.0,0.0,0.0,0.0,0.0,63.86301453400123,-0.0,-15457.3936,824.0157500000005,0.0,-0.0,0.0,0.0,0.0,0.0,1329.9999999999998,-0.0,-2154.01575,3011.9452065506775,0.0,-0.0,0.0,0.0,0.0,0.0,38.99239244932229,-0.0,-3050.937599,6939.910102773461,0.0,-0.0,0.0,0.0,0.0,0.0,-753.877048773461,-0.0,-6186.033054,19637.911411807865,0.0,-0.0,0.0,0.0,0.0,0.0,-4305.042621807861,-0.0,-15332.86879,12416.667788056,0.0,-0.0,0.0,0.0,0.0,0.0,-369.1101780559991,-0.0,-12047.55761,19442.16661572174,0.0,-0.0,0.0,0.0,0.0,0.0,9557.687424278261,-0.0,-28999.85404
t2,2612.827259455,0.0,-0.0,0.0,0.0,0.0,0.0,-707.0016594550001,-0.0,-1905.8256,4699.587091486001,0.0,-0.0,0.0,0.0,0.0,0.0,1120.666421514,-0.0,-5820.253513,4253.4,0.0,-0.0,0.0,0.0,0.0,0.0,-166.18959799999917,-0.0,-4087.210402,15014.110235999999,0.0,-0.0,0.0,0.0,0.0,0.0,-5675.0,-0.0,-9339.110236,2012.931717,0.0,-0.0,0.0,0.0,0.0,0.0,696.0000000000002,-0.0,-2708.931717,10223.533106,0.0,-0.0,0.0,0.0,0.0,0.0,-1400.0,-0.0,-8823.533106,10552.922846745623,0.0,-0.0,0.0,0.0,0.0,0.0,3499.0367632543757,-0.0,-14051.95961,11093.263350000001,0.0,-0.0,0.0,0.0,0.0,0.0,-1685.0000000000005,-0.0,-9408.26335,4338.691877255,0.0,-0.0,0.0,0.0,0.0,0.0,286.0545057449997,-0.0,-4624.746383,2621.5631880000005,0.0,-0.0,0.0,0.0,0.0,0.0,-644.0,-0.0,-1977.563188,4861.803564763376,0.0,-0.0,0.0,0.0,0.0,0.0,-937.5523807633757,-0.0,-3924.251184,15392.537182491002,0.0,-0.0,0.0,0.0,0.0,0.0,155.51561750900035,-0.0,-15548.0528,864.2867070000004,0.0,-0.0,0.0,0.0,0.0,0.0,1329.9999999999998,-0.0,-2194.286707,3374.6821720342236,0.0,-0.0,0.0,0.0,0.0,0.0,-293.60923603422395,-0.0,-3081.072936,6755.513537263314,0.0,-0.0,0.0,0.0,0.0,0.0,-537.8971452633145,-0.0,-6217.616392,19885.83283870246,0.0,-0.0,0.0,0.0,0.0,0.0,-4309.493618702461,-0.0,-15576.33922,12371.380469803998,0.0,-0.0,0.0,0.0,0.0,0.0,-513.5296698040006,-0.0,-11857.8508,19483.9561,0.0,-0.0,0.0,0.0,0.0,0.0,9782.0,-0.0,-29265.9561
t3,2568.354920466,0.0,-0.0,0.0,0.0,0.0,0.0,-610.6701204659997,-0.0,-1957.6848,4709.392719862004,0.0,-0.0,0.0,0.0,0.0,0.0,1031.154446137997,-0.0,-5740.547166,4253.4,0.0,-0.0,0.0,0.0,0.0,0.0,-209.96417399999973,-0.0,-4043.4358259999995,13790.001833732003,0.0,-0.0,0.0,0.0,0.0,0.0,-4606.804326732,-0.0,-9183.197507,1972.9933170000004,0.0,-0.0,0.0,0.0,0.0,0.0,696.0000000000002,-0.0,-2668.993317,10163.369003,0.0,-0.0,0.0,0.0,0.0,0.0,-1400.0,-0.0,-8763.369003,10900.626308333629,0.0,-0.0,0.0,0.0,0.0,0.0,3247.067301666374,-0.0,-14147.69361,10994.974994000002,0.0,-0.0,0.0,0.0,0.0,0.0,-1685.0000000000005,-0.0,-9309.974994,4258.466050268,0.0,-0.0,0.0,0.0,0.0,0.0,324.1335957319995,-0.0,-4582.599646,3660.603194268,0.0,-0.0,0.0,0.0,0.0,0.0,-1712.195673268,-0.0,-1948.407521,4861.803564763376,0.0,-0.0,0.0,0.0,0.0,0.0,-902.1304897633755,-0.0,-3959.673075,15392.687211903,0.0,-0.0,0.0,0.0,0.0,0.0,372.06318809700167,-0.0,-15764.7504,898.5581810000001,0.0,-0.0,0.0,0.0,0.0,0.0,1329.9999999999998,-0.0,-2228.558181,3293.1277126469954,0.0,-0.0,0.0,0.0,0.0,0.0,-145.2393426469951,-0.0,-3147.88837,6522.672515287351,0.0,-0.0,0.0,0.0,0.0,0.0,-155.100080287351,-0.0,-6367.572435,20892.013867065652,0.0,-0.0,0.0,0.0,0.0,0.0,-4840.660577065653,-0.0,-16051.353289999997,12334.854967403999,0.0,-0.0,0.0,0.0,0.0,0.0,-514.6537474039972,-0.0,-11820.20122,19918.033670000004,0.0,-0.0,0.0,0.0,0.0,0.0,9782.0,-0.0,-29700.03367
t4,2445.008944075,0.0,-0.0,0.0,0.0,0.0,0.0,-386.84694407499984,-0.0,-2058.162,5137.308477961002,0.0,-0.0,0.0,0.0,0.0,0.0,633.9000560389991,-0.0,-5771.208534,4253.4,0.0,-0.0,0.0,0.0,0.0,0.0,-195.5419829999993,-0.0,-4057.858017,13979.260603452001,0.0,-0.0,0.0,0.0,0.0,0.0,-4789.903685452,-0.0,-9189.356918,3092.8203603415855,0.0,-0.0,0.0,0.0,0.0,0.0,-413.5765853415858,-0.0,-2679.243775,10300.963296999998,0.0,-0.0,0.0,0.0,0.0,0.0,-1400.0,-0.0,-8900.963297,12253.902783515627,0.0,-0.0,0.0,0.0,0.0,0.0,2318.133286484374,-0.0,-14572.03607,11034.767382,0.0,-0.0,0.0,0.0,0.0,0.0,-1685.0000000000005,-0.0,-9349.767382,4199.7014285000005,0.0,-0.0,0.0,0.0,0.0,0.0,443.63799849999987,-0.0,-4643.339427,3484.9868325480006,0.0,-0.0,0.0,0.0,0.0,0.0,-1529.0963145480002,-0.0,-1955.890518,4861.803564763376,0.0,-0.0,0.0,0.0,0.0,0.0,-784.5522747633755,-0.0,-4077.2512900000006,15396.158611720999,0.0,-0.0,0.0,0.0,0.0,0.0,1183.4189882790015,-0.0,-16579.5776,1023.2322680000001,0.0,-0.0,0.0,0.0,0.0,0.0,1329.9999999999998,-0.0,-2353.232268,3837.571800321266,0.0,-0.0,0.0,0.0,0.0,0.0,-521.5665333212658,-0.0,-3316.005267,5742.194414484101,0.0,-0.0,0.0,0.0,0.0,0.0,1055.8406215158984,-0.0,-6798.035036,21663.346702853043,0.0,-0.0,0.0,0.0,0.0,0.0,-4565.697502853046,-0.0,-17097.6492,12343.970187464,0.0,-0.0,0.0,0.0,0.0,0.0,-475.14912746400006,-0.0,-11868.82106,20718.526249999995,0.0,-0.0,0.0,0.0,0.0,0.0,9782.0,-0.0,-30500.52625
t5,2356.1148059079997,0.0,-0.0,0.0,0.0,0.0,0.0,-82.95320590799993,-0.0,-2273.1616,5670.164747000001,0.0,-0.0,0.0,0.0,0.0,0.0,280.0,-0.0,-5950.164747,4455.36,0.0,-0.0,0.0,0.0,0.0,0.0,-259.591297999999,-0.0,-4195.768702,14454.933405755002,0.0,-0.0,0.0,0.0,0.0,0.0,-5030.112125755,-0.0,-9424.82128,3296.423510864,0.0,-0.0,0.0,0.0,0.0,0.0,-530.9318878639997,-0.0,-2765.491623,10714.750869,0.0,-0.0,0.0,0.0,0.0,0.0,-1400.0,-0.0,-9314.750869,14967.70477851763,0.0,-0.0,0.0,0.0,0.0,0.0,469.20023148237556,-0.0,-15436.90501,11314.022937000002,0.0,-0.0,0.0,0.0,0.0,0.0,-1685.0000000000005,-0.0,-9629.022937,5331.551847644031,0.0,-0.0,0.0,0.0,0.0,0.0,-510.2570336440311,-0.0,-4821.294814,3307.7406912450006,0.0,-0.0,0.0,0.0,0.0,0.0,-1288.8878742450004,-0.0,-2018.852817,4861.803564763376,0.0,-0.0,0.0,0.0,0.0,0.0,-533.1748907633757,-0.0,-4328.628674,15397.300540718998,0.0,-0.0,0.0,0.0,0.0,0.0,2780.974659281,-0.0,-18178.2752,1324.4426386339999,0.0,-0.0,0.0,0.0,0.0,0.0,1370.1863573660005,-0.0,-2694.628996,4056.3664977373637,0.0,-0.0,0.0,0.0,0.0,0.0,-405.3358097373643,-0.0,-3651.030688,7628.388072526881,0.0,-0.0,0.0,0.0,0.0,0.0,-177.627403526879,-0.0,-7450.760669,20977.902176273725,0.0,-0.0,0.0,0.0,0.0,0.0,-2349.1121262737292,-0.0,-18628.79005,12538.983672411998,0.0,-0.0,0.0,0.0,0.0,0.0,-429.3775924119978,-0.0,-12109.60608,21646.871309999995,0.0,-0.0,0.0,0.0,0.0,0.0,9782.0,-0.0,-31428.87131
t6,2381.805096539,0.0,-0.0,0.0,0.0,0.0,0.0,237.0845034610002,-0.0,-2618.8896,6139.400244,0.0,-0.0,0.0,0.0,0.0,0.0,280.0,-0.0,-6419.400244,4455.36,0.0,-0.0,0.0,0.0,0.0,0.0,83.51135900000014,-0.0,-4538.871359,15499.546548562,0.0,-0.0,0.0,0.0,0.0,0.0,-5400.879758562,-0.0,-10098.66679,3069.529080493,0.0,-0.0,0.0,0.0,0.0,0.0,-83.89589349299992,-0.0,-2985.633187,11580.945670000001,0.0,-0.0,0.0,0.0,0.0,0.0,-1400.0,-0.0,-10180.94567,16762.712585439822,0.0,-0.0,0.0,0.0,0.0,0.0,-108.89240543982415,-0.0,-16653.82018,12031.277860000004,0.0,-0.0,0.0,0.0,0.0,0.0,-1685.0000000000005,-0.0,-10346.27786,7322.599769757,0.0,-0.0,0.0,0.0,0.0,0.0,-2111.647512757001,-0.0,-5210.952257,3097.679898438,0.0,-0.0,0.0,0.0,0.0,0.0,-918.1202414380003,-0.0,-2179.559657,4861.803564763376,0.0,-0.0,0.0,0.0,0.0,0.0,-195.5184457633754,-0.0,-4666.285119,15396.801449472001,0.0,-0.0,0.0,0.0,0.0,0.0,4560.384150527999,-0.0,-19957.1856,1289.467195218,0.0,-0.0,0.0,0.0,0.0,0.0,1617.3747647820005,-0.0,-2906.84196,4203.5384415714225,0.0,-0.0,0.0,0.0,0.0,0.0,-321.71805957142266,-0.0,-3881.820382,7257.173323375753,0.0,-0.0,0.0,0.0,0.0,0.0,597.7556396242464,-0.0,-7854.928963,22902.324820657825,0.0,-0.0,0.0,0.0,0.0,0.0,-3313.967030657826,-0.0,-19588.35779,12505.059490388,0.0,-0.0,0.0,0.0,0.0,0.0,-79.49777038799755,-0.0,-12425.56172,23787.299199324796,0.0,-0.0,0.0,0.0,0.0,0.0,8243.026700675202,-0.0,-32030.3259
t7,2357.406547568,0.0,-0.0,0.0,0.0,0.0,0.0,438.6686524320006,-0.0,-2796.0752,6638.267411487,0.0,-0.0,0.0,0.0,0.0,0.0,431.34110251299853,-0.0,-7069.608514,4455.36,0.0,-0.0,0.0,0.0,0.0,0.0,556.2682160000005,-0.0,-5011.628216,16833.01255,0.0,-0.0,0.0,0.0,0.0,0.0,-5675.0,-0.0,-11158.01255,3074.48980803,0.0,-0.0,0.0,0.0,0.0,0.0,213.26261496999965,-0.0,-3287.752423,12484.702340398002,0.0,-0.0,0.0,0.0,0.0,0.0,-1324.7809003980003,-0.0,-11159.92144,17853.998964829443,0.0,-0.0,0.0,0.0,0.0,0.0,49.211515170559,-0.0,-17903.21048,14482.836935758063,0.0,-0.0,0.0,0.0,0.0,0.0,-3162.947515758062,-0.0,-11319.88942,7358.260256511,0.0,-0.0,0.0,0.0,0.0,0.0,-1701.239866511,-0.0,-5657.02039,3044.111498,0.0,-0.0,0.0,0.0,0.0,0.0,-644.0,-0.0,-2400.111498,4861.803564763376,0.0,-0.0,0.0,0.0,0.0,0.0,158.24482023662424,-0.0,-5020.048385,15395.910184235998,0.0,-0.0,0.0,0.0,0.0,0.0,4679.574615763997,-0.0,-20075.4848,1251.887627442,0.0,-0.0,0.0,0.0,0.0,0.0,1672.0531235580006,-0.0,-2923.940751,4329.854113435476,0.0,-0.0,0.0,0.0,0.0,0.0,-401.80939243547533,-0.0,-3928.044721,6972.378178098836,0.0,-0.0,0.0,0.0,0.0,0.0,937.5368989011646,-0.0,-7909.915077,23359.666214117628,0.0,-0.0,0.0,0.0,0.0,0.0,-3811.8085341176275,-0.0,-19547.85768,12597.884989551998,0.0,-0.0,0.0,0.0,0.0,0.0,48.67470044800082,-0.0,-12646.55969,24497.385180773177,0.0,-0.0,0.0,0.0,0.0,0.0,7536.74994922682,-0.0,-32034.135129999995
t8,2385.8730678609995,0.0,-0.0,0.0,0.0,0.0,0.0,337.8153321390007,-0.0,-2723.6884,6579.503036298,0.0,-0.0,0.0,0.0,0.0,0.0,814.7897827020009,-0.0,-7394.292819,4455.36,0.0,-0.0,0.0,0.0,0.0,0.0,774.3416409999993,-0.0,-5229.701641,17487.151480417302,0.0,-0.0,0.0,0.0,0.0,0.0,-5657.971670417305,-0.0,-11829.17981,3279.17383472,0.0,-0.0,0.0,0.0,0.0,0.0,183.1873652799998,-0.0,-3462.3612,12468.912656242,0.0,-0.0,0.0,0.0,0.0,0.0,-663.2615262420014,-0.0,-11805.65113,17901.105890652972,0.0,-0.0,0.0,0.0,0.0,0.0,65.38865934702964,-0.0,-17966.49455,17738.358479924424,0.0,-0.0,0.0,0.0,0.0,0.0,-5965.379549924419,-0.0,-11772.97893,7465.6712456820005,0.0,-0.0,0.0,0.0,0.0,0.0,-1583.3385226820008,-0.0,-5882.332723,3188.607008582695,0.0,-0.0,0.0,0.0,0.0,0.0,-661.0283295826949,-0.0,-2527.578679,4861.803564763376,0.0,-0.0,0.0,0.0,0.0,0.0,189.43055923662388,-0.0,-5051.234124,15396.112581470998,0.0,-0.0,0.0,0.0,0.0,0.0,4441.668218528999,-0.0,-19837.7808,1201.3021021719999,0.0,-0.0,0.0,0.0,0.0,0.0,1826.425671828,-0.0,-3027.727774,4430.727053278189,0.0,-0.0,0.0,0.0,0.0,0.0,-350.4256842781888,-0.0,-4080.301369,6844.535013412179,0.0,-0.0,0.0,0.0,0.0,0.0,1205.8878375878207,-0.0,-8050.422851,21758.702631620217,0.0,-0.0,0.0,0.0,0.0,0.0,-2450.951531620216,-0.0,-19307.7511,12432.157762031999,0.0,-0.0,0.0,0.0,0.0,0.0,427.64765796800265,-0.0,-12859.80542,24421.054200870654,0.0,-0.0,0.0,0.0,0.0,0.0,7065.774089129349,-0.0,-31486.82829
