Region,Resource,Zone,Cluster,AnnualSum
1,Solar_z01_01,1,1,1.2124721e6
2,Solar_z02_01,2,1,3.777582e8
3,Solar_z03_01,3,1,3.4508746e8
4,Solar_z04_01,4,1,3.3157062e7
5,Solar_z05_01,5,1,9.84489e7
6,Solar_z06_01,6,1,5.9618874e8
7,Solar_z07_01,7,1,1.2332819e9
8,Solar_z08_01,8,1,1.1291009e9
9,Solar_z09_01,9,1,4.7717785e6
10,Solar_z10_01,10,1,9.5199864e7
11,Solar_z11_01,11,1,3.9543725e8
12,Solar_z12_01,12,1,8.8318605e8
13,Solar_z13_01,13,1,2.0509214e8
14,Solar_z14_01,14,1,1.938895e8
15,Solar_z15_01,15,1,1.6814965e8
16,Solar_z16_01,16,1,9.328943e8
17,Solar_z17_01,17,1,1.8489958e6
18,Solar_z18_01,18,1,6.804747e8
1,Wind_z01_02,1,1,1.4117419e7
1,Wind_z01_03,1,1,6.850633e8
2,Wind_z02_01,2,1,5.612926e8
2,Wind_z02_02,2,1,6.23905e7
3,Wind_z03_01,3,1,2875.956
4,Wind_z04_01,4,1,2.9576976e8
4,Wind_z04_02,4,1,1.8682658e8
4,Wind_z04_03,4,1,1.9463674e9
4,Wind_z04_04,4,1,1.0435273e8
5,Wind_z05_01,5,1,6.425544e7
5,Wind_z05_02,5,1,3.900808e8
6,Wind_z06_01,6,1,1.1367659e8
6,Wind_z06_02,6,1,1.4354813e9
7,Wind_z07_01,7,1,1725.255
8,Wind_z08_01,8,1,1.1147672e8
8,Wind_z08_02,8,1,1.8549224e8
9,Wind_z09_01,9,1,8.7198835e8
9,Wind_z09_02,9,1,2.0979074e8
10,Wind_z10_01,10,1,3.1834954e8
10,Wind_z10_02,10,1,1.0383149e8
11,Wind_z11_01,11,1,6188.884
12,Wind_z12_01,12,1,1.3863216e8
13,Wind_z13_01,13,1,2.9915564e7
13,Wind_z13_02,13,1,2.0046744e8
14,Wind_z14_01,14,1,6.961104e7
14,Wind_z14_02,14,1,8.1732346e8
15,Wind_z15_01,15,1,1.895008e8
15,Wind_z15_02,15,1,1.3222278e9
16,Wind_z16_01,16,1,2.3557648e8
16,Wind_z16_02,16,1,1.8662042e9
16,Wind_z16_03,16,1,1.8667976e8
16,Wind_z16_04,16,1,1.649136e7
17,Wind_z17_01,17,1,9.350891e7
17,Wind_z17_02,17,1,6.03152e7
18,Wind_z18_01,18,1,4.1244864e7
18,Wind_z18_02,18,1,4.0634012e9
2,Hyd_z02_01,2,1,0.0
3,Hyd_z03_01,3,1,0.0
4,Hyd_z04_01,4,1,0.0
6,Hyd_z06_01,6,1,0.0
7,Hyd_z07_01,7,1,0.0
8,Hyd_z08_01,8,1,0.0
11,Hyd_z11_01,11,1,0.0
12,Hyd_z12_01,12,1,0.0
13,Hyd_z13_01,13,1,0.0
14,Hyd_z14_01,14,1,0.0
15,Hyd_z15_01,15,1,0.0
16,Hyd_z16_01,16,1,0.0
18,Hyd_z18_01,18,1,0.0
11,coal-new_1_z11,11,1,2028.3766
11,CoalOldUns_1_z11,11,1,2191.3115
11,gas-CC_1_z11,11,1,2.6821309e8
11,gas-CT_1_z11,11,1,1.140102e7
11,nuclear_1_z11,11,1,5.753306e8
11,o-g-s_1_z11,11,1,6228.6606
10,coal-new_1_z10,10,1,46365.316
10,CoalOldScr_1_z10,10,1,4828.821
10,CoalOldScr_2_z10,10,1,26391.912
10,gas-CC_1_z10,10,1,1.9642883e8
10,gas-CT_1_z10,10,1,2.1790562e6
10,o-g-s_1_z10,10,1,3508.4822
9,coal-new_1_z09,9,1,3733.3215
9,CoalOldScr_1_z09,9,1,4199.996
9,gas-CC_1_z09,9,1,4794.2017
9,gas-CC_2_z09,9,1,7.503959e7
9,gas-CT_1_z09,9,1,5.4648892e7
9,nuclear_1_z09,9,1,3.022095e8
9,o-g-s_1_z09,9,1,532.7855
8,coal-IGCC_1_z08,8,1,1308.4677
8,coal-new_1_z08,8,1,2781.6877
8,CoalOldScr_1_z08,8,1,2547.5
8,gas-CC_1_z08,8,1,7.099386e8
8,gas-CC_2_z08,8,1,2.822197e7
8,gas-CC_3_z08,8,1,1.3603608e7
8,gas-CT_1_z08,8,1,8.5308104e7
8,o-g-s_1_z08,8,1,1514.549
7,coal-new_1_z07,7,1,1681.376
7,CoalOldScr_1_z07,7,1,1479.2703
7,gas-CC_1_z07,7,1,14932.269
7,gas-CC_2_z07,7,1,6.846856e8
7,gas-CC_4_z07,7,1,1.0943545e8
7,gas-CT_1_z07,7,1,7.04058e7
7,nuclear_1_z07,7,1,1.1080521e9
7,o-g-s_1_z07,7,1,862.52985
7,o-g-s_2_z07,7,1,20313.926
6,biopower_1_z06,6,1,2.2773122e7
6,coal-new_1_z06,6,1,2392.204
6,CoalOldScr_1_z06,6,1,2080.5
6,gas-CC_1_z06,6,1,2.9244995e8
18,gas-CC_2_z18,18,1,1.923026e8
6,gas-CT_1_z06,6,1,8.541493e7
6,nuclear_1_z06,6,1,3.3799738e8
6,o-g-s_1_z06,6,1,548.93567
5,coal-new_1_z05,5,1,1.3961613e8
5,CoalOldScr_1_z05,5,1,7303.7573
5,gas-CC_1_z05,5,1,6.955626e7
5,gas-CT_1_z05,5,1,8.964875e6
5,o-g-s_1_z05,5,1,1.4163979e6
4,biopower_1_z04,4,1,1.8603118e7
4,coal-new_1_z04,4,1,11086.964
4,CoalOldScr_1_z04,4,1,3.811227e8
4,CoalOldScr_2_z04,4,1,9568.31
4,gas-CC_1_z04,4,1,2.3523342e8
4,gas-CT_1_z04,4,1,7.930466e7
4,gas-CT_2_z04,4,1,2.1647162e7
4,nuclear_1_z04,4,1,1169.7697
4,o-g-s_1_z04,4,1,2.333508e6
3,coal-new_1_z03,3,1,2857.0393
3,CoalOldUns_1_z03,3,1,13370.957
3,CoalOldUns_2_z03,3,1,5230.3228
3,gas-CT_1_z03,3,1,3.8948016e7
3,nuclear_1_z03,3,1,3.2764573e8
3,o-g-s_1_z03,3,1,837.48785
2,coal-new_1_z02,2,1,2739.2202
2,CoalOldScr_1_z02,2,1,2525.0444
2,gas-CC_1_z02,2,1,4.8900032e8
2,gas-CC_2_z02,2,1,7.180815e6
2,gas-CC_3_z02,2,1,2.268712e7
2,gas-CT_1_z02,2,1,4.4642064e7
2,nuclear_1_z02,2,1,2.0133338e8
2,o-g-s_2_z02,2,1,1125.0594
17,CoalOldUns_1_z17,17,1,8978.864
17,gas-CC_1_z17,17,1,3.2043933e8
17,gas-CC_2_z17,17,1,2977.28
17,gas-CT_1_z17,17,1,2.988774e8
17,nuclear_1_z17,17,1,2.993754e9
17,o-g-s_1_z17,17,1,303.59247
18,coal-new_1_z18,18,1,3840.4392
18,CoalOldScr_1_z18,18,1,2220.534
18,CoalOldScr_2_z18,18,1,2867.8364
18,gas-CC_1_z18,18,1,8.123632e8
18,gas-CT_1_z18,18,1,1.2721387e8
18,nuclear_1_z18,18,1,6.362631e8
18,o-g-s_1_z18,18,1,746.46704
12,coal-new_1_z12,12,1,2334.7898
12,CoalOldUns_1_z12,12,1,2023.5491
12,gas-CC_1_z12,12,1,5.097915e8
12,gas-CT_1_z12,12,1,6.863682e7
12,nuclear_1_z12,12,1,2.6634826e9
12,o-g-s_1_z12,12,1,3.43717e7
12,o-g-s_2_z12,12,1,2946.334
1,CoalOldUns_1_z01,1,1,1.0585501e8
1,gas-CC_1_z01,1,1,8.827211e7
1,gas-CT_1_z01,1,1,1.1402419e7
15,coal-new_1_z15,15,1,23300.188
15,CoalOldScr_1_z15,15,1,11903.309
15,gas-CC_1_z15,15,1,1.0893063e8
15,gas-CT_1_z15,15,1,6.723023e7
15,nuclear_1_z15,15,1,2.8341645e8
15,o-g-s_1_z15,15,1,670.4128
14,coal-new_1_z14,14,1,6596.2085
14,CoalOldUns_1_z14,14,1,8.922606e7
14,CoalOldUns_2_z14,14,1,9434.819
14,gas-CC_1_z14,14,1,2.0773748e7
