BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18
AnnualSum,2.5302623989951223e7,0.0,0.0,0.0,0.0,0.0,0.022459277320145982,-15536.67134475927,0.0,-2.52870873220934e7,5.563035783749027e7,0.0,0.0,0.0,0.0,0.0,0.022915094171395256,1.5197205430858666e7,0.0,-7.082756325251e7,3.67492672264647e7,0.0,0.0,0.0,0.0,0.0,0.022164992691487813,5.906678053445497e6,0.0,-4.265594528449618e7,1.2122071007937035e8,0.0,0.0,0.0,0.0,0.0,0.0225503177572807,-1.4979226733763302e7,0.0,-1.0624148328457706e8,2.1965333434311774e7,0.0,0.0,0.0,0.0,0.0,0.022158622614587353,1.0295253104209373e7,0.0,-3.2260586530585952e7,1.117155844177725e8,0.0,0.0,0.0,0.0,0.0,0.022679092920647022,3.0584609967389368e6,0.0,-1.1477404539065444e8,1.392856847245774e8,0.0,0.0,0.0,0.0,0.0,0.02263391156491675,1.9841034609237712e7,0.0,-1.5912671933757353e8,8.35866920871467e7,0.0,0.0,0.0,0.0,0.0,0.022388635333199434,1.999054011239101e7,0.0,-1.0357723220625027e8,5.753872781916429e7,0.0,0.0,0.0,0.0,0.0,0.02214355191651199,-6.951284960521494e6,0.0,-5.058744282211219e7,2.343500070703425e7,0.0,0.0,0.0,0.0,0.0,0.022134721702679824,115739.99769654138,0.0,-2.3550740660237335e7,4.3611571194381595e7,0.0,0.0,0.0,0.0,0.0,0.02194893605767202,1.4777862191051985e6,0.0,-4.508935739281071e7,1.7273063052717555e8,0.0,0.0,0.0,0.0,0.0,0.0222369505540126,1.1509636616296934e7,0.0,-1.8424026705975842e8,2.2857376054816302e7,0.0,0.0,0.0,0.0,0.0,0.022376832616413402,968737.4881444868,0.0,-2.3826113514422197e7,4.656865401756147e7,0.0,0.0,0.0,0.0,0.0,0.0218561148838246,-1.1804533361127883e7,0.0,-3.476412062285102e7,9.212250929705308e7,0.0,0.0,0.0,0.0,0.0,0.022271521575797357,-1.8969829791663088e7,0.0,-7.315267946743779e7,1.738613917356754e8,0.0,0.0,0.0,0.0,0.0,0.02214302843837422,-5.503468197480294e6,0.0,-1.6835792341655293e8,1.1879434104996467e8,0.0,0.0,0.0,0.0,0.0,0.02286119890960842,-1.4763971170869907e7,0.0,-1.0403036981573607e8,2.3229404504258642e8,0.0,0.0,0.0,0.0,0.0,0.022680009894359445,-1.5373221741353609e7,0.0,-2.1692082316121915e8
t1,3600.1629146255923,0.0,-0.0,0.0,0.0,0.0,6.451351288219672e-6,-141.8025189486346,-0.0,-3458.3604,5531.396905106343,0.0,-0.0,0.0,0.0,0.0,6.481232743274786e-6,2679.9942431385534,-0.0,-8211.391151,2212.9981712732347,0.0,-0.0,0.0,0.0,0.0,6.455182990643806e-6,2848.227130400934,-0.0,-5061.225306,17379.58798230766,0.0,-0.0,0.0,0.0,0.0,6.460620916017799e-6,-4349.042348063197,-0.0,-13030.54563,3495.155604332382,0.0,-0.0,0.0,0.0,0.0,6.451813530736465e-6,308.1621999402291,-0.0,-3803.317807,10915.179682211297,0.0,-0.0,0.0,0.0,0.0,6.483893877240096e-6,1399.9978966538622,-0.0,-12315.17758,14810.056627333324,0.0,-0.0,0.0,0.0,0.0,6.520814985181029e-6,3611.13488679624,-0.0,-18421.19152,4340.521419676968,0.0,-0.0,0.0,0.0,0.0,6.479675403400042e-6,8101.0411654395875,-0.0,-12441.56259,7001.352134699182,0.0,-0.0,0.0,0.0,0.0,6.456496546994892e-6,-1150.7916082329455,-0.0,-5850.560526,2314.1606305540986,0.0,-0.0,0.0,0.0,0.0,6.4464118105437436e-6,462.3217899806188,-0.0,-2776.482419,3412.4064248920213,0.0,-0.0,0.0,0.0,0.0,6.470191778551926e-6,1731.38729146074,-0.0,-5143.793718,23888.203164417853,0.0,-0.0,0.0,0.0,0.0,6.5263311506274585e-6,1612.4608429201444,-0.0,-25500.664,1123.4979942503624,0.0,-0.0,0.0,0.0,0.0,6.4333399434148865e-6,1759.0016661691332,-0.0,-2882.499661,6685.992170297994,0.0,-0.0,0.0,0.0,0.0,6.435964542703707e-6,-2617.670881349044,-0.0,-4068.321289,12757.602052371598,0.0,-0.0,0.0,0.0,0.0,6.444752422366415e-6,-4781.273343315664,-0.0,-7976.328708,17887.13796985466,0.0,-0.0,0.0,0.0,0.0,6.511116881756195e-6,596.8766222582183,-0.0,-18484.01458,13506.738189573263,0.0,-0.0,0.0,0.0,0.0,6.475831898378718e-6,-2288.0358454049133,-0.0,-11218.70234,35496.868783592014,0.0,-0.0,0.0,0.0,0.0,6.504964150659501e-6,-9781.989189843862,-0.0,-25714.87958
t2,4177.724746944643,0.0,-0.0,0.0,0.0,0.0,6.451123483450665e-6,-742.0527512674996,-0.0,-3435.672,5457.310732860218,0.0,-0.0,0.0,0.0,0.0,6.480783090414255e-6,2679.9941713849867,-0.0,-8137.304906999999,2213.0012345522337,0.0,-0.0,0.0,0.0,0.0,6.453854749009419e-6,2785.0647431232683,-0.0,-4998.065982,17465.689667990646,0.0,-0.0,0.0,0.0,0.0,6.459831320413089e-6,-4606.293893745001,-0.0,-12859.39577,3523.8778806663872,0.0,-0.0,0.0,0.0,0.0,6.450911032594591e-6,245.28955760721738,-0.0,-3769.167441,10860.303734653902,0.0,-0.0,0.0,0.0,0.0,6.483437624779115e-6,1399.998474211656,-0.0,-12260.30221,14878.998679663273,0.0,-0.0,0.0,0.0,0.0,6.522293390964527e-6,3615.912074464881,-0.0,-18494.91076,4310.223987862839,0.0,-0.0,0.0,0.0,0.0,6.479527452057186e-6,8045.416827253863,-0.0,-12355.64082,7249.501110462366,0.0,-0.0,0.0,0.0,0.0,6.456231155053951e-6,-1425.9363959959435,-0.0,-5823.564714,2398.223555678912,0.0,-0.0,0.0,0.0,0.0,6.445416316323975e-6,353.3285548568318,-0.0,-2751.552109,3412.4148761570914,0.0,-0.0,0.0,0.0,0.0,6.469974772819485e-6,1758.4613381959339,-0.0,-5170.876216,23834.923293303706,0.0,-0.0,0.0,0.0,0.0,6.530696160628015e-6,1580.6095140302139,-0.0,-25415.5328,1106.162892719123,0.0,-0.0,0.0,0.0,0.0,6.43321424769559e-6,1815.5695207004987,-0.0,-2921.732414,6531.510722875521,0.0,-0.0,0.0,0.0,0.0,6.43427615523682e-6,-2464.0882619248473,-0.0,-4067.4224610000006,12753.351638360871,0.0,-0.0,0.0,0.0,0.0,6.452459846423676e-6,-4734.172651312857,-0.0,-8019.178986,16394.416777970597,0.0,-0.0,0.0,0.0,0.0,6.509491201483283e-6,2218.96471520649,-0.0,-18613.38148,13782.387434479266,0.0,-0.0,0.0,0.0,0.0,6.475434539581836e-6,-2744.0725903105204,-0.0,-11038.31484,35708.0199102408,0.0,-0.0,0.0,0.0,0.0,6.499626357998561e-6,-9781.992946479173,-0.0,-25926.02695
t3,4077.896759549394,0.0,-0.0,0.0,0.0,0.0,6.44316257504854e-6,-578.4811638633234,-0.0,-3499.4156,5427.846785947139,0.0,-0.0,0.0,0.0,0.0,6.481499867075185e-6,2679.996265297454,-0.0,-8107.843054,2212.9841455357873,0.0,-0.0,0.0,0.0,0.0,6.4458847015139515e-6,2752.379689146928,-0.0,-4965.363839,17668.38083835429,0.0,-0.0,0.0,0.0,0.0,6.459300778226813e-6,-4861.474554108021,-0.0,-12806.90628,3521.949041541094,0.0,-0.0,0.0,0.0,0.0,6.443604372372971e-6,235.27818174005864,-0.0,-3757.227226,10870.619410085746,0.0,-0.0,0.0,0.0,0.0,6.483931048165313e-6,1399.9984987796738,-0.0,-12270.61791,14996.92934254989,0.0,-0.0,0.0,0.0,0.0,6.52464787239494e-6,3666.282671575791,-0.0,-18663.21202,4413.850789824323,0.0,-0.0,0.0,0.0,0.0,6.471599307346074e-6,7902.756915301836,-0.0,-12316.60771,8987.165654719229,0.0,-0.0,0.0,0.0,0.0,6.448336972898019e-6,-3174.120290255288,-0.0,-5813.045364,2162.359874119045,0.0,-0.0,0.0,0.0,0.0,6.438038618733997e-6,580.475689426118,-0.0,-2742.835562,3412.4296685128174,0.0,-0.0,0.0,0.0,0.0,6.470039968184444e-6,1802.3762298402244,-0.0,-5214.8059,23824.17360415802,0.0,-0.0,0.0,0.0,0.0,6.535167230982033e-6,1486.3272031714803,-0.0,-25310.5008,1116.9803685068339,0.0,-0.0,0.0,0.0,0.0,6.433220360687689e-6,1855.6861199127786,-0.0,-2972.666489,6599.025724358372,0.0,-0.0,0.0,0.0,0.0,6.4343881254548285e-6,-2414.866737407819,-0.0,-4184.158987,12777.807769328052,0.0,-0.0,0.0,0.0,0.0,6.452771356512918e-6,-4568.322562280041,-0.0,-8209.485206,16298.28599475881,0.0,-0.0,0.0,0.0,0.0,6.513169513049248e-6,2846.9985384149404,-0.0,-19145.28452,12805.671537779834,0.0,-0.0,0.0,0.0,0.0,6.467317476389819e-6,-1829.3009136011071,-0.0,-10976.37062,36170.0533948492,0.0,-0.0,0.0,0.0,0.0,6.503614834782853e-6,-9781.989781091681,-0.0,-26388.0636
t4,4381.437273435094,0.0,-0.0,0.0,0.0,0.0,6.432489149611386e-6,-780.4640777393032,-0.0,-3600.9732,5479.803536469644,0.0,-0.0,0.0,0.0,0.0,6.482428675672746e-6,2679.997161774125,-0.0,-8159.800701,2212.9762654740375,0.0,-0.0,0.0,0.0,0.0,6.435437710458303e-6,2761.110259219889,-0.0,-4974.086529,17537.391864302997,0.0,-0.0,0.0,0.0,0.0,6.459318930213552e-6,-4665.246830057303,-0.0,-12872.14503,3401.379189112011,0.0,-0.0,0.0,0.0,0.0,6.432955860599506e-6,405.44075417959704,-0.0,-3806.819946,11083.583471113989,0.0,-0.0,0.0,0.0,0.0,6.4837527814896115e-6,1399.9984577512434,-0.0,-12483.58193,16118.351861219366,0.0,-0.0,0.0,0.0,0.0,6.525354743667552e-6,3017.934402905662,-0.0,-19136.28627,4220.431358564412,0.0,-0.0,0.0,0.0,0.0,6.461239536518194e-6,8159.411996570544,-0.0,-12379.84336,10314.67006660766,0.0,-0.0,0.0,0.0,0.0,6.43798908659595e-6,-4397.087791123091,-0.0,-5917.582275,2342.426340621947,0.0,-0.0,0.0,0.0,0.0,6.428291489642659e-6,436.61269639883295,-0.0,-2779.039036,3412.457173856089,0.0,-0.0,0.0,0.0,0.0,6.4703646604977395e-6,1927.810385496478,-0.0,-5340.267561,23765.60915696273,0.0,-0.0,0.0,0.0,0.0,6.530633660278918e-6,2009.243650371236,-0.0,-25774.8528,1032.9163356577055,0.0,-0.0,0.0,0.0,0.0,6.433343022243976e-6,2073.4451187617865,-0.0,-3106.361455,6725.323844676287,0.0,-0.0,0.0,0.0,0.0,6.434607434710942e-6,-2391.3706007259834,-0.0,-4333.953244,12897.894418218972,0.0,-0.0,0.0,0.0,0.0,6.4538644794368926e-6,-4263.685311172149,-0.0,-8634.209106,17205.28606961828,0.0,-0.0,0.0,0.0,0.0,6.518290755466152e-6,2847.0014135503934,-0.0,-20052.28747,12667.569395175688,0.0,-0.0,0.0,0.0,0.0,6.4566865765067594e-6,-1649.6695409881647,-0.0,-11017.89985,36729.13527892978,0.0,-0.0,0.0,0.0,0.0,6.505256721724573e-6,-9570.482145173793,-0.0,-27158.65312
t5,4497.381341905596,0.0,-0.0,0.0,0.0,0.0,6.450704660034177e-6,-765.6797462281277,-0.0,-3731.7016,5631.240488921704,0.0,-0.0,0.0,0.0,0.0,6.482801940165922e-6,2679.991609321571,-0.0,-8311.232101,2213.0063953982494,0.0,-0.0,0.0,0.0,0.0,6.453612253355926e-6,2886.256319277522,-0.0,-5099.262719,18286.14655265973,0.0,-0.0,0.0,0.0,0.0,6.477248174428212e-6,-5162.918558460873,-0.0,-13123.22799,3508.105101978484,0.0,-0.0,0.0,0.0,0.0,6.451066179791667e-6,370.8627792950501,-0.0,-3878.967884,11499.00874205256,0.0,-0.0,0.0,0.0,0.0,6.483900332816719e-6,1399.994286812783,-0.0,-12899.00303,17770.61799693963,0.0,-0.0,0.0,0.0,0.0,6.5267533292254915e-6,2084.9820171849647,-0.0,-19855.60002,4349.519977413162,0.0,-0.0,0.0,0.0,0.0,6.480675418990733e-6,8275.7872077024,-0.0,-12625.30719,10681.638179282618,0.0,-0.0,0.0,0.0,0.0,6.456459302537075e-6,-4572.857897815799,-0.0,-6108.780281,2365.241550211105,0.0,-0.0,0.0,0.0,0.0,6.4462757700053655e-6,466.4666277916875,-0.0,-2831.708177,3664.669124999054,0.0,-0.0,0.0,0.0,0.0,6.472800642210106e-6,1881.7299583510505,-0.0,-5546.399085,23725.23545517652,0.0,-0.0,0.0,0.0,0.0,6.525979597572082e-6,2988.2717521636764,-0.0,-26713.5072,1239.5667228924083,0.0,-0.0,0.0,0.0,0.0,6.4517425976326115e-6,2128.548520508475,-0.0,-3368.115244,7186.214949470921,0.0,-0.0,0.0,0.0,0.0,6.453043981770706e-6,-2621.759120538655,-0.0,-4564.455829,13474.549436393778,0.0,-0.0,0.0,0.0,0.0,6.473689058338249e-6,-4297.796378369155,-0.0,-9176.753057,18390.335668049862,0.0,-0.0,0.0,0.0,0.0,6.527002387698828e-6,2846.9324451102416,-0.0,-21237.2681,13036.608722277277,0.0,-0.0,0.0,0.0,0.0,6.475533541999729e-6,-1789.0218681086583,-0.0,-11247.58685,36945.29978773803,0.0,-0.0,0.0,0.0,0.0,6.522907825375016e-6,-8799.789953998154,-0.0,-28145.50982
t6,4713.051871419585,0.0,-0.0,0.0,0.0,0.0,6.452859444552573e-6,-740.4210757400921,-0.0,-3972.6308,6042.817027499434,0.0,-0.0,0.0,0.0,0.0,6.484218691940205e-6,2679.9901337421115,-0.0,-8722.807164,2213.0263622828347,0.0,-0.0,0.0,0.0,0.0,6.455864384802761e-6,3182.9639328588023,-0.0,-5395.9903,18264.707429844108,0.0,-0.0,0.0,0.0,0.0,6.479713518328857e-6,-4551.714875620482,-0.0,-13712.99255,3358.108423271893,0.0,-0.0,0.0,0.0,0.0,6.4586491918898705e-6,694.888090462582,-0.0,-4052.9965170000005,12256.338046733807,0.0,-0.0,0.0,0.0,0.0,6.4855667825149895e-6,1370.7873621296362,-0.0,-13627.12541,17770.62987556825,0.0,-0.0,0.0,0.0,0.0,6.525644710008582e-6,3092.621358559419,-0.0,-20863.25124,5804.839067531515,0.0,-0.0,0.0,0.0,0.0,6.489257432240731e-6,7421.609257575451,-0.0,-13226.44833,12568.460756380704,0.0,-0.0,0.0,0.0,0.0,6.45889727649406e-6,-6104.40556237955,-0.0,-6464.055193,2179.9406926216307,0.0,-0.0,0.0,0.0,0.0,6.448312092144981e-6,778.8111523792851,-0.0,-2958.751844,5942.762246657734,0.0,-0.0,0.0,0.0,0.0,6.4734253009471815e-6,-121.18415630796586,-0.0,-5821.578092,23761.48959383774,0.0,-0.0,0.0,0.0,0.0,6.5221740723513365e-6,3983.5424135082276,-0.0,-27745.032,2638.184445263975,0.0,-0.0,0.0,0.0,0.0,6.453161864730433e-6,952.7977511357437,-0.0,-3590.982197,7341.988215342501,0.0,-0.0,0.0,0.0,0.0,6.455636169065607e-6,-2492.648984882324,-0.0,-4849.33923,13435.462423151435,0.0,-0.0,0.0,0.0,0.0,6.477024440317076e-6,-3896.9749191313417,-0.0,-9538.487503,19392.025070071508,0.0,-0.0,0.0,0.0,0.0,6.534761588644997e-6,2571.942283081588,-0.0,-21963.96734,14102.110512870808,0.0,-0.0,0.0,0.0,0.0,6.478239482259443e-6,-2489.194048173981,-0.0,-11612.91646,34915.028266937,0.0,-0.0,0.0,0.0,0.0,6.527558058348814e-6,-6333.410113197109,-0.0,-28581.61814
t7,4957.700983702003,0.0,-0.0,0.0,0.0,0.0,6.457633865531449e-6,-908.3617901597241,-0.0,-4049.3391999999994,6500.557227381929,0.0,-0.0,0.0,0.0,0.0,6.492485014104684e-6,2679.994579851539,-0.0,-9180.55181,2213.013245579886,0.0,-0.0,0.0,0.0,0.0,6.45688804663822e-6,3548.068701092596,-0.0,-5761.081951,18069.363996839587,0.0,-0.0,0.0,0.0,0.0,6.480719732333869e-6,-3543.5054026147955,-0.0,-14525.85859,3363.9761819558853,0.0,-0.0,0.0,0.0,0.0,6.458783200801198e-6,953.7844717777962,-0.0,-4317.760657,14338.452304237733,0.0,-0.0,0.0,0.0,0.0,6.4870546964414965e-6,28.27368462472335,-0.0,-14366.72599,17770.74833163711,0.0,-0.0,0.0,0.0,0.0,6.557176931883883e-6,4017.220662477764,-0.0,-21787.969,7432.539639635688,0.0,-0.0,0.0,0.0,0.0,6.491231766309901e-6,6488.504215469343,-0.0,-13921.04386,12713.847488112156,0.0,-0.0,0.0,0.0,0.0,6.459421294750081e-6,-5945.499017116989,-0.0,-6768.34847,2204.3467775171407,0.0,-0.0,0.0,0.0,0.0,6.448208837902463e-6,947.6870954837151,-0.0,-3152.033872,7373.358096647658,0.0,-0.0,0.0,0.0,0.0,6.504843679798895e-6,-1286.0837297892247,-0.0,-6087.274368,23723.50006775647,0.0,-0.0,0.0,0.0,0.0,6.554698601879754e-6,4223.856740069269,-0.0,-27947.3568,2820.6982963934165,0.0,-0.0,0.0,0.0,0.0,6.453134010976162e-6,815.512194006309,-0.0,-3636.210491,7789.481494645416,0.0,-0.0,0.0,0.0,0.0,6.456035563366521e-6,-2907.9729581846914,-0.0,-4881.508536,13408.725422482226,0.0,-0.0,0.0,0.0,0.0,6.477649580966054e-6,-3829.0417659273876,-0.0,-9579.683655,21096.367469948036,0.0,-0.0,0.0,0.0,0.0,6.536808592346378e-6,969.3561537344925,-0.0,-22065.72361,14107.92387312362,0.0,-0.0,0.0,0.0,0.0,6.479336289493045e-6,-2193.9988784266475,-0.0,-11913.92499,32844.32329010482,0.0,-0.0,0.0,0.0,0.0,6.525563036840114e-6,-4057.7949563680854,-0.0,-28786.52832
t8,3860.252314921919,0.0,-0.0,0.0,0.0,0.0,6.484148226239208e-6,242.02647859624105,-0.0,-4102.2788,6780.13482022728,0.0,-0.0,0.0,0.0,0.0,6.590571641417155e-6,2679.9990739083514,-0.0,-9460.133897,3494.6579716312076,0.0,-0.0,0.0,0.0,0.0,6.483557044243153e-6,2450.0686700133733,-0.0,-5944.726646,19718.057144311464,0.0,-0.0,0.0,0.0,0.0,6.494549913673965e-6,-4574.02034015321,-0.0,-15144.0368,3174.838620215116,0.0,-0.0,0.0,0.0,0.0,6.485361048816773e-6,1263.119363493939,-0.0,-4437.957987,16228.014950132838,0.0,-0.0,0.0,0.0,0.0,6.5031345523517775e-6,-1399.9915212870233,-0.0,-14828.02343,17770.698723571037,0.0,-0.0,0.0,0.0,0.0,6.535512972207528e-6,4068.318660536689,-0.0,-21839.01739,7395.66449127939,0.0,-0.0,0.0,0.0,0.0,6.512200658713053e-6,6876.997923802167,-0.0,-14272.66242,11921.522651540943,0.0,-0.0,0.0,0.0,0.0,6.485967121690718e-6,-4942.610436576798,-0.0,-6978.912214,2221.008649606278,0.0,-0.0,0.0,0.0,0.0,6.474645909959461e-6,1018.77118336825,-0.0,-3239.779832,7373.312816576715,0.0,-0.0,0.0,0.0,0.0,6.485778490539222e-6,-1257.7334377043696,-0.0,-6115.57938,23640.44034143012,0.0,-0.0,0.0,0.0,0.0,6.53590324519301e-6,3771.8060664344493,-0.0,-27412.2464,2818.993509478962,0.0,-0.0,0.0,0.0,0.0,6.466196709239263e-6,826.8597989077731,-0.0,-3645.853309,7832.668527301914,0.0,-0.0,0.0,0.0,0.0,6.468793292412003e-6,-2872.811599856526,-0.0,-4959.856927,13011.701884360004,0.0,-0.0,0.0,0.0,0.0,6.501470569953705e-6,-3368.9885498301405,-0.0,-9642.713333,20891.182196494625,0.0,-0.0,0.0,0.0,0.0,6.565474849975226e-6,1195.8474172051483,-0.0,-22087.0296,14900.397602042069,0.0,-0.0,0.0,0.0,0.0,6.506507374892085e-6,-2758.348757374572,-0.0,-12142.04884,31786.96157714363,0.0,-0.0,0.0,0.0,0.0,6.542930751407965e-6,-3219.309993483743,-0.0,-28567.65157
