Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
t1,0.00010277592898975565,53.877352019187725,0.00011679317338346269,8.64078659079523e-6,4.163685210601833e-5,0.0002185345681406728,17.903326959529394,6.411706170410124e-5,0.00010958276635157211,7.019872391036229e-5,17.903349702100538,17.90355528042669,1.834212298166385e-5,1.317928509968459e-7,-1.4217223138554959e-6,9.604307779356609e-6,9.511497127630271e-5,1.2108653171654035e-6
t2,6.68477340753373e-5,186.9464395251767,9.150963312468235e-5,7.901811261605853e-6,3.296066729892064e-5,0.0001216848923044676,59.58702052943539,5.0385467545973765e-5,8.585667462324918e-5,5.8133960722793366e-5,59.58703089379772,62.86963753981627,1.9528904094191513e-5,9.550859083873629e-7,5.329347619267726e-7,1.6402172883769603e-5,7.616180826394075e-5,8.504352707736131e-7
t3,5.5643903009032284e-5,186.99920228417557,5.816274628397279e-5,6.71259062851757e-6,2.4313355325257125e-5,0.00017796533947472013,59.586708881976,2.86445389630243e-5,4.3793453466337186e-5,5.9877372589854094e-5,59.586722962124156,62.870121924650775,1.8928616076201097e-5,4.661078183579947e-7,1.7815694145515908e-6,2.5001980587712517e-5,4.6203518003570395e-5,2.654564964055876e-7
t4,3.6849122439023844e-5,186.99977051087376,3.370294731759783e-5,7.667981033858575e-6,1.7926703411187462e-5,3.823010761567258e-5,59.58603685174725,2.576607207923117e-5,1.9833719829288076e-5,4.603199076877958e-5,59.58601669549915,62.87065968563478,2.4383762799176478e-5,6.625217745047265e-8,2.158478095181834e-6,2.42211617290381e-5,3.370853983765544e-5,2.657001913469159e-7
t5,4.227311703127825e-5,186.99938901428916,3.7653023912196266e-5,9.242389646330049e-6,2.1986633451802096e-5,1.9656570167820038e-5,59.58703314322853,2.6053123582132513e-5,2.2406545208963153e-5,5.347561586075484e-5,59.58685661241263,62.8709236551732,3.0061765150368103e-5,2.092505708910275e-6,5.032286978773634e-6,4.196348661425865e-5,3.762096973342809e-5,7.97087699810941e-7
t6,5.221379704336744e-5,186.999649267079,5.8665654861578445e-5,1.3782633399291908e-5,3.653469491470814e-5,2.142329734235868e-5,62.227598846741394,3.8488442138361284e-5,3.218571645882077e-5,7.542479090156993e-5,62.22411060359191,62.87078643388744,3.761188591492992e-5,5.203687499797923e-6,7.790911474831112e-6,4.965794558875042e-5,5.142320844934524e-5,2.3529319906485665e-6
t7,6.447513507421644e-5,186.99977546368515,0.00010242092895556586,2.4193518028897736e-5,5.164022616753533e-5,5.4080013046531355e-5,62.227741878869125,5.770278049556919e-5,5.274097226579903e-5,9.461124040420194e-5,62.22770608992273,257.2671742130554,4.060101656837761e-5,4.342920206788681e-6,5.407214347481687e-6,2.4152407915410212e-5,7.257705447356092e-5,4.927615543069782e-6
t8,0.00020837666725006247,599.8760901034246,0.00024066415353815636,3.342232219075533e-5,0.00013090833775231963,2.21660292958498e-5,141.93553292248683,0.00015570958684228483,0.00016408209977128164,0.00018927934839328657,141.93552372419452,416.4655983425465,5.0407113424099e-5,9.42912488757434e-6,1.0040760835069784e-5,3.084966070122057e-5,0.00017360083427562324,7.474988027475671e-6
t9,0.0006311709669441176,186.99966555491463,0.0006217815168373367,4.525935826331897e-5,0.0005005075053351994,4.685519904943151e-5,62.22739225046913,0.0005780566934389872,0.0005805924268447464,0.000560075603630956,62.22710444153078,62.22757835353105,6.792071995191888e-5,2.3843675531089856e-5,1.7761058338275242e-5,3.4833021447904206e-5,0.000585863815204566,2.2468038662416095e-5
t10,6.201632334053293e-5,0.0180511407954041,6.81596988868108e-5,7.841776817954061e-5,0.00010317011961868799,3.6681468599680696e-5,5.4319935666112047e-5,0.00011614399117476371,4.337362942326055e-5,0.00019214405434726518,0.00012385062977078172,6.519118822316764e-5,7.944164028883661e-5,1.24766104758422e-5,3.801937273869767e-6,5.740332786907804e-6,0.00011234864253976668,7.68875333570631e-6
t11,3.424034954405718e-5,0.0003710798703277377,3.983527827298015e-5,4.922142758429944e-5,6.047196273704738e-5,1.2602159360109268e-5,1.9244406426589087e-5,1.7383110152498772e-5,1.611350203740905e-5,0.00012296897846766477,8.366646804319049e-5,2.6906810203085292e-5,4.8473646505717554e-5,1.1411213953722909e-5,1.4751350305645145e-6,3.7542152868253753e-6,4.552952399870814e-5,4.06501117009664e-6
t12,2.40410937388812e-5,53.876823883787246,3.7922949622589155e-5,9.929272186305055e-5,6.462753745225965e-5,1.4589103117272744e-5,2.936924321328611e-5,1.9982073263818863e-5,1.5832962640293125e-5,0.00012353630775293578,8.226958318125175e-5,3.349720354737453e-5,9.65053284259199e-5,1.7870673174276715e-5,1.8222316946397435e-6,3.2665886991173157e-6,5.077169486275551e-5,4.156965005086985e-6
t13,3.511419340471509e-5,36.751112278033816,4.6956026952899e-5,0.00016505307302248646,9.017949586018304e-5,5.680108459221348e-5,2.1924747918399233e-5,2.9013646761068524e-5,2.2055062542592224e-5,0.00017776945104001218,8.431569180351214e-5,3.5800208723172734e-5,0.0001498766293180581,3.250984354037529e-5,3.235651994738302e-6,3.4980568969946995e-6,6.254520549328773e-5,6.233146141701724e-6
t14,3.988659385902746e-5,53.877088446897496,4.173475721306253e-5,0.0002196298378239529,9.129161059113878e-5,89.59364633917616,1.2347067223342526e-5,4.064296608395497e-5,1.8386797515747574e-5,0.0001896256565650566,6.21375463433581e-5,2.4150360617264285e-5,0.0001990346240229552,5.061698809337673e-5,1.0112738905478135e-5,4.2614607801829915e-6,6.56589856286574e-5,1.533308450395345e-5
t15,3.682330646247117e-5,0.0031117972041179013,4.176846468668355e-5,0.00025289579984818996,9.37004953537554e-5,999.9339899424003,7.666157033581574e-6,4.4830216089324856e-5,1.9278577790251564e-5,0.00018577534607784778,5.38926645102969e-5,1.785597474468706e-5,0.00021340716480121742,6.099181596869142e-5,7.792060479447328e-6,4.515938178684751e-6,7.454915703857701e-5,1.821783880156322e-5
t16,6.665967629673897e-5,53.87679558276064,7.162224216785031e-5,0.001892858446779561,0.0001305695399536317,0.000307382245192797,7.65209618854307e-6,4.0075879366112905e-5,2.7846933720766115e-5,0.00043325129242971516,0.00011090341751228053,3.604954141076983e-5,0.001808009708819671,9.538024273018283e-5,1.7582671144898353e-5,5.856621036011724e-6,8.255272192365666e-5,1.6791647245970398e-5
t17,0.0002983085295493916,170.90459338152303,0.00030651026490221786,170.90399300855995,0.0002901943414382561,2.0367249117814346e-5,4.986555398131715e-5,0.0001425131709597741,0.00015587608197762518,0.007067435501424719,0.0007569175558607547,0.0007555846011155672,170.90391878631706,0.000237793890532272,4.9401011323884827e-5,3.168540608702343e-5,0.00022515083295778103,8.781572846107098e-5
t18,62.2279309193167,198.25264237101356,62.53421765866155,174.07512751871585,62.5342900052803,1.1862429397850668e-5,62.2279811941608,62.53420928039187,62.533973988485705,62.53454268133843,62.2280858817084,257.26580160981246,174.07505412208508,62.53424474735422,50.44379812418222,50.443780357471674,62.534209265585964,62.534183291421506
t19,253.08941686267877,253.0902697639677,253.08976935302414,253.0899965098031,253.08963208025344,1.0470645105865448e-5,257.2685235175415,253.0897757752813,253.0894514128585,253.08968044747127,257.2685257592902,257.2694976717227,253.08994751901687,253.08932192154253,253.08863766734385,253.0886207788654,253.08965333269035,253.08974711914544
t20,50.44843693042619,170.9845485335808,170.98377262709184,170.9839531598283,170.9837998381922,1.0875297662257745e-5,62.22808025702452,325.73169337653974,170.98370443377596,170.98380212690796,62.22806958222261,330.06377889129203,170.9839025965028,146.07663924399128,50.447980237073544,50.44794859512445,170.98420842346715,325.7316752399595
t21,50.44736096558027,53.87702357222983,52.897115859712414,52.897265953220796,52.89718700645268,1.1240997669070227e-5,62.227786037125604,253.08719770003663,52.89707583051933,52.897189773365,62.22774995088805,257.26800837591816,52.897240236916666,52.89698554014244,50.44724081700797,50.447214172927154,52.89785025856719,253.0871910505706
