Region,Resource,Zone,Cluster,AnnualSum
1,Solar_z01_01,1,1,1.2759075e6
2,Solar_z02_01,2,1,5.096696e8
3,Solar_z03_01,3,1,4.269066e8
4,Solar_z04_01,4,1,2.9863197e8
5,Solar_z05_01,5,1,1.3511571e8
6,Solar_z06_01,6,1,1.002444e9
7,Solar_z07_01,7,1,1.6478125e9
8,Solar_z08_01,8,1,1.4611053e9
9,Solar_z09_01,9,1,2.1760333e8
10,Solar_z10_01,10,1,1.9526589e8
11,Solar_z11_01,11,1,3.3060723e8
12,Solar_z12_01,12,1,1.5097765e9
13,Solar_z13_01,13,1,1.805035e8
14,Solar_z14_01,14,1,2.3446776e8
15,Solar_z15_01,15,1,6.181698e8
16,Solar_z16_01,16,1,1.3055167e9
17,Solar_z17_01,17,1,9.999386e7
18,Solar_z18_01,18,1,1.7410863e9
1,Wind_z01_02,1,1,1.6227226e7
1,Wind_z01_03,1,1,9.0425306e8
2,Wind_z02_01,2,1,1.6340329e9
2,Wind_z02_02,2,1,6.617035e8
3,Wind_z03_01,3,1,1.3206284e9
4,Wind_z04_01,4,1,2.9465942e8
4,Wind_z04_02,4,1,1.822291e8
4,Wind_z04_03,4,1,2.0403297e9
4,Wind_z04_04,4,1,1.11232424e8
5,Wind_z05_01,5,1,5.9082964e7
5,Wind_z05_02,5,1,1.138425e9
6,Wind_z06_01,6,1,1.716285e9
6,Wind_z06_02,6,1,3.3439176e9
7,Wind_z07_01,7,1,7.300352e9
8,Wind_z08_01,8,1,1.26842536e8
8,Wind_z08_02,8,1,2.0575987e9
9,Wind_z09_01,9,1,1.0016341e9
9,Wind_z09_02,9,1,2.0832558e8
10,Wind_z10_01,10,1,2.8625846e8
10,Wind_z10_02,10,1,1.0140931e8
11,Wind_z11_01,11,1,1.4878533e9
12,Wind_z12_01,12,1,4.616322e9
13,Wind_z13_01,13,1,3.5464996e7
13,Wind_z13_02,13,1,4.418715e8
14,Wind_z14_01,14,1,6.3064196e7
14,Wind_z14_02,14,1,1.144238e9
15,Wind_z15_01,15,1,2.4624083e8
15,Wind_z15_02,15,1,1.6223286e9
16,Wind_z16_01,16,1,2.106027e8
16,Wind_z16_02,16,1,4.472177e9
16,Wind_z16_03,16,1,2.3769637e8
16,Wind_z16_04,16,1,2.0998332e7
