region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
1,Solar_z01_01,1,1,1,205.32478316875338,0.0,274313.2362522816,0.0,0.0,0.0,0.0,0.0,0.0,1.2759075e6,0.0,0.0,0.0,0.0,0.0,1.2759075e6,274518.5610354503,1.0013889389645497e6
2,Solar_z02_01,2,1,2,4.012234567768509e8,0.0,1.0808233637743396e8,0.0,0.0,0.0,0.0,0.0,0.0,5.096696e8,0.0,0.0,0.0,0.0,0.0,5.096696e8,5.0930579315428483e8,363806.84571516514
3,Solar_z03_01,3,1,3,3.383948084037523e8,0.0,8.794564154490258e7,0.0,0.0,0.0,0.0,0.0,0.0,4.269066e8,0.0,0.0,0.0,0.0,0.0,4.26906592e8,4.263404499486549e8,566142.0513451099
4,Solar_z04_01,4,1,4,2.089902855916412e8,0.0,6.332896437166576e7,0.0,0.0,0.0,0.0,0.0,0.0,2.9863197e8,0.0,0.0,0.0,0.0,0.0,2.98631968e8,2.7231924996330696e8,2.6312718036693037e7
5,Solar_z05_01,5,1,5,1.0646274054384811e8,0.0,2.8653144574022975e7,0.0,0.0,0.0,0.0,0.0,0.0,1.3511571e8,0.0,0.0,0.0,0.0,0.0,1.35115712e8,1.3511588511787108e8,-173.1178710758686
6,Solar_z06_01,6,1,6,7.906893262090677e8,0.0,2.0831970902695554e8,0.0,0.0,0.0,0.0,0.0,0.0,1.002444e9,0.0,0.0,0.0,0.0,0.0,1.002444032e9,9.990090352360232e8,3.4349967639768124e6
7,Solar_z07_01,7,1,7,1.2841088867115917e9,0.0,3.562828421608733e8,0.0,0.0,0.0,0.0,0.0,0.0,1.6478125e9,0.0,0.0,0.0,0.0,0.0,1.64781248e9,1.6403917288724651e9,7.420751127534866e6
8,Solar_z08_01,8,1,8,1.1519534814718385e9,0.0,3.0099748387206066e8,0.0,0.0,0.0,0.0,0.0,0.0,1.4611053e9,0.0,0.0,0.0,0.0,0.0,1.46110528e9,1.4529509653438993e9,8.15431465610075e6
9,Solar_z09_01,9,1,9,1.7266243907848886e8,0.0,4.4827768913965434e7,0.0,0.0,0.0,0.0,0.0,0.0,2.1760333e8,0.0,0.0,0.0,0.0,0.0,2.17603328e8,2.174902079924543e8,113120.00754570961
10,Solar_z10_01,10,1,10,1.535661073312875e8,0.0,4.140879963353114e7,0.0,0.0,0.0,0.0,0.0,0.0,1.9526589e8,0.0,0.0,0.0,0.0,0.0,1.95265888e8,1.9497490696481866e8,290981.03518134356
11,Solar_z11_01,11,1,11,2.586633182434519e8,0.0,7.148248189735246e7,0.0,0.0,0.0,0.0,0.0,0.0,3.3060723e8,0.0,0.0,0.0,0.0,0.0,3.30607232e8,3.3014580014080435e8,461431.8591956496
12,Solar_z12_01,12,1,12,1.1796036280386894e9,0.0,3.209955033065479e8,0.0,0.0,0.0,0.0,0.0,0.0,1.5097765e9,0.0,0.0,0.0,0.0,0.0,1.509776512e9,1.5005991313452373e9,9.177380654762745e6
13,Solar_z13_01,13,1,13,1.4136459029715243e8,0.0,3.910367570988401e7,0.0,0.0,0.0,0.0,0.0,0.0,1.805035e8,0.0,0.0,0.0,0.0,0.0,1.80503504e8,1.8046826600703645e8,35237.992963552475
14,Solar_z14_01,14,1,14,1.831069137201935e8,0.0,5.079429357850566e7,0.0,0.0,0.0,0.0,0.0,0.0,2.3446776e8,0.0,0.0,0.0,0.0,0.0,2.3446776e8,2.3390120729869917e8,566552.7013008296
15,Solar_z15_01,15,1,15,4.866906634944997e8,0.0,1.306753856682484e8,0.0,0.0,0.0,0.0,0.0,0.0,6.181698e8,0.0,0.0,0.0,0.0,0.0,6.18169792e8,6.173660491627481e8,803742.8372519016
16,Solar_z16_01,16,1,16,1.0119159436541562e9,0.0,2.844962446516514e8,0.0,0.0,0.0,0.0,0.0,0.0,1.3055167e9,0.0,0.0,0.0,0.0,0.0,1.305516672e9,1.2964121883058076e9,9.10448369419241e6
17,Solar_z17_01,17,1,17,7.854633380373429e7,0.0,1.982353573383606e7,0.0,0.0,0.0,0.0,0.0,0.0,9.999386e7,0.0,0.0,0.0,0.0,0.0,9.9993856e7,9.836986953757034e7,1.6239864624296576e6
18,Solar_z18_01,18,1,18,1.3691560689110665e9,0.0,3.699336759341394e8,0.0,0.0,0.0,0.0,0.0,0.0,1.7410863e9,0.0,0.0,0.0,0.0,0.0,1.741086336e9,1.7390897448452058e9,1.9965911547942162e6
1,Wind_z01_02,1,1,19,0.0,0.0,6.159017830443866e6,0.0,0.0,0.0,0.0,0.0,0.0,1.6227226e7,0.0,0.0,0.0,0.0,0.0,1.6227226e7,6.159017830443866e6,1.0068208169556133e7
1,Wind_z01_03,1,1,20,4.921210568727342e8,0.0,3.570301839913707e8,0.0,0.0,0.0,0.0,0.0,0.0,9.0425306e8,0.0,0.0,0.0,0.0,0.0,9.04253056e8,8.491512408641049e8,5.510181513589513e7
2,Wind_z02_01,2,1,21,1.0017935630011249e9,0.0,6.276809632724237e8,0.0,0.0,0.0,0.0,0.0,0.0,1.6340329e9,0.0,0.0,0.0,0.0,0.0,1.634032896e9,1.6294745262735486e9,4.558369726451397e6
2,Wind_z02_02,2,1,22,3.669324128591807e8,0.0,2.541801933702858e8,0.0,0.0,0.0,0.0,0.0,0.0,6.617035e8,0.0,0.0,0.0,0.0,0.0,6.61703488e8,6.211126062294664e8,4.059088177053356e7
3,Wind_z03_01,3,1,23,7.99199316196883e8,0.0,5.214293935554799e8,0.0,0.0,0.0,0.0,0.0,0.0,1.3206284e9,0.0,0.0,0.0,0.0,0.0,1.320628352e9,1.3206287097523627e9,-357.7523627281189
4,Wind_z04_01,4,1,24,0.0,0.0,1.4068846625951257e8,0.0,0.0,0.0,0.0,0.0,0.0,2.9465942e8,0.0,0.0,0.0,0.0,0.0,2.94659424e8,1.4068846625951257e8,1.5397095774048743e8
4,Wind_z04_02,4,1,25,0.0,0.0,1.1047529371626869e8,0.0,0.0,0.0,0.0,0.0,0.0,1.822291e8,0.0,0.0,0.0,0.0,0.0,1.82229104e8,1.1047529371626869e8,7.175381028373131e7
4,Wind_z04_03,4,1,26,1.243963812954686e9,0.0,7.837516834573897e8,0.0,0.0,0.0,0.0,0.0,0.0,2.0403297e9,0.0,0.0,0.0,0.0,0.0,2.040329728e9,2.0277154964120755e9,1.261423158792448e7
4,Wind_z04_04,4,1,27,349.4782594891674,0.0,4.323471789058882e7,0.0,0.0,0.0,0.0,0.0,0.0,1.11232424e8,0.0,0.0,0.0,0.0,0.0,1.11232424e8,4.323506736884831e7,6.799735663115169e7
5,Wind_z05_01,5,1,28,0.0,0.0,3.0507789781504862e7,0.0,0.0,0.0,0.0,0.0,0.0,5.9082964e7,0.0,0.0,0.0,0.0,0.0,5.9082964e7,3.0507789781504862e7,2.8575174218495138e7
5,Wind_z05_02,5,1,29,4.5538923696232265e8,0.0,4.373031394187159e8,0.0,0.0,0.0,0.0,0.0,0.0,1.138425e9,0.0,0.0,0.0,0.0,0.0,1.13842496e9,8.926923763810385e8,2.4573258361896145e8
6,Wind_z06_01,6,1,30,1.0176775256868612e9,0.0,6.165603061129069e8,0.0,0.0,0.0,0.0,0.0,0.0,1.716285e9,0.0,0.0,0.0,0.0,0.0,1.716285056e9,1.634237831799768e9,8.204722420023203e7
6,Wind_z06_02,6,1,31,2.0948476754092808e9,0.0,1.2012728198976538e9,0.0,0.0,0.0,0.0,0.0,0.0,3.3439176e9,0.0,0.0,0.0,0.0,0.0,3.343917568e9,3.2961204953069344e9,4.779707269306564e7
7,Wind_z07_01,7,1,32,4.417923663694564e9,0.0,2.8824289636493626e9,0.0,0.0,0.0,0.0,0.0,0.0,7.300352e9,0.0,0.0,0.0,0.0,0.0,7.300352e9,7.300352627343926e9,-627.3439264297485
8,Wind_z08_01,8,1,33,0.0,0.0,3.450067394391757e7,0.0,0.0,0.0,0.0,0.0,0.0,1.26842536e8,0.0,0.0,0.0,0.0,0.0,1.26842536e8,3.450067394391757e7,9.234186205608243e7
8,Wind_z08_02,8,1,34,1.1305665178591814e9,0.0,8.12410524151933e8,0.0,0.0,0.0,0.0,0.0,0.0,2.0575987e9,0.0,0.0,0.0,0.0,0.0,2.05759872e9,1.9429770420111144e9,1.1462167798888564e8
9,Wind_z09_01,9,1,35,5.18934661719908e8,0.0,3.954795453487701e8,0.0,0.0,0.0,0.0,0.0,0.0,1.0016341e9,0.0,0.0,0.0,0.0,0.0,1.001634112e9,9.144142070686781e8,8.721990493132186e7
9,Wind_z09_02,9,1,36,0.0,0.0,8.99002465322459e7,0.0,0.0,0.0,0.0,0.0,0.0,2.0832558e8,0.0,0.0,0.0,0.0,0.0,2.08325584e8,8.99002465322459e7,1.184253374677541e8
10,Wind_z10_01,10,1,37,6.939305807630175e6,0.0,1.0996057633792327e8,0.0,0.0,0.0,0.0,0.0,0.0,2.8625846e8,0.0,0.0,0.0,0.0,0.0,2.86258464e8,1.1689988214555345e8,1.6935858185444653e8
10,Wind_z10_02,10,1,38,0.0,0.0,2.826126469841798e7,0.0,0.0,0.0,0.0,0.0,0.0,1.0140931e8,0.0,0.0,0.0,0.0,0.0,1.01409312e8,2.826126469841798e7,7.314804730158202e7
11,Wind_z11_01,11,1,39,9.003981030357479e8,0.0,5.874555036640879e8,0.0,0.0,0.0,0.0,0.0,0.0,1.4878533e9,0.0,0.0,0.0,0.0,0.0,1.487853312e9,1.4878536066998358e9,-294.6998357772827
12,Wind_z12_01,12,1,40,2.791909275053443e9,0.0,1.8226821096418648e9,0.0,0.0,0.0,0.0,0.0,0.0,4.616322e9,0.0,0.0,0.0,0.0,0.0,4.616322048e9,4.614591384695308e9,1.7306633046922684e6
13,Wind_z13_01,13,1,41,0.0,0.0,1.1463455021284012e7,0.0,0.0,0.0,0.0,0.0,0.0,3.5464996e7,0.0,0.0,0.0,0.0,0.0,3.5464996e7,1.1463455021284012e7,2.4001540978715986e7
