region,cluster,Resource,Resource_Type,MGA,R_ID,Zone,THERM,Commit,STOR,HYDRO,FLEX,MUST_RUN,VRE,LDS,Num_VRE_Bins,CapRes_1,ESR_1,ESR_2,Min_Share,Max_Share,Existing_Cap_MW,Existing_Charge_Cap_MW,Existing_Cap_MWh,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Charge_Cap_MW,Max_Charge_Cap_MW,Min_Cap_MWh,Max_Cap_MWh,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag_1,MinCapTag_2,MinCapTag_3
NENGREST,1,NENGREST_biomass_1,other_renewables,0,1,1,1,1,0,0,0,0,0,0,0,0.93,1,1,0,0,106.062,0,0,-1,3.21,0,0,0,-1,0,-1,0,122976,0,0,0,0,5.08,0,0,0,14.58,None,0.45,0,1,1,1,0,0,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,0,0,0
NENGREST,1,NENGREST_conventional_hydroelectric_1,other_renewables,0,2,1,0,0,0,1,0,0,0,0,0,0.8,0,1,0,0,662.983,0,0,-1,11.24,0,0,0,-1,0,-1,0,46475,0,0,0,0,0,0,0,0,9.12,None,0.116,0,1,1,1,0,0,0,0,1,0.083,0.083,0,0,0.006916667,0.013833333,0,0,0,0,0
NENGREST,1,NENGREST_hydroelectric_pumped_storage_1,hydroelectric_pumped_storage,0,3,1,0,0,1,0,0,0,0,0,0,0.95,0,0,0,0,1768.002,0,280635.2381,-1,294.67,0,0,0,-1,0,-1,0,40113,0,0,0,0,0,0,0,0,0,None,0.532,0,0.866,0.866,158.730159,0,200,0,0,1,1,1,0,0,0.083333333,0.166666667,0,0,0,0,0
NENGREST,1,NENGREST_natural_gas_fired_combined_cycle_1,natural_gas,1,4,1,1,1,0,0,0,0,0,0,0,0.93,0,0,0,0,7077.3,0,0,0,471.82,0,0,0,-1,0,-1,0,10287,0,0,0,0,3.55,0,91,2,7.43,NENGREST_NG,0.468,0,1,1,1,0,0,0,0,1,0.64,0.64,6,6,0.053333333,0.106666667,0,0,0,0,0
NENGREST,2,NENGREST_natural_gas_fired_combined_cycle_2,natural_gas,1,5,1,1,1,0,0,0,0,0,0,0,0.93,0,0,0,0,2684.803,0,0,0,244.07,0,0,0,-1,0,-1,0,16291,0,0,0,0,4.5,0,91,2,8.29,NENGREST_NG,0.507,0,1,1,1,0,0,0,0,1,0.64,0.64,6,6,0.053333333,0.106666667,0,0,0,0,0
NENGREST,1,NENGREST_natural_gas_fired_combustion_turbine_1,natural_gas,1,6,1,1,1,0,0,0,0,0,0,0,0.93,0,0,0,0,302.701,0,0,0,43.24,0,0,0,-1,0,-1,0,12080,0,0,0,0,4.6,0,118,3.5,10.13,NENGREST_NG,0.456,0,1,1,1,0,0,0,0,1,3.78,3.78,1,1,0.315,0.63,0,0,0,0,0
NENGREST,2,NENGREST_natural_gas_fired_combustion_turbine_2,natural_gas,1,7,1,1,1,0,0,0,0,0,0,0,0.93,0,0,0,0,62.704,0,0,0,7.84,0,0,0,-1,0,-1,0,13991,0,0,0,0,4.6,0,118,3.5,4.74,NENGREST_NG,0.488,0,1,1,1,0,0,0,0,1,3.78,3.78,1,1,0.315,0.63,0,0,0,0,0
NENGREST,1,NENGREST_natural_gas_steam_turbine_1,natural_gas,1,8,1,1,1,0,0,0,0,0,0,0,0.93,0,0,0,0,0.6,0,0,0,0.6,0,0,0,-1,0,-1,0,50678,0,0,0,0,1.04,0,86,13.7,0,NENGREST_NG,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NENGREST,1,NENGREST_nuclear_1,nuclear,1,9,1,1,1,0,0,0,0,0,0,0,0.93,0,1,0,0,1242,0,0,0,1242,0,0,0,-1,0,-1,0,271818,0,0,0,0,2.32,0,245,0,10.46,new_england_uranium,0.5,0,1,1,1,0,0,0,0,1,0.25,0.25,24,24,0.020833333,0.041666667,0,0,0,0,0
NENGREST,1,NENGREST_offshore_wind_turbine_1,offshore_wind,1,10,1,0,0,0,0,0,0,1,0,1,0.8,1,1,0,0,30,0,0,0,30,0,0,0,-1,0,-1,0,128440,0,0,0,0,0,0,0,0,9.12,None,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
