Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3
2000,1,1,1,2000,5,96,2112,1,8953,2557,1220
,2,0.9,0.04,1800,,,2880,2,8388,2395,1144
,3,0.55,0.024,1100,,,1632,3,8016,2290,1093
,4,0.2,0.003,400,,,2016,4,7790,2225,1062
,,,,,,,96,5,7739,2210,1055
,,,,,,,,6,7807,2230,1065
,,,,,,,,7,8107,2316,1105
,,,,,,,,8,8824,2520,1203
,,,,,,,,9,9731,2779,1327
,,,,,,,,10,10541,3011,1437
,,,,,,,,11,11119,3175,1515
,,,,,,,,12,11425,3262,1557
,,,,,,,,13,11542,3296,1574
,,,,,,,,14,11550,3299,1575
,,,,,,,,15,11459,3272,1562
,,,,,,,,16,11195,3198,1526
,,,,,,,,17,10966,3132,1496
,,,,,,,,18,10858,3101,1481
,,,,,,,,19,10692,3053,1458
,,,,,,,,20,10550,3012,1438
,,,,,,,,21,10553,3014,1439
,,,,,,,,22,10177,2907,1387
,,,,,,,,23,9511,2716,1296
,,,,,,,,24,8764,2503,1195
,,,,,,,,25,8114,2317,1106
,,,,,,,,26,7691,2197,1048
,,,,,,,,27,7414,2118,1011
,,,,,,,,28,7254,2072,988
,,,,,,,,29,7216,2061,984
,,,,,,,,30,7273,2077,991
,,,,,,,,31,7399,2113,1008
,,,,,,,,32,7880,2251,1074
,,,,,,,,33,8565,2446,1168
,,,,,,,,34,9180,2622,1251
,,,,,,,,35,9605,2743,1309
,,,,,,,,36,9924,2834,1353
,,,,,,,,37,10117,2889,1379
,,,,,,,,38,10140,2896,1382
,,,,,,,,39,10108,2887,1378
,,,,,,,,40,10060,2873,1372
,,,,,,,,41,10158,2902,1385
,,,,,,,,42,10299,2942,1404
,,,,,,,,43,10241,2924,1396
,,,,,,,,44,10094,2883,1377
,,,,,,,,45,10205,2914,1391
,,,,,,,,46,9904,2828,1350
,,,,,,,,47,9154,2615,1248
,,,,,,,,48,8340,2382,1137
,,,,,,,,49,7697,2199,1049
,,,,,,,,50,7297,2084,994
,,,,,,,,51,7070,2019,964
,,,,,,,,52,6978,1992,951
,,,,,,,,53,7123,2034,971
,,,,,,,,54,7552,2158,1029
,,,,,,,,55,8389,2396,1144
,,,,,,,,56,9466,2703,1290
,,,,,,,,57,10292,2939,1403
,,,,,,,,58,10907,3115,1487
,,,,,,,,59,11444,3268,1560
,,,,,,,,60,11836,3381,1614
,,,,,,,,61,12132,3465,1653
,,,,,,,,62,12456,3558,1698
,,,,,,,,63,12667,3618,1727
,,,,,,,,64,12784,3652,1743
,,,,,,,,65,12883,3680,1757
,,,,,,,,66,12812,3658,1747
,,,,,,,,67,12469,3561,1700
,,,,,,,,68,12004,3428,1637
,,,,,,,,69,11893,3397,1622
,,,,,,,,70,11349,3242,1548
,,,,,,,,71,10234,2923,1395
,,,,,,,,72,9136,2609,1246
,,,,,,,,73,8338,2382,1137
,,,,,,,,74,7843,2240,1070
,,,,,,,,75,7549,2156,1029
,,,,,,,,76,7403,2115,1009
,,,,,,,,77,7491,2140,1022
,,,,,,,,78,7905,2257,1077
,,,,,,,,79,8725,2492,1189
,,,,,,,,80,9745,2783,1329
,,,,,,,,81,10474,2992,1427
,,,,,,,,82,10995,3140,1500
,,,,,,,,83,11445,3269,1560
,,,,,,,,84,11722,3348,1598
,,,,,,,,85,11882,3393,1620
,,,,,,,,86,12062,3445,1644
,,,,,,,,87,12064,3446,1644
,,,,,,,,88,11937,3409,1628
,,,,,,,,89,11813,3374,1610
,,,,,,,,90,11683,3337,1593
,,,,,,,,91,11469,3276,1564
,,,,,,,,92,11308,3230,1542
,,,,,,,,93,11382,3251,1552
,,,,,,,,94,10872,3105,1482
,,,,,,,,95,9922,2834,1352
,,,,,,,,96,8995,2569,1226
,,,,,,,,97,7909,2258,1078
,,,,,,,,98,7636,2181,1041
,,,,,,,,99,7537,2153,1028
,,,,,,,,100,7535,2152,1027
,,,,,,,,101,7765,2218,1059
,,,,,,,,102,8486,2424,1157
,,,,,,,,103,9799,2799,1336
,,,,,,,,104,10421,2976,1421
,,,,,,,,105,10462,2988,1426
,,,,,,,,106,10430,2978,1421
,,,,,,,,107,10410,2973,1420
,,,,,,,,108,10320,2948,1407
,,,,,,,,109,10201,2913,1391
,,,,,,,,110,10110,2887,1378
,,,,,,,,111,9996,2855,1363
,,,,,,,,112,9942,2839,1355
,,,,,,,,113,10151,2899,1383
,,,,,,,,114,10934,3123,1491
,,,,,,,,115,11231,3208,1531
,,,,,,,,116,10947,3127,1492
,,,,,,,,117,10521,3004,1434
,,,,,,,,118,9831,2808,1340
,,,,,,,,119,8930,2551,1217
,,,,,,,,120,8132,2322,1109
,,,,,,,,121,7589,2167,1034
,,,,,,,,122,7299,2084,995
,,,,,,,,123,7158,2044,976
,,,,,,,,124,7144,2040,974
,,,,,,,,125,7342,2096,1001
,,,,,,,,126,8068,2304,1100
,,,,,,,,127,9367,2675,1277
,,,,,,,,128,10061,2873,1372
,,,,,,,,129,10198,2912,1390
,,,,,,,,130,10231,2922,1395
,,,,,,,,131,10260,2930,1399
,,,,,,,,132,10215,2917,1392
,,,,,,,,133,10093,2883,1377
,,,,,,,,134,10037,2866,1368
,,,,,,,,135,9922,2834,1352
,,,,,,,,136,9884,2822,1347
,,,,,,,,137,10127,2893,1381
,,,,,,,,138,10851,3099,1479
,,,,,,,,139,11101,3171,1513
,,,,,,,,140,10840,3096,1478
,,,,,,,,141,10398,2969,1418
,,,,,,,,142,9705,2772,1323
,,,,,,,,143,8792,2512,1199
,,,,,,,,144,7960,2273,1085
,,,,,,,,145,7455,2129,1017
,,,,,,,,146,7188,2052,980
,,,,,,,,147,7085,2023,966
,,,,,,,,148,7134,2037,972
,,,,,,,,149,7364,2103,1004
,,,,,,,,150,8128,2321,1108
,,,,,,,,151,9425,2692,1285
,,,,,,,,152,10057,2872,1372
,,,,,,,,153,10138,2895,1382
,,,,,,,,154,10153,2900,1384
,,,,,,,,155,10133,2894,1381
,,,,,,,,156,10080,2879,1374
,,,,,,,,157,10018,2861,1366
,,,,,,,,158,10015,2860,1366
,,,,,,,,159,9941,2839,1355
,,,,,,,,160,9976,2850,1360
,,,,,,,,161,10336,2952,1409
,,,,,,,,162,11007,3144,1501
,,,,,,,,163,11151,3184,1520
,,,,,,,,164,10872,3105,1482
,,,,,,,,165,10440,2982,1423
,,,,,,,,166,9743,2782,1328
,,,,,,,,167,8823,2520,1203
,,,,,,,,168,8004,2286,1091
,,,,,,,,169,7441,2125,1015
,,,,,,,,170,7121,2034,971
,,,,,,,,171,6951,1986,947
,,,,,,,,172,6924,1978,943
