Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,UseExtremePeriods,ClusterMethod,ScalingMethod,MinPeriods,MaxPeriods,IterativelyAddPeriods,Threshold,IterateMethod,nReps,LoadWeight,ClusterFuelPrices,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
2000,1,1.0,1.0,2000,11,168,673.8461538461539,yes,kmeans,S,5,10,yes,0.05,cluster,200,1,yes,1,8972.145257946117,2562.2768493591557,1223.780423919134
,2,0.9,0.04,1800,,,1179.2307692307693,,,,,,,,,,,,2,8678.228388977903,2478.3013491003826,1183.8411464857897
,3,0.55,0.024,1100,,,842.3076923076924,,,,,,,,,,,,3,8536.902507731862,2437.337690437566,1163.3594657507413
,4,0.2,0.003,400,,,842.3076923076924,,,,,,,,,,,,4,8474.432371818757,2420.95222697244,1155.166793456722
,,,,,,,2526.9230769230767,,,,,,,,,,,,5,8530.757904199427,2436.313598970996,1163.3594657507413
,,,,,,,1179.2307692307693,,,,,,,,,,,,6,8763.228737843276,2502.8795442980722,1194.081986853314
,,,,,,,168.46153846153848,,,,,,,,,,,,7,9174.917174516524,2620.650062953669,1251.4306929114491
,,,,,,,168.46153846153848,,,,,,,,,,,,8,9625.521433561871,2748.66149627497,1312.875735116594
,,,,,,,842.3076923076924,,,,,,,,,,,,9,10222.572076796958,2918.6606797256572,1393.7783740200346
,,,,,,,168.46153846153848,,,,,,,,,,,,10,10590.224188154412,3024.1421007824083,1443.9584918209027
,,,,,,,168.46153846153848,,,,,,,,,,,,11,10735.64647175541,3066.129850911796,1463.4160885191986
,,,,,,,,,,,,,,,,,,,12,10733.598270577932,3065.105759445225,1462.392004482446
,,,,,,,,,,,,,,,,,,,13,10669.079933487348,3046.6721130469577,1454.1993321884268
,,,,,,,,,,,,,,,,,,,14,10588.175986976934,3024.1421007824083,1442.9344077841504
,,,,,,,,,,,,,,,,,,,15,10556.42886872601,3014.9252775832747,1438.8380716371407
,,,,,,,,,,,,,,,,,,,16,10574.862679323322,3020.045734916127,1441.9103237473978
,,,,,,,,,,,,,,,,,,,17,11068.479163095724,3160.346265836273,1509.4998701730574
,,,,,,,,,,,,,,,,,,,18,11804.807486399372,3371.3091079497763,1608.8360217380414
,,,,,,,,,,,,,,,,,,,19,11808.903888754332,3372.333199416347,1609.860105774794
,,,,,,,,,,,,,,,,,,,20,11592.81866453031,3310.8877114221227,1581.1857527457262
,,,,,,,,,,,,,,,,,,,21,11167.816920203448,3190.0449183668147,1522.8129626508387
,,,,,,,,,,,,,,,,,,,22,10468.356218094421,2990.3470823855855,1426.5490631961118
,,,,,,,,,,,,,,,,,,,23,9685.9433682975,2766.0710512066667,1320.0443233738608
,,,,,,,,,,,,,,,,,,,24,8892.265412024442,2538.7227456280366,1212.5154995148573
,,,,,,,,,,,,,,,,,,,25,8321.84138409658,2376.9162939099124,1134.6851127216742
,,,,,,,,,,,,,,,,,,,26,8030.996816894584,2292.940793651139,1094.7458352883298
,,,,,,,,,,,,,,,,,,,27,7913.2252491895515,2260.1698667208857,1079.3845747370435
,,,,,,,,,,,,,,,,,,,28,7919.369852721987,2262.218049654027,1080.408658773796
,,,,,,,,,,,,,,,,,,,29,8165.15399401945,2331.856269380815,1113.1793479498733
,,,,,,,,,,,,,,,,,,,30,8913.771524387972,2544.867294427459,1214.5636675883623
,,,,,,,,,,,,,,,,,,,31,10275.825307411409,2934.0220517242133,1400.9469622773017
,,,,,,,,,,,,,,,,,,,32,11040.828447199761,3153.17762557028,1504.3794499892954
,,,,,,,,,,,,,,,,,,,33,11205.708641986808,3201.309924499089,1527.9333828346007
,,,,,,,,,,,,,,,,,,,34,11298.901795562095,3226.912211163349,1540.2223912756297
,,,,,,,,,,,,,,,,,,,35,11386.974446193686,3252.5144978276094,1552.5113997166586
,,,,,,,,,,,,,,,,,,,36,11370.588836773855,3246.369949028187,1550.4632316431537
,,,,,,,,,,,,,,,,,,,37,11261.010073778736,3215.647205031075,1535.1019710918677
,,,,,,,,,,,,,,,,,,,38,11184.202529623279,3194.1412842330965,1524.8611307243436
,,,,,,,,,,,,,,,,,,,39,11063.358660152027,3159.322174369702,1508.475786136305
,,,,,,,,,,,,,,,,,,,40,11068.479163095724,3160.346265836273,1509.4998701730574
,,,,,,,,,,,,,,,,,,,41,11573.360753344263,3304.7431626227,1577.0894165987165
,,,,,,,,,,,,,,,,,,,42,12308.66497605917,3514.6819132696332,1678.4737362372055
,,,,,,,,,,,,,,,,,,,43,12206.254917185228,3486.007352205662,1664.1365597226716
