Time_Index,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1
0,1,0.4136,1,1,1,1,1,1,1,1,0.2949,0.4136,0,1,0.3184,1,1,1,1,1,1,0.1727,0.3184,0,1,0.6451,1,1,1,0.5246,0.6451,0,1,1,1,1,1,0.396942616,0,0.692882299,1,1,1,1,1,0.227019295,0,0.100365713,1,1,1,1,1,0.750804782,0,0.469610923,0.469642479,0.469858156
1,1,0.4135,1,1,1,1,1,1,1,1,0.2855,0.4135,0,1,0.3184,1,1,1,1,1,1,0.1644,0.3184,0,1,0.6452,1,1,1,0.5049,0.6452,0,1,1,1,1,1,0.351704359,0,0.756700516,1,1,1,1,1,0.235586584,0,0.267657876,1,1,1,1,1,0.71875,0,0.444055099,0.444044849,0.444148936
2,1,0.4134,1,1,1,1,1,1,1,1,0.2822,0.4134,0,1,0.3184,1,1,1,1,1,1,0.2645,0.3184,0,1,0.6453,1,1,1,0.4734,0.6453,0,1,1,1,1,1,0.397691101,0,0.573801279,1,1,1,1,1,0.297784984,0,0.260432482,1,1,1,1,1,0.628944397,0,0.425144998,0.425005289,0.425088652
3,1,0.4132,1,1,1,1,1,1,1,1,0.2999,0.4132,0,1,0.3184,1,1,1,1,1,1,0.214,0.3184,0,1,0.6454,1,1,1,0.443,0.6454,0,1,1,1,1,1,0.427253336,0,0.457804859,1,1,1,1,1,0.25886327,0,0.229244262,1,1,1,1,1,0.579314351,0,0.415538908,0.415697059,0.415780142
4,1,0.4131,1,1,1,1,1,1,1,1,0.2623,0.4131,0,1,0.3184,1,1,1,1,1,1,0.1407,0.3184,0,1,0.6455,1,1,1,0.4305,0.6455,0,1,1,1,1,1,0.339119017,0,0.468307495,1,1,1,1,1,0.153275698,0,0.092216238,1,1,1,1,1,0.528715968,0,0.414088932,0.414004654,0.414007092
5,1,0.413,1,1,1,1,1,1,1,1,0.1912,0.413,0,1,0.3184,1,1,1,1,1,1,0.0858,0.3184,0,1,0.6456,1,1,1,0.3967,0.6456,0,1,1,1,1,1,0.236915365,0,0.412337005,1,1,1,1,1,0.099269398,0,0.104046598,1,1,1,1,1,0.454047352,0,0.421399227,0.421408927,0.421542553
6,1,0.4128,1,1,1,1,1,1,1,1,0.136,0.4128,0,1,0.3183,1,1,1,1,1,1,0.1152,0.3183,0,1,0.6457,1,1,1,0.342,0.6457,0,1,1,1,1,1,0.193665192,0,0.262161851,1,1,1,1,1,0.12413507,0,0.04129529,1,1,1,1,1,0.373771489,0,0.437046883,0.437063677,0.437056738
7,1,0.4127,1,1,1,1,1,1,1,1,0.1334,0.4127,0,1,0.3183,1,1,1,1,1,1,0.1681,0.3183,0,1,0.6458,1,1,1,0.2295,0.6458,0,1,1,1,1,1,0.214257017,0,0.125884831,1,1,1,1,1,0.171423361,0,0.014864398,1,1,1,1,1,0.307659447,0,0.451244563,0.451237571,0.451241135
8,1,0.4126,1,1,1,1,1,1,1,1,0.0745,0.4126,0.1779,1,0.3183,1,1,1,1,1,1,0.1389,0.3183,0.2003,1,0.6459,1,1,1,0.1839,0.6459,0.0921,1,1,1,1,1,0.137640193,0.307505727,0.016297186,1,1,1,1,1,0.140140936,0.349100381,0.035862304,1,1,1,1,1,0.271249354,0.322813988,0.475350411,0.475354347,0.475177305
9,1,0.4124,1,1,1,1,1,1,1,1,0.0048,0.4124,0.429,1,0.3183,1,1,1,1,1,1,0,0.3183,0.4221,1,0.646,1,1,1,0.0605,0.646,0.3908,1,1,1,1,1,0.001854794,0.664258897,0.006198792,1,1,1,1,1,0,0.649626613,0.058487438,1,1,1,1,1,0.041609347,0.698319793,0.498852102,0.498836471,0.499113475
