Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,2,3,0
AnnualSum,309701.03,701383.2,531656.25,1.8625166e7,4.0329885e6,90837.54,183095.69,1752.0,0.0,87600.0,0.0,0.0,428225.28,79564.16,57176.562,4436.1333,1.008829e7,22025.707,176404.9,223566.97,0.0,0.0,0.0,202942.33,72854.0,562747.7,82842.88,3.0125122e6,477420.0,0.0,0.0,6086.3193,0.0,0.0,343793.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41766.176,0.0,0.0,0.0,0.0,124894.91,36139.223,16264.384,4.0624136e7
t1,106.06199999999998,261.95784296,0.0,4069.47641560902,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,0.0,27.248000000000005,16.146449999999998,0.0,3488.704,16.403200000000002,53.815999999999995,124.9,0.0,0.0,0.0,0.0,24.95,178.754793,0.0,1114.1,163.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9780.674173715328
t2,106.06199999999998,206.93025396000004,0.0,3803.0169349266835,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,0.0,27.248000000000005,12.185999999999998,0.0,3488.704,16.403200000000002,53.815999999999995,124.9,0.0,0.0,0.0,0.0,24.95,158.98785,0.0,1114.1,163.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,65.49000006112,23.8600000003,0.0,9524.80971109441
t3,106.06199999999998,261.95784296,0.0,5524.15638265033,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,0.0,27.248000000000005,12.185999999999998,0.0,3488.704,16.403200000000002,53.815999999999995,124.9,0.0,0.0,0.0,0.0,24.95,131.77962000000002,0.0,1114.1,163.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,0.0,79.81999999613001,46.899999995040005,11311.138517747806
t4,106.06199999999998,206.93025396000004,0.0,5462.470586563956,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,0.0,27.248000000000005,12.185999999999998,0.0,3488.704,16.403200000000002,53.815999999999995,124.9,0.0,0.0,0.0,0.0,24.95,153.62815649999996,0.0,1114.1,163.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11089.553669170262
t5,106.06199999999998,261.95784296,0.0,3945.3078276520478,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,0.0,27.248000000000005,12.185999999999998,0.0,3488.704,16.403200000000002,53.815999999999995,124.9,0.0,0.0,0.0,0.0,24.95,180.83638649999995,0.0,1114.1,163.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9654.626729258354
t6,106.06199999999998,315.57990800000005,0.0,4960.04988306173,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,0.0,27.248000000000005,15.83503,0.0,3488.704,16.403200000000002,53.815999999999995,124.9,0.0,0.0,0.0,0.0,24.95,157.77495299999998,0.0,1114.1,163.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10703.578446208037
t7,106.06199999999998,315.3147148,0.0,6772.095150790954,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,16.592280000000002,27.248000000000005,21.454130000000003,0.0,3488.704,16.403200000000002,53.815999999999995,124.9,0.0,0.0,0.0,13.223380000000002,24.95,184.983183,0.0,1114.1,163.5,0.0,0.0,0.39412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,0.0,21.269999981090002,0.0,12599.665630718351
t8,106.06199999999998,370.34230379999997,0.0,7077.3,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,164.52642,27.248000000000005,27.073230000000002,0.0,3488.704,35.2,434.0,124.9,0.0,0.0,0.0,87.20688000000001,24.95,211.09502623543375,0.0,1114.1,163.5,0.0,0.0,2.6668000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13593.53013218174
