,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,2.0914021187696397e7,461600.2462171012,-615503.1044715974,121760.80711358678,-121760.80711358676,19409.694141613152,0.0,6.43253125846154e6,-43815.06959084289,-2.7168244212454215e7,1.3539816804143239e7,3372.4647267563732,-4496.883452837731,35811.366646063914,-35811.36664606392,3116.319862637362,0.0,-5.747432651907053e6,-35363.48469142297,-7.759012568681318e6,4.395864931428537e6,0.0,0.0,14543.628917350168,-14543.628917350172,1462.9294392893328,0.0,-685098.6065544877,-8451.584899419922,-3.7037776694139196e6
t1,3523.3975497475967,0.0,-0.0,68.08000008223999,-88.32000003064,0.0,0.0,3396.320714721856,-23.47826452105257,-6876.0,4658.099729178424,0.0,-0.0,19.439999978650004,-4.141813920244946,0.0,0.0,-2693.8230416083898,-16.57487362843853,-1963.0,1637.121064,0.0,-0.0,9.280000006080002,-0.0,0.0,0.0,-702.497673113466,-6.903390892614037,-937.0
t2,3479.5522740142633,0.0,-0.0,65.49000006112,-363.03999997272,0.0,0.0,3455.8729269483433,-23.87520105100628,-6614.0,4656.109349178424,0.0,-0.0,18.710000009190004,-23.8600000003,0.0,0.0,-2745.0691623544826,-16.8901868328304,-1889.0,1622.2487788302765,0.0,-0.0,8.92999999248,-11.390000010719998,0.0,0.0,-710.8037645938607,-6.985014218175878,-902.0
t3,3424.5246850142635,0.0,-245.52569530268676,0.0,-0.0,0.0,0.0,3361.115454153137,-23.114443864713145,-6517.0,4656.109349178424,0.0,-0.0,0.0,-79.81999999613001,0.0,0.0,-2698.6845630088915,-16.604786173401823,-1861.0,1595.0405488302763,0.0,-0.0,0.0,-38.09999999472,0.0,0.0,-662.4308911442452,-6.5096576913113235,-888.0
t4,3479.5522740142633,0.0,-398.7381089531046,0.0,-0.0,0.0,0.0,3475.143968728356,-23.958133789514523,-6532.0,4656.109349178424,0.0,-0.0,0.0,-0.0,0.0,0.0,-2774.040901595241,-17.06844758318204,-1865.0,1597.9927533394473,0.0,-0.0,0.0,-0.0,0.0,0.0,-701.103067133115,-6.889686206332485,-890.0
t5,3502.5135852475964,0.0,-106.98130013383445,0.0,-0.0,0.0,0.0,3393.87553453233,-23.407819646092904,-6766.0,4656.109349178424,0.0,-0.0,0.0,-0.0,0.0,0.0,-2706.4567414246612,-16.652607753761515,-1933.0,1616.174005,0.0,-0.0,0.0,-0.0,0.0,0.0,-687.4187931076689,-6.755211892331388,-922.0
t6,4433.669000475865,0.0,-0.0,0.0,-0.0,0.0,0.0,3110.720841851279,-21.389842327144102,-7523.0,4661.728449178424,0.0,-0.0,0.0,-0.0,0.0,0.0,-2498.356266685543,-15.37218249288041,-2148.0,1643.382235,0.0,-0.0,0.0,-0.0,0.0,0.0,-612.3645751657364,-6.017659834263691,-1025.0
t7,6246.7324744346015,0.0,-0.0,0.0,-0.0,0.0,0.0,2586.791014371912,-17.523488806511644,-8816.0,4680.570929178424,0.0,-0.0,0.0,-0.0,0.0,0.0,-2149.3461773210806,-13.224751857343156,-2518.0,1643.7435739999999,0.0,-0.0,0.0,-0.0,0.0,0.0,-437.4448370508315,-4.298736949168486,-1202.0
t8,7244.4107326420535,0.0,-0.0,0.0,-0.0,0.0,0.0,2360.4043900181855,-15.815122660237629,-9589.0,4760.173529178423,0.0,-0.0,0.0,-0.0,0.0,0.0,-2008.8134636548523,-12.360065523571018,-2739.0,1663.0459835000001,0.0,-0.0,0.0,-0.0,0.0,0.0,-351.59092636333344,-3.455057136666611,-1308.0
t9,7435.073785882415,0.0,-0.0,24.720335646411407,-0.0,0.0,0.0,2375.1590005743983,-15.953122103224713,-9819.0,4828.088609178424,0.0,-0.0,0.0,-0.0,0.0,0.0,-2010.7168323821973,-12.37177679622582,-2805.0,1692.7735135000003,0.0,-0.0,13.2499999992,-0.0,0.0,0.0,-364.44216819220105,-3.5813453069988928,-1338.0
t10,7506.608267692598,0.0,-0.0,0.0,-0.0,0.0,0.0,2425.648206499408,-16.256474192005584,-9916.0,4879.848691678424,0.0,-0.0,28.040000021630004,-0.0,0.0,0.0,-2063.194027002222,-12.69466469783147,-2832.0,1704.6359890000003,0.0,-0.0,13.37999999136,-0.0,0.0,0.0,-362.4541794971859,-3.5618094941741143,-1352.0
t11,7465.691900779627,0.0,-0.0,98.6700000588,-0.0,0.0,0.0,2416.722324920069,-16.08422575849461,-9965.0,4916.859071678424,0.0,-0.0,28.180000006060002,-0.0,0.0,0.0,-2086.202835662185,-12.836236022298317,-2846.0,1678.3174790000003,0.0,-0.0,13.449999994079999,-0.0,0.0,0.0,-330.5194892578837,-3.2479897361962946,-1358.0
t12,7480.066732229124,0.0,-0.0,0.0,-0.0,0.0,0.0,2428.0230842258616,-16.089816454981534,-9892.0,4924.950331678424,0.0,-0.0,27.970000005780008,-0.0,0.0,0.0,-2114.907478334968,-13.012853349235572,-2825.0,1650.842569,0.0,-0.0,13.349999996640001,-0.0,0.0,0.0,-313.1156058908939,-3.0769631057459637,-1348.0
t13,7443.483331684926,0.0,-0.0,96.53999998008001,-219.93033568529142,0.0,0.0,2447.03770734074,-16.13070332045359,-9751.0,4925.324831678425,0.0,-0.0,27.569999989490004,-0.0,0.0,0.0,-2154.6375225943484,-13.257309073564933,-2785.0,1624.3635789999998,0.0,-0.0,13.15999999248,-13.2499999992,0.0,0.0,-292.40018474639146,-2.8733942468886555,-1329.0
t14,7242.551726283449,0.0,-0.0,95.50999997232,-0.0,0.0,0.0,2324.2528127125684,-15.314538968334684,-9647.0,4927.731809178424,0.0,-0.0,0.0,-111.76000002296001,0.0,0.0,-2048.368365544291,-12.60344361117223,-2755.0,1646.9355425,0.0,-0.0,13.020000009600002,-66.35999998416001,0.0,0.0,-275.88444716827746,-2.711095357162454,-1315.0
t15,6863.0762031497625,0.0,-0.0,93.76999993832,-0.0,0.0,0.0,2530.9207892951704,-16.766992383253125,-9471.0,4923.386449178424,0.0,-0.0,0.0,-0.0,0.0,0.0,-2205.8142538483557,-13.572195330067245,-2704.0,1619.3013325000002,0.0,-0.0,0.0,-0.0,0.0,0.0,-325.1065354468142,-3.194797053185881,-1291.0
t16,7017.102772435938,0.0,-0.0,92.40000000192,-281.67999991256,0.0,0.0,2520.867433826564,-16.69020635185962,-9332.0,4878.359529178423,0.0,-0.0,0.0,-0.0,0.0,0.0,-2199.824190221661,-13.535338956762377,-2665.0,1596.1981110000002,0.0,-0.0,0.0,-0.0,0.0,0.0,-321.0432436049027,-3.1548673950972432,-1272.0
t17,6850.694136124646,0.0,-0.0,0.0,-0.0,0.0,0.0,2490.8973665268873,-16.591502651535862,-9325.0,4822.735579178423,0.0,-0.0,0.0,-0.0,0.0,0.0,-2146.528166313144,-13.207412865279222,-2663.0,1619.75329,0.0,-0.0,0.0,-0.0,0.0,0.0,-344.36920021374334,-3.38408978625664,-1272.0
t18,7089.709084878595,0.0,-0.0,0.0,-0.0,0.0,0.0,2384.2544371499143,-15.963522028508654,-9458.0,4745.717919178424,0.0,-0.0,0.0,-0.0,0.0,0.0,-2032.213872844243,-12.504046334179991,-2701.0,1644.5000400000001,0.0,-0.0,0.0,-0.0,0.0,0.0,-352.04056430567135,-3.4594756943286633,-1289.0
t19,7075.376506526489,64.48025115994938,-0.0,94.61999992544,-0.0,0.0,0.0,2338.260564281738,-15.737321893615237,-9557.0,4685.856939178424,0.0,-0.0,27.029999988770005,-0.0,0.0,0.0,-1970.7610073062601,-12.125931860933322,-2730.0,1660.210947,0.0,-0.0,12.90000000816,-0.0,0.0,0.0,-367.4995569754779,-3.611390032681913,-1302.0
t20,7123.422195526489,737.990819335283,-0.0,99.84999991824,-0.0,0.0,0.0,2138.078420712102,-14.34143549211184,-10085.0,4677.915519178424,0.0,-0.0,28.52000002227,-0.0,0.0,0.0,-1815.266333395517,-11.169185805176445,-2880.0,1687.3743369999997,0.0,-0.0,13.610000003520001,-0.0,0.0,0.0,-322.8120873165845,-3.172249686935396,-1375.0
t21,7129.366943093156,783.3492704565809,-0.0,100.29000007904,-0.0,0.0,0.0,2130.301179782526,-14.307393411287336,-10129.0,4679.188279178425,0.0,-0.0,28.640000022430005,-0.0,0.0,0.0,-1803.730075053053,-11.098204147800317,-2893.0,1697.110294,0.0,-0.0,13.66999999296,-0.0,0.0,0.0,-326.57110472947295,-3.2091892634870187,-1381.0
t22,7074.339354093155,17.872442603709793,-0.0,94.26999994047999,-0.0,0.0,0.0,2350.3797232774505,-15.86151991479296,-9521.0,4673.569179178424,0.0,-0.0,26.920000004380004,-0.0,0.0,0.0,-1969.3717950317741,-12.117384151029212,-2719.0,1669.9020639999999,0.0,-0.0,12.85000000944,-0.0,0.0,0.0,-381.0079282456763,-3.74413576376375,-1298.0
t23,5978.36941805401,0.0,-0.0,85.12999994072,-94.61999992544,0.0,0.0,2648.072247559592,-17.951665628880587,-8599.0,4667.950079178424,0.0,-0.0,24.3100000009,-27.029999988770005,0.0,0.0,-2196.7138777330424,-13.516201457510375,-2455.0,1642.6938340000002,0.0,-0.0,11.610000009600002,-26.51000001168,0.0,0.0,-451.35836982654985,-4.435464171370214,-1172.0
t24,4834.916164030083,0.0,-0.0,76.60000006608,-99.84999991824002,0.0,0.0,2944.6279339690504,-20.29409814697301,-7736.0,4662.330979178423,0.0,-0.0,21.879999997660004,-108.39000004998,0.0,0.0,-2352.347178652152,-14.473800473951629,-2209.0,1642.661053,0.0,-0.0,10.43999998992,-0.0,0.0,0.0,-592.2807553168989,-5.820297673021383,-1055.0
t25,4001.5446712712983,0.0,-0.0,71.3199999572,-100.29000007903998,0.0,0.0,3252.7818400208985,-22.35651117035594,-7203.0,4667.950079178424,0.0,-0.0,20.360000011390003,-0.0,0.0,0.0,-2615.2188507415376,-16.091228448276347,-2057.0,1642.6282720000002,0.0,-0.0,9.720000003840001,-26.520000002399996,0.0,0.0,-637.5629892793605,-6.265282722079595,-982.0
t26,3687.4774362805942,0.0,-0.0,0.0,-94.26999994047996,0.0,0.0,3361.9515890037615,-23.159025343875182,-6932.0,4664.730572353497,0.0,-0.0,19.59999999462,-0.0,0.0,0.0,-2688.7866869991253,-16.543885348990628,-1979.0,1615.420042,0.0,-0.0,9.359999999520001,-0.0,0.0,0.0,-673.1649020046358,-6.615139994884552,-945.0
t27,3709.137623055786,0.0,-0.0,0.0,-233.049999964,0.0,0.0,3366.0198701260706,-23.1074932178564,-6819.0,4659.1114723534965,0.0,-0.0,19.28000000995,-0.0,0.0,0.0,-2713.6943323028754,-16.69714006057151,-1948.0,1590.1458910000001,0.0,-0.0,9.19999999008,-11.6100000096,0.0,0.0,-652.3255378231952,-6.410353157284895,-929.0
t28,3567.7877805190556,0.0,-0.0,0.0,-0.0,0.0,0.0,3286.7164155727232,-22.50419609178011,-6832.0,4656.109349178424,0.0,-0.0,19.319999978490003,-42.24000000905001,0.0,0.0,-2665.786979126934,-16.402370020929226,-1951.0,1596.7512625,0.0,-0.0,0.0,-38.719999983360005,0.0,0.0,-620.9294364457893,-6.101826070850882,-931.0
t29,3807.0468966567273,0.0,-0.0,0.0,-0.0,0.0,0.0,3292.6133842067843,-22.6602808635124,-7077.0,4656.304172590887,0.0,-0.0,20.00999997941,-0.0,0.0,0.0,-2639.076152091186,-16.238020479110673,-2021.0,1623.9594925000001,0.0,-0.0,0.0,-0.0,0.0,0.0,-653.5372321155984,-6.422260384401727,-964.0
t30,4946.832718731855,0.0,-0.0,0.0,-0.0,0.0,0.0,2903.1232889482812,-19.956007680135475,-7830.0,4661.923272590888,0.0,-0.0,0.0,-78.20999996247001,0.0,0.0,-2333.3563213516795,-14.356951276736696,-2236.0,1642.366024,0.0,-0.0,0.0,-0.0,0.0,0.0,-569.7669675966013,-5.599056403398779,-1067.0
t31,6560.412221667849,0.0,-0.0,0.0,-0.0,0.0,0.0,2540.7930024628895,-17.205224130737474,-9084.0,4694.251352590887,0.0,-0.0,25.690000002740003,-0.0,0.0,0.0,-2112.940601278618,-13.000751315008333,-2594.0,1670.056874,0.0,-0.0,0.0,-0.0,0.0,0.0,-427.85240118427106,-4.20447281572914,-1238.0
t32,7331.116088026489,0.0,-0.0,76.40507686768849,-0.0,0.0,0.0,2376.4864558571307,-16.00762075130573,-9768.0,4774.116172590888,0.0,-0.0,27.620000021070005,-0.0,0.0,0.0,-1999.4338192758084,-12.302353336147778,-2790.0,1699.577904,0.0,-0.0,13.179999996480001,-0.0,0.0,0.0,-377.05263658132185,-3.705267415157951,-1332.0
t33,7497.389210726489,0.0,-0.0,0.0,-76.40507686768849,0.0,0.0,2425.2681719141815,-16.252305772982048,-9830.0,4855.217504178424,0.0,-0.0,27.79000000554,-0.0,0.0,0.0,-2063.3121129131464,-12.695391270817387,-2807.0,1692.2429735000003,0.0,-0.0,13.2700000032,-0.0,0.0,0.0,-361.95605900103544,-3.5569145021646613,-1340.0
t34,7480.726706473695,0.0,-0.0,0.0,-0.0,0.0,0.0,2349.9779205872887,-15.704627060984578,-9815.0,4907.474104178425,0.0,-0.0,27.749999989730004,-108.85000001908,0.0,0.0,-2011.000581467849,-12.373522681224287,-2803.0,1667.0584435,0.0,-0.0,13.2499999992,-0.0,0.0,0.0,-338.97733911943953,-3.3311043797602897,-1338.0
