Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,2,3,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.998272695317299e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1184629611360464e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1521413123837263e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.582883210574155e-13
t1,105.955938,316.41263858415454,1768.002,7073.900486763614,2684.803,302.701,62.641296,0.5993999999999999,0.0,29.97,0.0,89.0217835,0.0,27.220752,21.524334899999996,30.999,3485.2152960000003,35.2,433.97412572109045,124.77510000000001,0.0,0.0,5.953840199999999,0.0,24.92505,185.066676207,274.5,1112.9859,163.3365,0.0,110.3448166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1065546117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66014690199918,0.0,0.0,0.0,0.0,67.99168008220937,19.414769978663635,9.267960006085922,19353.470046056522
t2,105.955938,316.2687712731545,1768.002,7073.9878236,2684.803,302.701,62.641296,0.5993999999999999,0.0,29.97,0.0,88.96587699999999,0.0,27.220752,21.516413999999997,30.999,3485.2152960000003,35.2,433.97412572109045,124.77510000000001,0.0,0.0,5.950098,0.0,24.92505,185.06110343699999,274.5,1112.9859,163.3365,0.0,110.32529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.2244658425243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.72437323115973,0.0,0.0,0.0,0.0,65.40645006113976,18.686140009189703,8.918609992469278,19349.83977416773
t3,105.955938,316.05860566215455,1768.002,7073.9878236,2684.803,302.701,62.641296,0.5993999999999999,0.0,29.97,0.0,88.891335,0.0,27.220752,21.502874,30.999,3485.2152960000003,35.2,433.97412572109045,124.77510000000001,0.0,0.0,5.9463558,0.0,24.92505,185.01530837999996,274.5,1112.9859,163.3365,0.0,110.28623679999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1065546117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.72437323115973,0.0,0.0,0.0,0.0,64.32871646529146,18.358889977303065,8.753100000324961,19347.764531249024
t4,105.955938,315.8241601501955,1768.002,7073.9878236,2684.803,302.701,62.641296,0.5993999999999999,0.0,29.97,0.0,88.83542849999999,0.0,27.220752,21.489333999999996,30.999,3485.2152960000003,35.2,433.97412572109045,124.77510000000001,0.0,0.0,5.942613599999999,0.0,24.92505,184.97057870549997,274.5,1112.9859,163.3365,0.0,110.26671019999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.2058822830382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.72437323115973,0.0,0.0,0.0,0.0,64.45260367225838,18.470000008870002,8.80999999104,19347.783865663154
t5,105.955938,315.5039393611955,1768.002,7073.9878236,2684.803,302.701,62.641296,0.5993999999999999,0.0,29.97,0.0,88.7608865,0.0,27.220752,21.475794,30.999,3485.2152960000003,35.2,433.97412572109045,124.77510000000001,0.0,0.0,5.9388714,0.0,24.92505,184.9105894755,274.5,1112.9859,163.3365,0.0,110.2471836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1065546117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.72437323115973,0.0,0.0,0.0,0.0,66.99000006760001,19.13999997825,9.13000000992,19350.72037355642
t6,105.955938,315.25001687219543,1768.002,7073.0676907921115,2684.803,302.701,62.641296,0.5993999999999999,0.0,29.97,0.0,88.70497999999999,0.0,27.220752,21.456634899999997,30.999,3485.2152960000003,35.2,433.97412572109045,124.77510000000001,0.0,0.0,5.9351291999999995,0.0,24.92505,184.8178192455,274.5,1112.9859,163.3365,0.0,110.20813039999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1065546117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66014690199918,0.0,0.0,0.0,0.0,74.48000004368001,21.269999981090002,10.15000001088,19359.911460680247
t7,105.955938,315.0137113050045,1768.002,7071.26709682083,2684.803,302.701,62.641296,0.5993999999999999,0.0,29.97,0.0,88.630438,16.575687719999998,27.220752,21.432675870000004,30.999,3485.2152960000003,35.2,433.97412572109045,124.77510000000001,0.0,0.0,5.9295159,13.210156620000001,24.92505,184.75783001550002,274.5,1112.9859,163.3365,0.0,110.18860380000001,0.39372588000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1065546117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66014690199918,0.0,0.0,0.0,0.0,87.29000002288,24.929999985970003,11.900000011200001,19406.090501186176
t8,105.955938,314.80070408010005,1768.002,7070.388109149454,2684.803,302.701,62.641296,0.5993999999999999,0.0,29.97,0.0,88.57453149999999,164.36189358000001,27.220752,21.419149409999996,30.999,3485.2152960000003,35.2,433.97412572109045,124.77510000000001,0.0,0.0,5.9257737,87.11967312000002,24.92505,184.74656154675,274.5,1112.9859,163.3365,0.0,110.1690772,2.6641332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1065546117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66014690199918,0.0,0.0,0.0,0.0,94.94000007248,27.119999988890005,12.95000000688,19639.750665789346
t9,105.955938,314.50909100754996,1768.002,7070.258632128498,2684.803,302.701,62.641296,0.5993999999999999,0.0,29.97,0.0,88.4999895,292.86450233999994,27.220752,21.40282017,30.999,3485.2152960000003,35.2,433.97412572109045,124.77510000000001,0.0,0.0,5.922031499999999,149.35335714,24.92505,184.70820777675,274.5,1112.9859,163.3365,0.0,110.13002399999999,5.1809139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.1065546117043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.66014690199918,0.0,0.0,0.0,0.0,97.22000000288,27.77000002127,13.2499999992,19835.64062872094
