Time_Index,None,pacific_naturalgas,mountain_coal,mountain_naturalgas,mountain_uranium,pacific_naturalgas_ccs90,pacific_uranium,pacific_naturalgas_ccs100,mountain_naturalgas_ccs90,mountain_naturalgas_ccs100
0,0.0,0.05306,0.09552,0.05306,0.0,0.00531,0.0,0.0,0.00531,0.0
1,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
2,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
3,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
4,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
5,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
6,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
7,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
8,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
9,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
10,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
11,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
12,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
13,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
14,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
15,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
16,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
17,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
18,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
19,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
20,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
21,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
22,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
23,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
24,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
25,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
26,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
27,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
28,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
29,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
30,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
31,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
32,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
33,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
34,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
35,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
36,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
37,0.0,3.58,1.4,3.78,0.66,4.06,0.66,4.12,4.25,4.31
