Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
9000.0,1.0,1.0,1.0,9000.0,4.0,120.0,3000.0,1,17459.0,19302.0,12735.0
,2.0,0.067,0.075,603.0,,,2640.0,2,16658.0,18484.0,12038.0
,,,,,,,3000.0,3,15640.0,17421.0,11331.0
,,,,,,,120.0,4,14343.0,16038.0,10909.0
,,,,,,,,5,13199.0,14516.0,10588.0
,,,,,,,,6,11505.0,12369.0,10434.0
,,,,,,,,7,9983.0,10489.0,10507.0
,,,,,,,,8,9237.0,9536.0,10751.0
,,,,,,,,9,9304.0,9475.0,11294.0
,,,,,,,,10,9923.0,10176.0,12287.0
,,,,,,,,11,10759.0,11202.0,13211.0
,,,,,,,,12,11963.0,12556.0,14044.0
,,,,,,,,13,13451.0,14470.0,15086.0
,,,,,,,,14,15092.0,16620.0,16009.0
,,,,,,,,15,16734.0,18885.0,16809.0
,,,,,,,,16,18276.0,20922.0,17442.0
,,,,,,,,17,19680.0,22371.0,18100.0
,,,,,,,,18,20548.0,23120.0,18480.0
,,,,,,,,19,20981.0,23530.0,18714.0
,,,,,,,,20,21123.0,23510.0,18644.0
,,,,,,,,21,20838.0,23043.0,18135.0
,,,,,,,,22,20333.0,22437.0,17365.0
,,,,,,,,23,19682.0,21749.0,17117.0
,,,,,,,,24,19528.0,21674.0,16219.0
,,,,,,,,25,19052.0,21325.0,15071.0
,,,,,,,,26,17566.0,19737.0,13909.0
,,,,,,,,27,16109.0,18163.0,12949.0
,,,,,,,,28,15036.0,16923.0,12292.0
,,,,,,,,29,13732.0,15203.0,11809.0
,,,,,,,,30,11914.0,12908.0,11500.0
,,,,,,,,31,10445.0,11127.0,11422.0
,,,,,,,,32,9737.0,10240.0,11467.0
,,,,,,,,33,9753.0,10091.0,11856.0
,,,,,,,,34,9695.0,9891.0,12617.0
,,,,,,,,35,10851.0,11256.0,13691.0
,,,,,,,,36,12099.0,12855.0,14805.0
,,,,,,,,37,13317.0,14518.0,15977.0
,,,,,,,,38,14968.0,16682.0,17001.0
,,,,,,,,39,16732.0,18993.0,17870.0
,,,,,,,,40,18545.0,21225.0,18624.0
,,,,,,,,41,20266.0,22929.0,19276.0
,,,,,,,,42,21261.0,23858.0,19654.0
,,,,,,,,43,21855.0,24365.0,19749.0
,,,,,,,,44,22097.0,24443.0,19540.0
,,,,,,,,45,21890.0,24024.0,18853.0
,,,,,,,,46,21425.0,23412.0,17920.0
,,,,,,,,47,20708.0,22564.0,17438.0
,,,,,,,,48,20395.0,22326.0,16427.0
,,,,,,,,49,19769.0,21877.0,15339.0
,,,,,,,,50,18322.0,20389.0,14048.0
,,,,,,,,51,16769.0,18730.0,12961.0
,,,,,,,,52,15341.0,17126.0,12192.0
,,,,,,,,53,13765.0,15149.0,11641.0
,,,,,,,,54,12022.0,12998.0,11208.0
,,,,,,,,55,10603.0,11258.0,11021.0
