Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,UseExtremePeriods,ClusterMethod,ScalingMethod,MinPeriods,MaxPeriods,IterativelyAddPeriods,Threshold,IterateMethod,nReps,LoadWeight,ClusterFuelPrices,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
2000,1,1.0,1.0,2000,11,168,842.3076923076924,yes,kmeans,S,5,10,yes,0.05,cluster,200,1,yes,1,8903.26681807455,2542.6109406735063,1214.382556725264
,2,0.9,0.04,1800,,,1179.2307692307693,,,,,,,,,,,,2,8611.606325346847,2459.279966598676,1174.7499879283723
,3,0.55,0.024,1100,,,673.8461538461539,,,,,,,,,,,,3,8471.365391561403,2418.6307109524164,1154.425593673556
,4,0.2,0.003,400,,,673.8461538461539,,,,,,,,,,,,4,8409.374833873633,2402.3710086939127,1146.2958359716297
,,,,,,,2021.5384615384617,,,,,,,,,,,,5,8465.267959657687,2417.61447956126,1154.425593673556
,,,,,,,168.46153846153848,,,,,,,,,,,,6,8695.95413334824,2483.669519986431,1184.9121850557804
,,,,,,,1853.076923076923,,,,,,,,,,,,7,9104.482070897146,2600.5361299694264,1241.8204889692656
,,,,,,,168.46153846153848,,,,,,,,,,,,8,9551.62707716958,2727.565053863986,1302.793671733714
,,,,,,,842.3076923076924,,,,,,,,,,,,9,10144.094210480554,2896.259464795961,1383.0750290402377
,,,,,,,168.46153846153848,,,,,,,,,,,,10,10508.923886052837,3000.931298085078,1432.8697949645373
,,,,,,,168.46153846153848,,,,,,,,,,,,11,10653.22977444076,3042.5967851224937,1452.1779695066125
,,,,,,,,,,,,,,,,,,,12,10651.197297139523,3041.5805537313367,1451.1617497938719
,,,,,,,,,,,,,,,,,,,13,10587.174262150515,3023.2883886905206,1443.0319920919453
,,,,,,,,,,,,,,,,,,,14,10506.891408751599,3000.931298085078,1431.8535752517964
,,,,,,,,,,,,,,,,,,,15,10475.388010582405,2991.7852155646697,1427.7886964008333
,,,,,,,,,,,,,,,,,,,16,10493.68030629355,2996.866372520452,1430.8373555390556
,,,,,,,,,,,,,,,,,,,17,10983.507335891989,3136.0900731088896,1497.9078565799489
,,,,,,,,,,,,,,,,,,,18,11714.182925687172,3345.4337396871238,1596.4811687158071
,,,,,,,,,,,,,,,,,,,19,11718.247880289651,3346.4499710782807,1597.497388428548
,,,,,,,,,,,,,,,,,,,20,11503.821525009005,3285.4760876088917,1569.0432364718054
,,,,,,,,,,,,,,,,,,,21,11082.082485002049,3165.5607834524276,1511.1187128455795
,,,,,,,,,,,,,,,,,,,22,10387.991486629156,2967.3956621769144,1415.5940598479435
,,,,,,,,,,,,,,,,,,,23,9611.58515755611,2744.840987513646,1309.9072097228996
,,,,,,,,,,,,,,,,,,,24,8824.000203326254,2519.237618676908,1203.204139885115
,,,,,,,,,,,,,,,,,,,25,8257.955274931377,2358.673058874185,1125.9714417168138
,,,,,,,,,,,,,,,,,,,26,7969.343498155531,2275.342084799353,1086.338872919922
,,,,,,,,,,,,,,,,,,,27,7852.476053334328,2242.822680282346,1071.0955772288103
,,,,,,,,,,,,,,,,,,,28,7858.573485238042,2244.855143064659,1072.111796941551
,,,,,,,,,,,,,,,,,,,29,8102.470761386643,2313.9588776632995,1104.6308277492567
,,,,,,,,,,,,,,,,,,,30,8845.341214989256,2525.3350070238466,1205.2365793105967
,,,,,,,,,,,,,,,,,,,31,10196.938620312754,2911.502935663308,1390.1885670294237
,,,,,,,,,,,,,,,,,,,32,10956.068892325273,3128.9764533707944,1492.8267580162449
,,,,,,,,,,,,,,,,,,,33,11119.683315074959,3176.739328755149,1516.1998114092835
,,,,,,,,,,,,,,,,,,,34,11212.161032281303,3202.145113534061,1528.3944479621732
,,,,,,,,,,,,,,,,,,,35,11299.557556234551,3227.550898312973,1540.5890845150627
,,,,,,,,,,,,,,,,,,,36,11283.297737824645,3221.453509966034,1538.556645089581
,,,,,,,,,,,,,,,,,,,37,11174.560202208395,3190.96656823134,1523.3133493984692
,,,,,,,,,,,,,,,,,,,38,11098.342303411955,3169.625709017054,1513.151152271061
,,,,,,,,,,,,,,,,,,,39,10978.426142638895,3135.073841717733,1496.8916368672083
,,,,,,,,,,,,,,,,,,,40,10983.507335891989,3136.0900731088896,1497.9078565799489
