Resource,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,NGST,Coal,Nuclear,Biomass,SolarPV,Wind,Hydro,PHS,Li-ion,Retro_NGCC_CCS,Retro_NGCC_H2,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2918359369540553e8,1.997452155865084e8,0.0,0.0,0.0,0.0,0.0,3.2892880928191394e8
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55214.792384806104,0.0,0.0,0.0,0.0,0.0,55214.792384806104
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54463.962394509894,0.0,0.0,0.0,0.0,0.0,54463.962394509894
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56059.2397107921,0.0,0.0,0.0,0.0,0.0,56059.2397107921
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55546.00561726287,0.0,0.0,0.0,0.0,0.0,55546.00561726287
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46989.34804146048,0.0,0.0,0.0,0.0,0.0,46989.34804146048
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39150.36019178051,0.0,0.0,0.0,0.0,0.0,39150.36019178051
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34573.97171665708,0.0,0.0,0.0,0.0,0.0,34573.97171665708
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37681.00118852664,0.0,0.0,0.0,0.0,0.0,37681.00118852664
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14772.373244566103,26273.907173511983,0.0,0.0,0.0,0.0,0.0,41046.28041807809
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35623.09230983057,463.57620834118035,0.0,0.0,0.0,0.0,0.0,36086.668518171755
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47729.96144450025,157.36016369562054,0.0,0.0,0.0,0.0,0.0,47887.321608195874
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53841.52226968331,133.64185805224696,0.0,0.0,0.0,0.0,0.0,53975.16412773555
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51549.68696023967,276.21311680692605,0.0,0.0,0.0,0.0,0.0,51825.900077046594
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49490.35668218885,478.5190641872012,0.0,0.0,0.0,0.0,0.0,49968.875746376056
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41626.704370438376,6263.788657281472,0.0,0.0,0.0,0.0,0.0,47890.49302771985
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27493.719962202566,12527.016857438006,0.0,0.0,0.0,0.0,0.0,40020.73681964057
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5331.008219792826,8807.223750093399,0.0,0.0,0.0,0.0,0.0,14138.231969886225
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35184.85958094868,0.0,0.0,0.0,0.0,0.0,35184.85958094868
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58706.786701737765,0.0,0.0,0.0,0.0,0.0,58706.786701737765
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57298.41729016952,0.0,0.0,0.0,0.0,0.0,57298.41729016952
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59160.71476202518,0.0,0.0,0.0,0.0,0.0,59160.71476202518
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57675.68869630051,0.0,0.0,0.0,0.0,0.0,57675.68869630051
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52714.93125016342,0.0,0.0,0.0,0.0,0.0,52714.93125016342
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41299.981395352734,0.0,0.0,0.0,0.0,0.0,41299.981395352734
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32729.34692651746,0.0,0.0,0.0,0.0,0.0,32729.34692651746
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40222.217461703745,0.0,0.0,0.0,0.0,0.0,40222.217461703745
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39483.72477424711,0.0,0.0,0.0,0.0,0.0,39483.72477424711
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56767.72214827918,0.0,0.0,0.0,0.0,0.0,56767.72214827918
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53220.55740146445,0.0,0.0,0.0,0.0,0.0,53220.55740146445
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51178.502086198525,0.0,0.0,0.0,0.0,0.0,51178.502086198525
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36401.34264991969,0.0,0.0,0.0,0.0,0.0,36401.34264991969
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30155.253913221615,0.0,0.0,0.0,0.0,0.0,30155.253913221615
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13286.001793876203,35114.51990262836,0.0,0.0,0.0,0.0,0.0,48400.52169650456
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28382.221332168036,46048.97854763602,0.0,0.0,0.0,0.0,0.0,74431.19987980406
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41120.17555204684,57703.00025460571,0.0,0.0,0.0,0.0,0.0,98823.17580665255
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46949.40883911003,61272.17089425401,0.0,0.0,0.0,0.0,0.0,108221.57973336405
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47439.33015525922,61595.23245091721,0.0,0.0,0.0,0.0,0.0,109034.56260617642
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44956.5085700286,61208.04180046973,0.0,0.0,0.0,0.0,0.0,106164.55037049833
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38836.64399372437,61556.79399162178,0.0,0.0,0.0,0.0,0.0,100393.43798534616
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26513.877329904193,59068.30071401536,0.0,0.0,0.0,0.0,0.0,85582.17804391956
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8328.662374536143,59680.01088113495,0.0,0.0,0.0,0.0,0.0,68008.67325567109
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49474.19420721926,0.0,0.0,0.0,0.0,0.0,49474.19420721926
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44996.23248408535,0.0,0.0,0.0,0.0,0.0,44996.23248408535
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33722.03967496533,0.0,0.0,0.0,0.0,0.0,33722.03967496533
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51211.87815841447,0.0,0.0,0.0,0.0,0.0,51211.87815841447
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57154.6903137175,0.0,0.0,0.0,0.0,0.0,57154.6903137175
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51217.52954038953,0.0,0.0,0.0,0.0,0.0,51217.52954038953
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49708.91007784647,0.0,0.0,0.0,0.0,0.0,49708.91007784647
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52042.447845374016,0.0,0.0,0.0,0.0,0.0,52042.447845374016
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40867.58728818724,0.0,0.0,0.0,0.0,0.0,40867.58728818724
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30114.976298254864,0.0,0.0,0.0,0.0,0.0,30114.976298254864
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36982.13879002233,0.0,0.0,0.0,0.0,0.0,36982.13879002233
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38586.49983022379,0.0,0.0,0.0,0.0,0.0,38586.49983022379
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43330.72271526436,0.0,0.0,0.0,0.0,0.0,43330.72271526436
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35082.23495202263,0.0,0.0,0.0,0.0,0.0,35082.23495202263
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22523.776991119,0.0,0.0,0.0,0.0,0.0,22523.776991119
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17828.153657157633,26513.325837849065,0.0,0.0,0.0,0.0,0.0,44341.4794950067
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36204.35488831265,55129.68103524132,0.0,0.0,0.0,0.0,0.0,91334.03592355398
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48053.807738225994,59173.88484113455,0.0,0.0,0.0,0.0,0.0,107227.69257936055
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52479.707085811,60644.82573418042,0.0,0.0,0.0,0.0,0.0,113124.53281999142
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53567.49848268461,61990.15911810172,0.0,0.0,0.0,0.0,0.0,115557.65760078633
