Resource,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,NGST,Coal,Nuclear,Biomass,SolarPV,Wind,Hydro,PHS,Li-ion,Retro_NGCC_CCS,Retro_NGCC_H2,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,6.780083876247275e7,1.1517028490766804e6,0.0,334986.7661527205,0.0,2.06736e7,7446.8021978022,1.1910439680587353e8,1.2978736101448847e8,1.7049196803836264e6,0.0,2.394711918440092e7,1.4396595184843076e7,0.0,3.7890896704988956e8
t1,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,49155.10982932296,0.0,0.0,5335.424521747258,0.0,0.0,56850.534351070215
t2,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,54518.48087538527,480.0,0.0,2514.644208716107,0.0,0.0,59873.125084101375
t3,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,56115.355065857955,0.0,0.0,2274.723743479763,0.0,0.0,60750.07880933772
t4,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,55601.60722448735,0.0,0.0,2376.7405941650645,1040.4000000000005,0.0,61378.74781865242
t5,0.0,1006.0294941136334,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,47036.38442588637,480.0,0.0,0.0,2890.0000000000005,0.0,53772.41392
t6,0.0,4942.425881798427,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,39189.54974152203,480.0,0.0,4884.256506679542,2890.0000000000005,0.0,54746.232130000004
t7,0.0,6150.619355757491,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,34608.58029695403,480.0,0.0,8553.335587288477,2890.0000000000005,0.0,55042.535240000005
t8,0.0,6150.619355757491,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,37718.71990843507,480.0,0.0,5536.821025807442,2890.0000000000005,0.0,55136.16029
t9,0.0,6150.619355757491,0.0,0.0,0.0,0.0,2360.0,0.0,14787.160404971073,26300.207380892876,480.0,0.0,1316.22153837857,2890.0000000000005,0.0,54284.20868000002
t10,0.0,6150.619355757491,0.0,0.0,0.0,0.0,2360.0,0.0,35658.75106089145,464.0402485897701,480.0,0.0,5233.48081476128,2890.0000000000005,0.0,53236.89148
t11,0.0,2460.247742302997,0.0,0.0,0.0,0.0,2360.0,0.0,47777.73918368394,157.51768137699753,480.0,0.0,0.0,1040.4000000000005,0.0,54275.90460736393
t12,0.0,2460.247742302997,0.0,0.0,0.0,0.0,2360.0,0.0,53895.41768737068,133.7756336859329,0.0,0.0,548.6133197289398,1040.4,0.0,60438.45438308855
t13,0.0,3251.1060387584025,0.0,0.0,0.0,0.0,2360.0,0.0,51601.28824848816,276.48960641333935,0.0,0.0,630.4629945787883,1040.4,0.0,59159.7468882387
t14,0.0,4237.872495333491,0.0,0.0,0.0,0.0,2360.0,0.0,49539.89657876762,478.99806224945064,0.0,0.0,729.2651882334607,1040.4,0.0,58386.43232458402
t15,0.0,4237.872495333491,0.0,0.0,0.0,0.0,2360.0,0.0,41668.37274318156,304.4027228896695,0.0,0.0,4925.338610706381,1040.4,0.0,54536.38657211109
t16,0.0,8576.67851385914,0.0,0.0,0.0,0.0,2360.0,0.0,27521.24120340597,7736.14849643031,0.0,0.0,7614.674849561032,1040.4,0.0,54849.14306325645
t17,0.0,23824.10698294206,0.0,0.0,0.0,0.0,2360.0,0.0,5336.344564357183,8816.03978988328,480.0,0.0,11037.938952817478,2890.0,0.0,54744.430290000004
t18,0.0,8576.67851385914,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,35220.079660609284,480.0,0.0,9644.345594174525,1040.4000000000005,0.0,57321.50376864296
t19,0.0,7069.39505087383,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,54670.77060094207,0.0,0.0,1128.8106205007916,1040.4000000000005,0.0,66269.37627231669
t20,0.0,6278.536754418424,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,57355.773063232744,0.0,0.0,212.01081758315786,1040.4000000000005,0.0,67246.72063523432
t21,0.0,5291.770297843335,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,57986.25091497415,0.0,0.0,0.0,1040.4000000000005,0.0,66678.42121281748
t22,0.0,5291.770297843335,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,41042.5878944111,0.0,0.0,8043.598715281522,1040.4000000000005,0.0,57778.35690753596
t23,0.0,5291.770297843335,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,52767.698949112535,0.0,0.0,1835.661562930807,1040.4000000000005,0.0,63295.53080988668
t24,0.0,5291.770297843335,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,41341.3227180708,480.0,0.0,1463.634394085865,2890.0000000000005,0.0,53826.72741
t25,0.0,7868.5200699846255,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,32762.10903555301,480.0,0.0,7702.373454462365,2890.0000000000005,0.0,54063.00256
t26,0.0,5291.770297843335,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,40262.4799416454,480.0,0.0,3441.08781051127,2890.0000000000005,0.0,54725.338050000006
t27,0.0,5291.770297843335,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,39523.24802226938,480.0,0.0,4952.6725998872935,2890.0000000000005,0.0,55497.69092000001
t28,0.0,5291.770297843335,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,56824.54669497415,480.0,0.0,0.0,2890.0000000000005,0.0,67846.31699281749
t29,0.0,5291.770297843335,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,53273.83123269715,480.0,0.0,0.0,2890.0000000000005,0.0,64295.60153054049
t30,0.0,5291.770297843335,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,51229.73181801654,480.0,0.0,0.0,2890.0000000000005,0.0,62251.502115859876
t31,0.0,8425.386306832477,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,36437.780430350045,480.0,0.0,11037.938952817478,2890.0000000000005,0.0,61631.105690000004
t32,0.0,13229.425744608336,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,30185.439352574187,480.0,0.0,11037.938952817478,2890.0000000000005,0.0,60182.804050000006
t33,0.0,4762.5932680589995,0.0,0.0,0.0,0.0,2360.0,0.0,13299.301094971172,35149.66957220056,480.0,0.0,0.0,2130.622624769279,0.0,58182.18656000001
t34,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,28410.631964132168,35462.70785391604,480.0,0.0,0.0,281.02262476927865,0.0,66994.36244281748
t35,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,41161.33688893578,21261.4289838817,0.0,0.0,0.0,0.0,0.0,64782.76587281748
t36,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,46996.405244354384,0.0,0.0,0.0,6836.583839231547,0.0,0.0,56192.98908358593
t37,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,47486.81697223145,0.0,0.0,0.0,5836.430930293012,0.0,0.0,55683.24790252446
t38,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,45001.51008010871,13144.870502708769,0.0,0.0,0.0,0.0,0.0,60506.38058281748
t39,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,38875.5195132376,3981.299562651323,0.0,0.0,7802.674948464276,0.0,0.0,53019.494024353204
t40,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,26540.417747651845,34189.22011516563,0.0,0.0,0.0,0.0,0.0,63089.63786281748
t41,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,8336.999373910054,45799.8424106951,0.0,0.0,4939.630139106164,0.0,0.0,61436.47192371132
t42,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,49523.717925144396,480.0,0.0,7504.959728836544,0.0,0.0,59868.677653980936
t43,0.0,2020.1936424288326,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,45041.27375784319,480.0,0.0,8350.830166272732,1040.4000000000005,0.0,59292.69756654476
t44,0.0,5611.649006746758,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,33755.79547043577,480.0,0.0,11037.938952817478,2890.0000000000005,0.0,56135.38343000001
t45,0.0,2244.6596026987036,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,51263.14129971418,480.0,0.0,3668.657913514361,1156.0000000000005,0.0,61172.458815927246
t46,0.0,2244.6596026987036,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,57211.902215933434,0.0,0.0,457.3792720926715,1156.0000000000005,0.0,63429.94109072481
t47,0.0,2244.6596026987036,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,51268.79833872826,480.0,0.0,2570.0843006952646,1156.0000000000005,0.0,60079.542242122225
t48,0.0,2244.6596026987036,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,49758.668746593066,480.0,0.0,3044.1540067628566,1156.0000000000005,0.0,59043.48235605463
t49,0.0,2244.6596026987036,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,50942.426311635405,0.0,0.0,2499.5542592416864,1156.0000000000005,0.0,59202.6401735758
t50,0.0,4030.7882460287983,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,40908.49578397121,480.0,0.0,0.0,2890.0000000000005,0.0,50669.28403000001
t51,0.0,9249.999900801047,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,30145.12141967454,480.0,0.0,5735.2564595244185,2890.0000000000005,0.0,50860.37778
t52,0.0,9187.173972029705,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,37019.1579479703,480.0,0.0,0.0,2890.0000000000005,0.0,51936.331920000004
t53,0.0,9686.876794821046,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,38625.12495517896,480.0,0.0,0.0,2890.0000000000005,0.0,54042.00175
t54,0.0,6570.949707923567,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,43374.09681207644,480.0,0.0,0.0,2890.0000000000005,0.0,55675.04652
t55,0.0,6008.746545099638,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,35117.35230432695,480.0,0.0,8750.920060573417,2890.0000000000005,0.0,55607.018910000006
t56,0.0,15021.866362749091,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,22546.32331443343,480.0,0.0,11037.938952817478,2890.0000000000005,0.0,54336.12863
t57,0.0,5407.871890589673,0.0,0.0,0.0,0.0,2360.0,0.0,17845.99965681444,26539.865703552616,480.0,0.0,0.0,1040.4000000000005,0.0,53674.13725095674
t58,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,36240.595483796445,21283.821537471125,0.0,0.0,878.4968407749519,0.0,0.0,60762.91386204252
t59,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,48101.90964787386,0.0,0.0,0.0,4681.053317471809,0.0,0.0,55142.962965345665
t60,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,52532.239325136135,0.0,0.0,0.0,1612.1211138406686,0.0,0.0,56504.3604389768
t61,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,53621.119602286904,0.0,0.0,0.0,361.91066026528773,0.0,0.0,56343.030262552194
t62,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,46424.33836678211,0.0,0.0,0.0,3548.2048780176847,0.0,0.0,52332.543244799796
t63,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,43986.06140460515,0.0,0.0,0.0,4939.630139106164,0.0,0.0,51285.69154371131
t64,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,31427.910900053754,14862.269024551395,0.0,0.0,4939.630139106164,0.0,0.0,53589.81006371132
t65,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,11395.838625753424,38102.42918885173,0.0,0.0,4939.630139106164,0.0,0.0,56797.89795371132
t66,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,50021.51802460516,480.0,0.0,4939.630139106164,0.0,0.0,57801.148163711325
t67,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,38474.043327182524,0.0,0.0,11037.938952817478,0.0,0.0,51871.982280000004
t68,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,51397.02706164796,0.0,0.0,4251.094520584758,0.0,0.0,58008.12158223272
t69,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,0.0,0.0,36414.454477182524,0.0,0.0,11037.938952817478,0.0,0.0,49812.393430000004
