Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
NGCC_bf,1,3400.0,3400.0000000000005,0.0,-4.440892098500626e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCC_gf,1,0.0,0.0,22295.686225270267,22295.686225270267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT_bf,1,8200.0,8200.000000000002,0.0,-1.7763568394002505e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT_gf,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGST,1,1060.0,0.0,0.0,1060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal,1,14700.0,6919.612042898862,0.0,7780.387957101138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,1,2360.0,0.0,0.0,2360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,1,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarPV,1,40.0,0.0,39784.05917275432,39824.059172754314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,1,5720.0,0.0,26909.629255219163,32629.629255219166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro,1,480.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHS,1,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li-ion,1,0.0,0.0,2552.2486690558576,2552.2486690558576,0.0,0.0,4043.800601617983,4043.800601617983,0.0,0.0,0.0,0.0
Retro_NGCC_CCS,1,0.0,0.0,17650.000000000004,17650.000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retro_NGCC_H2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,n/a,36460.0,18999.612042898865,109191.62332229961,126652.01127940074,0.0,0.0,4043.800601617983,4043.800601617983,0.0,0.0,0.0,0.0
