BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,3.519583708159945e8,1.1142822289188977e7,-1.3756570727393799e7,0.0,0.0,0.0,0.0,0.0,0.0,-3.700182223777898e8
t1,49608.74043684986,1539.279483150112,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53508.01992
t2,52017.23965385236,0.0,-667.4093138523609,0.0,0.0,0.0,0.0,0.0,0.0,-53709.83034
t3,53151.06149999447,0.0,-1164.1978999944704,0.0,0.0,0.0,0.0,0.0,0.0,-54346.8636
t4,52786.287287079234,0.0,-68.73782707923287,0.0,0.0,0.0,0.0,0.0,0.0,-55077.54946
t5,53772.413920000006,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56132.41392
t6,52508.46726344472,2237.7648665552774,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57106.23213
t7,49255.860850397716,5786.674389602279,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57402.53524
t8,51464.140160745475,3672.0201292545303,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57496.16029
t9,54482.98223383328,0.0,-198.77355383327355,0.0,0.0,0.0,0.0,0.0,0.0,-56644.20868
t10,51843.016315171844,1393.875164828156,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55596.89148
t11,53320.323051834755,0.0,-1674.2385318347601,0.0,0.0,0.0,0.0,0.0,0.0,-54006.08452
t12,56557.46486611454,0.0,-6608.336116114533,0.0,0.0,0.0,0.0,0.0,0.0,-52309.12875
t13,55317.10835094212,0.0,-6564.837420942133,0.0,0.0,0.0,0.0,0.0,0.0,-51112.27093
t14,49192.479789423756,0.0,-1114.7212294237684,0.0,0.0,0.0,0.0,0.0,0.0,-50437.75856
t15,48423.78623,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50783.78623
