Time_Index,ng,coal,biomass,nuclear,None
0,0.05307,0.0972,0.04169,0,0
1,3.6,1.95,1.02,0.66,0
2,3.6,1.95,1.02,0.66,0
3,3.6,1.95,1.02,0.66,0
4,3.6,1.95,1.02,0.66,0
5,3.6,1.95,1.02,0.66,0
6,3.6,1.95,1.02,0.66,0
7,3.6,1.95,1.02,0.66,0
8,3.6,1.95,1.02,0.66,0
9,3.6,1.95,1.02,0.66,0
10,3.6,1.95,1.02,0.66,0
11,3.6,1.95,1.02,0.66,0
12,3.6,1.95,1.02,0.66,0
13,3.6,1.95,1.02,0.66,0
14,3.6,1.95,1.02,0.66,0
15,3.6,1.95,1.02,0.66,0
16,3.6,1.95,1.02,0.66,0
17,3.6,1.95,1.02,0.66,0
18,3.6,1.95,1.02,0.66,0
19,3.6,1.95,1.02,0.66,0
20,3.6,1.95,1.02,0.66,0
21,3.6,1.95,1.02,0.66,0
22,3.6,1.95,1.02,0.66,0
23,3.6,1.95,1.02,0.66,0
24,3.6,1.95,1.02,0.66,0
25,3.6,1.95,1.02,0.66,0
26,3.6,1.95,1.02,0.66,0
27,3.6,1.95,1.02,0.66,0
28,3.6,1.95,1.02,0.66,0
29,3.6,1.95,1.02,0.66,0
30,3.6,1.95,1.02,0.66,0
31,3.6,1.95,1.02,0.66,0
32,3.6,1.95,1.02,0.66,0
33,3.6,1.95,1.02,0.66,0
34,3.6,1.95,1.02,0.66,0
35,3.6,1.95,1.02,0.66,0
36,3.6,1.95,1.02,0.66,0
37,3.6,1.95,1.02,0.66,0
38,3.6,1.95,1.02,0.66,0
39,3.6,1.95,1.02,0.66,0
40,3.6,1.95,1.02,0.66,0
41,3.6,1.95,1.02,0.66,0
42,3.6,1.95,1.02,0.66,0
43,3.6,1.95,1.02,0.66,0
44,3.6,1.95,1.02,0.66,0
45,3.6,1.95,1.02,0.66,0
46,3.6,1.95,1.02,0.66,0
47,3.6,1.95,1.02,0.66,0
48,3.6,1.95,1.02,0.66,0
49,3.6,1.95,1.02,0.66,0
50,3.6,1.95,1.02,0.66,0
