Resource,natural_gas_combined_cycle,coal_super_1,coal_super_2,coal_super_3,coal_super_4,coal_super_5,20A_retrofit_1,20A_retrofit_2,20A_retrofit_3,20A_retrofit_4,20A_retrofit_5,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,11412.418562148814,2776.1448719008304,18410.367739504094,3894.0688264462565,0.0,2.7765579597120322e7,4.430705670960616e7,1.3016825152749259e7,0.0,3.178856954052428e7,0.0,0.0,0.0,1.1691452400000003e8
t1,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,3139.05090909091,0.0,0.0,5420.839715909093,0.0,0.0,0.0,11122.0
t2,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,4792.890625000002,0.0,0.0,3300.0000000000005,0.0,0.0,0.0,10654.999999999998
t3,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,4578.890625000004,0.0,0.0,3300.0000000000005,0.0,0.0,0.0,10441.0
t4,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,4502.890625000003,0.0,0.0,3300.0000000000005,0.0,0.0,0.0,10365.0
t5,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,4776.890625000002,0.0,0.0,3300.0000000000005,0.0,0.0,0.0,10638.999999999998
t6,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,0.0,0.0,3307.525335743804,0.0,0.0,0.0,11577.0
t7,0.0,0.0,0.0,0.0,0.0,0.0,2562.109374999997,5707.365289256199,0.0,0.0,5079.525335743805,0.0,0.0,0.0,13349.0
t8,0.0,0.0,0.0,0.0,0.0,0.0,2842.634710743802,5707.365289256199,0.0,0.0,6000.0,0.0,0.0,0.0,14550.0
t9,0.0,0.0,0.0,0.0,0.0,0.0,3214.634710743802,5707.365289256199,0.0,0.0,6000.0,0.0,0.0,0.0,14922.0
t10,0.0,0.0,0.0,0.0,0.0,0.0,3457.6347107438005,5707.365289256199,0.0,0.0,6000.0,0.0,0.0,0.0,15165.0
