Resource,natural_gas_combined_cycle,coal_super_1,coal_super_2,coal_super_3,coal_super_4,coal_super_5,20A_retrofit_1,20A_retrofit_2,20A_retrofit_3,20A_retrofit_4,20A_retrofit_5
t1,0.0,0.0,0.0,0.0,0.0,0.0,17086.42195349754,13481.56207828757,1605.572730257836,6882.926044705816,16500.0
t2,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774731,13481.56207828757,1605.572730257836,6882.926044705816,16500.0
t3,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,12401.310873115908,1605.572730257836,6882.926044705816,16500.0
t4,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,12755.407858962757,883.0650016418098,6882.926044705816,16500.0
t5,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,13481.56207828757,1544.9272034981188,6882.926044705816,16500.0
t6,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,13481.56207828757,1605.572730257836,6882.926044705816,21120.564273690186
t7,0.0,0.0,0.0,0.0,0.0,0.0,22563.867049204957,13481.56207828757,1605.572730257836,12514.410990374208,16500.0
t8,0.0,0.0,0.0,0.0,0.0,0.0,15074.350268320317,13481.56207828757,1605.572730257836,12514.410990374208,30000.0
t9,0.0,0.0,0.0,0.0,0.0,0.0,26796.0428814086,13481.56207828757,883.0650016418098,6882.926044705816,26486.067498895452
t10,0.0,0.0,0.0,0.0,0.0,0.0,18163.24468374423,13481.56207828757,1605.572730257836,12514.410990374208,30000.0
t11,0.0,0.0,0.0,0.0,0.0,0.0,18993.834996085072,13481.56207828757,1605.572730257836,12514.410990374208,30000.0
t12,0.0,0.0,0.0,0.0,0.0,0.0,19243.915074214645,13481.56207828757,1605.572730257836,12514.410990374208,30000.0
t13,0.0,0.0,0.0,0.0,0.0,0.0,18717.34047817418,13481.56207828757,1605.572730257836,12514.410990374208,30000.0
t14,0.0,0.0,0.0,0.0,0.0,0.0,18138.10072267771,13481.56207828757,1605.572730257836,12514.410990374208,30000.0
t15,0.0,0.0,0.0,0.0,0.0,0.0,17152.332927187126,13481.56207828757,1605.572730257836,12514.410990374208,30000.0
t16,0.0,0.0,0.0,0.0,0.0,0.0,16813.454099071572,13481.56207828757,1605.572730257836,12514.410990374208,30000.0
t17,0.0,0.0,0.0,0.0,0.0,0.0,19089.03801974216,13481.56207828757,1605.572730257836,12514.410990374208,30000.0
t18,0.0,0.0,0.0,0.0,0.0,0.0,26796.0428814086,9809.986802010662,883.0650016418098,12514.410990374208,30000.0
t19,0.0,0.0,0.0,0.0,0.0,0.0,21196.002365392385,13481.56207828757,1605.572730257836,12514.410990374208,30000.0
t20,0.0,0.0,0.0,0.0,0.0,0.0,18497.288623827557,13481.56207828757,1605.572730257836,12514.410990374208,30000.0
t21,0.0,0.0,0.0,0.0,0.0,0.0,21249.78566879561,13481.56207828757,1605.572730257836,6882.926044705816,30000.0
t22,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,13481.56207828757,1605.572730257836,12514.410990374208,27003.493175103442
t23,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,13481.56207828757,1605.572730257836,12514.410990374208,21833.493175103456
t24,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,13481.56207828757,883.0650016418098,6882.926044705816,22957.485849387867
t25,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,13481.56207828757,23044.058084703884,6882.926044705816,16500.0
t26,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,7414.859143058165,16500.0,12514.410990374208,19081.235159186253
t27,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,7414.859143058165,16500.0,12261.545592896678,16500.0
t28,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,11064.098197137475,16500.0,6882.926044705816,16500.0
t29,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,11214.646468803456,16500.0,6882.926044705816,16500.0
t30,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,13481.56207828757,16897.68140955296,6882.926044705816,16500.0
t31,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,13481.56207828757,24308.41565342744,6882.926044705816,16500.0
t32,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,13481.56207828757,30000.0,10827.461607583768,16500.0
t33,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774731,13481.56207828757,30000.0,12514.410990374208,22507.74084598273
t34,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,13481.56207828757,30000.0,11852.818422756172,30000.0
t35,0.0,0.0,0.0,0.0,0.0,0.0,26796.0428814086,13481.56207828757,28830.94119445043,6882.926044705816,30000.0
t36,0.0,0.0,0.0,0.0,0.0,0.0,24039.71394466586,13481.56207828757,30000.0,12514.410990374208,30000.0
t37,0.0,0.0,0.0,0.0,0.0,0.0,26796.0428814086,13481.56207828757,30000.0,12514.410990374208,30000.0
t38,0.0,4194.050000096577,0.0,0.0,1145.2119667220022,0.0,26796.0428814086,13481.56207828757,30000.0,12514.410990374208,30000.0
t39,0.0,4761.080278226821,0.0,0.0,1259.6111014839644,0.0,26796.0428814086,13481.56207828757,30000.0,12514.410990374208,30000.0
t40,0.0,4205.052441457435,0.0,0.0,4278.680415276526,0.0,26796.0428814086,13481.56207828757,30000.0,12514.410990374208,30000.0
t41,0.0,4761.08027822682,0.0,0.0,3693.585268303924,0.0,26796.0428814086,13481.56207828757,30000.0,12514.410990374208,30000.0
t42,0.0,3778.225886787223,0.0,0.0,3693.5852683039247,0.0,26796.0428814086,13481.56207828757,30000.0,12514.410990374208,30000.0
t43,0.0,2078.0242377329723,0.0,0.0,1338.6857917509776,0.0,26796.0428814086,13481.56207828757,30000.0,12514.410990374208,30000.0
t44,0.0,0.0,0.0,0.0,0.0,0.0,25570.850024561558,13481.56207828757,30000.0,12514.410990374208,30000.0
t45,0.0,0.0,0.0,0.0,0.0,0.0,26796.0428814086,13481.56207828757,26744.661994742528,12514.410990374208,30000.0
t46,0.0,0.0,0.0,0.0,0.0,0.0,19536.465425576578,13481.56207828757,30000.0,12514.410990374208,30000.0
t47,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,13481.56207828757,30000.0,8266.87912262521,30000.0
t48,0.0,0.0,0.0,0.0,0.0,0.0,26796.0428814086,13481.56207828757,23821.441717800903,6882.926044705816,16500.0
t49,0.0,0.0,0.0,0.0,0.0,0.0,22027.5148973018,3259.197026944607,16500.0,6882.926044705816,16500.0
t50,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,3259.197026944607,16500.0,6882.926044705816,19896.455872768776
t51,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,1792.558364819534,19002.679902538006,6882.926044705816,16500.0
t52,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774731,3259.197026944607,16500.0,6882.926044705816,16500.0
t53,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,3259.197026944607,16500.0,7374.013207515733,16500.0
t54,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,3259.197026944607,16500.0,6882.926044705816,20520.99085502963
t55,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,3259.197026944607,16500.0,12514.410990374208,20906.203266472847
t56,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,1792.558364819534,30000.0,11443.999653230536,16500.0
t57,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,3259.197026944607,30000.0,12514.410990374208,19310.983921403957
t58,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,1792.558364819534,30000.0,12514.410990374208,25656.18738059415
t59,0.0,0.0,0.0,0.0,0.0,0.0,26796.0428814086,3259.197026944607,30000.0,12514.410990374208,16583.60285242429
t60,0.0,0.0,0.0,0.0,0.0,0.0,26796.0428814086,3259.197026944607,30000.0,12514.410990374208,19871.700632349388
t61,0.0,0.0,0.0,0.0,0.0,0.0,24439.74803528317,3259.197026944607,30000.0,6882.926044705816,30000.0
t62,0.0,0.0,0.0,0.0,0.0,0.0,20681.118447904373,3259.197026944607,30000.0,12514.410990374208,30000.0
t63,0.0,0.0,0.0,0.0,0.0,0.0,21715.037417797157,3259.197026944607,30000.0,12514.410990374208,30000.0
t64,0.0,0.0,0.0,0.0,0.0,0.0,26796.0428814086,3259.197026944607,30000.0,12514.410990374208,25345.737475590377
t65,0.0,0.0,0.0,0.0,0.0,0.0,26796.0428814086,3259.197026944607,30000.0,12514.410990374208,25526.01316627297
t66,0.0,0.0,0.0,0.0,0.0,0.0,26796.0428814086,3259.197026944607,30000.0,12514.410990374208,24515.548167467074
t67,0.0,0.0,0.0,0.0,0.0,0.0,23683.846522684053,3259.197026944607,30000.0,6882.926044705816,30000.0
t68,0.0,0.0,0.0,0.0,0.0,0.0,26796.0428814086,1792.558364819534,30000.0,12514.410990374208,19819.88380660876
t69,0.0,0.0,0.0,0.0,0.0,0.0,14884.444267132465,3259.197026944607,30000.0,12514.410990374208,30000.0
t70,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,3259.197026944607,30000.0,12514.410990374208,24899.158838422303
t71,0.0,0.0,0.0,0.0,0.0,0.0,26796.0428814086,1792.558364819534,16500.0,6882.926044705816,25392.310603740905
t72,0.0,0.0,0.0,0.0,0.0,0.0,14737.823584774733,3259.197026944607,27830.18975254982,6882.926044705816,16500.0
t73,0.0,0.0,0.0,0.0,0.0,0.0,17537.4146301719,7414.859143058165,0.0,0.0,30000.0
t74,0.0,0.0,0.0,0.0,0.0,0.0,13225.652581207565,13481.56207828757,0.0,0.0,25295.666444575636
t75,0.0,0.0,0.0,0.0,0.0,0.0,13225.652581207565,13481.56207828757,0.0,0.0,23582.60421300062
t76,0.0,0.0,0.0,0.0,0.0,0.0,13225.652581207565,13481.56207828757,0.0,0.0,22653.862210486153
t77,0.0,0.0,0.0,0.0,0.0,0.0,13225.652581207565,13481.56207828757,0.0,0.0,22689.51762022729
t78,0.0,0.0,0.0,0.0,0.0,0.0,13225.652581207565,7702.856842422221,0.0,0.0,30000.0
t79,0.0,0.0,0.0,0.0,0.0,0.0,13225.652581207565,13481.56207828757,0.0,0.0,26677.266199606125
t80,0.0,0.0,0.0,0.0,0.0,0.0,24046.641056741028,13481.56207828757,0.0,0.0,19600.93325974171
t81,0.0,0.0,0.0,0.0,0.0,0.0,18450.49426388758,13481.56207828757,0.0,0.0,30000.0
t82,0.0,0.0,0.0,0.0,0.0,0.0,21707.01082355765,13481.56207828757,0.0,0.0,30000.0
t83,0.0,0.0,0.0,0.0,0.0,0.0,23254.892368763678,13481.56207828757,0.0,0.0,30000.0
t84,0.0,0.0,0.0,0.0,0.0,0.0,23708.147067380105,13481.56207828757,0.0,0.0,30000.0
t85,0.0,0.0,0.0,0.0,0.0,0.0,23657.759312147682,13481.56207828757,0.0,0.0,30000.0
t86,0.0,0.0,0.0,0.0,0.0,0.0,23172.625834063412,13481.56207828757,0.0,0.0,30000.0
t87,0.0,0.0,0.0,0.0,0.0,0.0,22621.72793020703,13481.56207828757,0.0,0.0,30000.0
t88,0.0,0.0,0.0,0.0,0.0,0.0,22343.477819490992,13481.56207828757,0.0,0.0,30000.0
t89,0.0,0.0,0.0,0.0,0.0,0.0,22498.111738614192,13481.56207828757,0.0,0.0,30000.0
t90,0.0,0.0,0.0,0.0,0.0,0.0,22519.863997766708,13481.56207828757,0.0,0.0,30000.0
t91,0.0,0.0,0.0,0.0,0.0,0.0,22192.58468193878,13481.56207828757,0.0,0.0,30000.0
t92,0.0,0.0,0.0,0.0,0.0,0.0,24046.641056741028,13481.56207828757,0.0,0.0,30000.0
t93,0.0,0.0,0.0,0.0,0.0,0.0,22385.29498463439,13481.56207828757,0.0,0.0,30000.0
t94,0.0,0.0,0.0,0.0,0.0,0.0,18566.913590563425,13481.56207828757,0.0,0.0,30000.0
t95,0.0,0.0,0.0,0.0,0.0,0.0,24046.641056741028,13481.56207828757,0.0,0.0,19722.511701945295
t96,0.0,0.0,0.0,0.0,0.0,0.0,13225.652581207565,13481.56207828757,0.0,0.0,25475.675383307746
t97,0.0,0.0,0.0,0.0,0.0,0.0,2294.463116789786,7414.859143058165,19870.415869149445,0.0,16500.0
t98,0.0,0.0,0.0,0.0,0.0,0.0,2294.463116789786,7414.859143058165,16500.0,0.0,17643.126800096306
t99,0.0,0.0,0.0,0.0,0.0,0.0,2294.463116789786,7414.859143058165,16500.0,0.0,16620.95074735499
t100,0.0,0.0,0.0,0.0,0.0,0.0,2294.4631167897865,7414.859143058165,16500.0,0.0,16500.0
t101,0.0,0.0,0.0,0.0,0.0,0.0,2294.463116789786,8724.873569767462,16500.0,0.0,16500.0
t102,0.0,0.0,0.0,0.0,0.0,0.0,2294.4631167897865,7414.859143058165,22613.56144337092,0.0,16500.0
t103,0.0,0.0,0.0,0.0,0.0,0.0,2294.463116789786,8741.517107112983,30000.0,0.0,16500.0
t104,0.0,0.0,0.0,0.0,0.0,0.0,2294.463116789786,13481.56207828757,17117.560130236514,0.0,30000.0
t105,0.0,0.0,0.0,0.0,0.0,0.0,4171.751121435976,13481.56207828757,17655.03109096996,0.0,30000.0
t106,0.0,0.0,0.0,0.0,0.0,0.0,2294.463116789786,13481.56207828757,30000.0,0.0,21278.710029335492
t107,0.0,0.0,0.0,0.0,0.0,0.0,4171.751121435976,13481.56207828757,30000.0,0.0,20871.315247654835
t108,0.0,0.0,0.0,0.0,0.0,0.0,4171.751121435976,13481.56207828757,30000.0,0.0,21700.165198043087
t109,0.0,0.0,0.0,0.0,0.0,0.0,2294.463116789786,7414.859143058165,30000.0,0.0,29768.308459562686
t110,0.0,0.0,0.0,0.0,0.0,0.0,2294.463116789786,7434.663278925458,30000.0,0.0,30000.0
t111,0.0,0.0,0.0,0.0,0.0,0.0,4171.751121435976,13481.56207828757,30000.0,0.0,21527.123651664246
t112,0.0,0.0,0.0,0.0,0.0,0.0,2294.463116789786,7414.859143058165,30000.0,0.0,28932.887284539625
