Resource,Zone,AnnualSum,Capacity,CapacityFactor
natural_gas_combined_cycle,1,0.0,0.0,0.0
coal_super_1,1,3027.7160531751397,640.7914237182802,0.0005393793887408083
coal_super_2,1,0.0,0.0,0.0
coal_super_3,1,0.0,0.0,0.0
coal_super_4,1,1940.124388693271,497.11780192515795,0.0004455189212284032
coal_super_5,1,0.0,0.0,0.0
20A_retrofit_1,1,2.3936076051380817e7,5359.20857628172,0.5098567697255904
20A_retrofit_2,1,1.778403288498334e7,2696.312415657514,0.7529323117402321
20A_retrofit_3,1,2.8369102455544773e7,6000.0,0.5397470025788579
20A_retrofit_4,1,5.89453483781882e6,2502.882198074842,0.2688468939095139
20A_retrofit_5,1,4.085574603031079e7,6000.0,0.7773163247776025
solar_pv,1,0.0,0.0,0.0
onshore_wind,1,70004.48485650637,20.42748824044032,0.3912071545834476
battery,1,0.0,0.0,0.0
