Resource,natural_gas_combined_cycle,coal_super_1,coal_super_2,coal_super_3,coal_super_4,coal_super_5,20A_retrofit_1,20A_retrofit_2,20A_retrofit_3,20A_retrofit_4,20A_retrofit_5,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,2274.556905301014,0.0,0.0,1474.0593596007407,0.0,1.1968038025690413e6,889201.6442491671,1.4184551227772383e6,294726.74189094105,2.042787301515538e6,0.0,0.0,0.0,5.845723229266828e6
t1,0.0,0.0,0.0,0.0,0.0,0.0,170.86421953497538,134.8156207828757,16.05572730257836,68.82926044705816,165.0,0.0,0.0,0.0,555.5648280674876
t2,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,134.8156207828757,16.05572730257836,68.82926044705816,165.0,0.0,0.0,0.0,532.0788443802596
t3,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,124.0131087311591,16.05572730257836,68.82926044705816,165.0,0.0,0.0,0.0,521.2763323285429
t4,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,127.55407858962758,8.8306500164181,68.82926044705816,165.0,0.0,0.0,0.0,517.5922249008511
t5,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,134.8156207828757,15.449272034981188,68.82926044705816,165.0,0.0,0.0,0.0,531.4723891126623
t6,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,134.8156207828757,16.05572730257836,68.82926044705816,211.20564273690184,0.0,0.0,0.0,578.2844871171615
t7,0.0,0.0,0.0,0.0,0.0,0.0,225.63867049204958,134.8156207828757,16.05572730257836,125.14410990374209,165.0,0.0,0.0,0.0,666.6541284812457
t8,0.0,0.0,0.0,0.0,0.0,0.0,150.74350268320316,134.8156207828757,16.05572730257836,125.14410990374209,300.0,0.0,0.0,0.0,726.7589606723993
t9,0.0,0.0,0.0,0.0,0.0,0.0,267.960428814086,134.8156207828757,8.8306500164181,68.82926044705816,264.8606749889545,0.0,0.0,0.0,745.2966350493924
t10,0.0,0.0,0.0,0.0,0.0,0.0,181.63244683744227,134.8156207828757,16.05572730257836,125.14410990374209,300.0,0.0,0.0,0.0,757.6479048266384
t11,0.0,0.0,0.0,0.0,0.0,0.0,189.93834996085073,134.8156207828757,16.05572730257836,125.14410990374209,300.0,0.0,0.0,0.0,765.9538079500469
t12,0.0,0.0,0.0,0.0,0.0,0.0,192.43915074214647,134.8156207828757,16.05572730257836,125.14410990374209,300.0,0.0,0.0,0.0,768.4546087313427
t13,0.0,0.0,0.0,0.0,0.0,0.0,187.1734047817418,134.8156207828757,16.05572730257836,125.14410990374209,300.0,0.0,0.0,0.0,763.1888627709379
t14,0.0,0.0,0.0,0.0,0.0,0.0,181.38100722677711,134.8156207828757,16.05572730257836,125.14410990374209,300.0,0.0,0.0,0.0,757.3964652159733
t15,0.0,0.0,0.0,0.0,0.0,0.0,171.52332927187126,134.8156207828757,16.05572730257836,125.14410990374209,300.0,0.0,0.0,0.0,747.5387872610675
t16,0.0,0.0,0.0,0.0,0.0,0.0,168.1345409907157,134.8156207828757,16.05572730257836,125.14410990374209,300.0,0.0,0.0,0.0,744.1499989799119
t17,0.0,0.0,0.0,0.0,0.0,0.0,190.89038019742156,134.8156207828757,16.05572730257836,125.14410990374209,300.0,0.0,0.0,0.0,766.9058381866178
t18,0.0,0.0,0.0,0.0,0.0,0.0,267.960428814086,98.09986802010663,8.8306500164181,125.14410990374209,300.0,0.0,0.0,0.0,800.0350567543528
t19,0.0,0.0,0.0,0.0,0.0,0.0,211.96002365392386,134.8156207828757,16.05572730257836,125.14410990374209,300.0,0.0,0.0,0.0,787.97548164312
t20,0.0,0.0,0.0,0.0,0.0,0.0,184.97288623827558,134.8156207828757,16.05572730257836,125.14410990374209,300.0,0.0,0.0,0.0,760.9883442274718
t21,0.0,0.0,0.0,0.0,0.0,0.0,212.49785668795607,134.8156207828757,16.05572730257836,68.82926044705816,300.0,0.0,0.0,0.0,732.1984652204683
t22,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,134.8156207828757,16.05572730257836,125.14410990374209,270.03493175103443,0.0,0.0,0.0,693.4286255879779
t23,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,134.8156207828757,16.05572730257836,125.14410990374209,218.3349317510346,0.0,0.0,0.0,641.7286255879781
t24,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,134.8156207828757,8.8306500164181,68.82926044705816,229.57485849387868,0.0,0.0,0.0,589.428625587978
t25,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,134.8156207828757,230.44058084703886,68.82926044705816,165.0,0.0,0.0,0.0,746.46369792472
t26,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,74.14859143058165,165.0,125.14410990374209,190.81235159186252,0.0,0.0,0.0,702.4832887739335
t27,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,74.14859143058165,165.0,122.6154559289668,165.0,0.0,0.0,0.0,674.1422832072958
t28,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,110.64098197137476,165.0,68.82926044705816,165.0,0.0,0.0,0.0,656.8484782661802
t29,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,112.14646468803454,165.0,68.82926044705816,165.0,0.0,0.0,0.0,658.35396098284
t30,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,134.8156207828757,168.9768140955296,68.82926044705816,165.0,0.0,0.0,0.0,684.9999311732107
t31,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,134.8156207828757,243.08415653427443,68.82926044705816,165.0,0.0,0.0,0.0,759.1072736119555
t32,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,134.8156207828757,300.0,108.27461607583767,165.0,0.0,0.0,0.0,855.4684727064607
t33,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,134.8156207828757,300.0,125.14410990374209,225.07740845982732,0.0,0.0,0.0,932.4153749941925
t34,0.0,0.0,0.0,0.0,0.0,0.0,147.3782358477473,134.8156207828757,300.0,118.52818422756172,300.0,0.0,0.0,0.0,1000.7220408581848
t35,0.0,0.0,0.0,0.0,0.0,0.0,267.960428814086,134.8156207828757,288.30941194450435,68.82926044705816,300.0,0.0,0.0,0.0,1059.914721988524
t36,0.0,0.0,0.0,0.0,0.0,0.0,240.3971394466586,134.8156207828757,300.0,125.14410990374209,300.0,0.0,0.0,0.0,1100.3568701332765
t37,0.0,0.0,0.0,0.0,0.0,0.0,267.960428814086,134.8156207828757,300.0,125.14410990374209,300.0,0.0,0.0,0.0,1127.920159500704
t38,0.0,401.20282300923856,0.0,0.0,109.55097673662672,0.0,267.960428814086,134.8156207828757,300.0,125.14410990374209,300.0,0.0,0.0,0.0,1638.6739592465692
t39,0.0,455.44493941517766,0.0,0.0,120.49439796795602,0.0,267.960428814086,134.8156207828757,300.0,125.14410990374209,300.0,0.0,0.0,0.0,1703.8594968838374
