Time_Index,ng,coal,biomass,uranium,ng_ccs,h2,None
0,0.05307,0.0972,0.04169,0.0,0.00531,0.0,0.0
1,3.6,1.95,1.02,0.66,4.1,20.0,0.0
2,3.6,1.95,1.02,0.66,4.1,20.0,0.0
3,3.6,1.95,1.02,0.66,4.1,20.0,0.0
4,3.6,1.95,1.02,0.66,4.1,20.0,0.0
5,3.6,1.95,1.02,0.66,4.1,20.0,0.0
6,3.6,1.95,1.02,0.66,4.1,20.0,0.0
7,3.6,1.95,1.02,0.66,4.1,20.0,0.0
8,3.6,1.95,1.02,0.66,4.1,20.0,0.0
9,3.6,1.95,1.02,0.66,4.1,20.0,0.0
10,3.6,1.95,1.02,0.66,4.1,20.0,0.0
11,3.6,1.95,1.02,0.66,4.1,20.0,0.0
12,3.6,1.95,1.02,0.66,4.1,20.0,0.0
13,3.6,1.95,1.02,0.66,4.1,20.0,0.0
14,3.6,1.95,1.02,0.66,4.1,20.0,0.0
15,3.6,1.95,1.02,0.66,4.1,20.0,0.0
16,3.6,1.95,1.02,0.66,4.1,20.0,0.0
17,3.6,1.95,1.02,0.66,4.1,20.0,0.0
18,3.6,1.95,1.02,0.66,4.1,20.0,0.0
19,3.6,1.95,1.02,0.66,4.1,20.0,0.0
20,3.6,1.95,1.02,0.66,4.1,20.0,0.0
21,3.6,1.95,1.02,0.66,4.1,20.0,0.0
22,3.6,1.95,1.02,0.66,4.1,20.0,0.0
23,3.6,1.95,1.02,0.66,4.1,20.0,0.0
24,3.6,1.95,1.02,0.66,4.1,20.0,0.0
25,3.6,1.95,1.02,0.66,4.1,20.0,0.0
26,3.6,1.95,1.02,0.66,4.1,20.0,0.0
27,3.6,1.95,1.02,0.66,4.1,20.0,0.0
28,3.6,1.95,1.02,0.66,4.1,20.0,0.0
29,3.6,1.95,1.02,0.66,4.1,20.0,0.0
30,3.6,1.95,1.02,0.66,4.1,20.0,0.0
31,3.6,1.95,1.02,0.66,4.1,20.0,0.0
32,3.6,1.95,1.02,0.66,4.1,20.0,0.0
33,3.6,1.95,1.02,0.66,4.1,20.0,0.0
34,3.6,1.95,1.02,0.66,4.1,20.0,0.0
35,3.6,1.95,1.02,0.66,4.1,20.0,0.0
36,3.6,1.95,1.02,0.66,4.1,20.0,0.0
37,3.6,1.95,1.02,0.66,4.1,20.0,0.0
38,3.6,1.95,1.02,0.66,4.1,20.0,0.0
39,3.6,1.95,1.02,0.66,4.1,20.0,0.0
40,3.6,1.95,1.02,0.66,4.1,20.0,0.0
41,3.6,1.95,1.02,0.66,4.1,20.0,0.0
42,3.6,1.95,1.02,0.66,4.1,20.0,0.0
43,3.6,1.95,1.02,0.66,4.1,20.0,0.0
44,3.6,1.95,1.02,0.66,4.1,20.0,0.0
45,3.6,1.95,1.02,0.66,4.1,20.0,0.0
46,3.6,1.95,1.02,0.66,4.1,20.0,0.0
47,3.6,1.95,1.02,0.66,4.1,20.0,0.0
48,3.6,1.95,1.02,0.66,4.1,20.0,0.0
49,3.6,1.95,1.02,0.66,4.1,20.0,0.0
50,3.6,1.95,1.02,0.66,4.1,20.0,0.0
51,3.6,1.95,1.02,0.66,4.1,20.0,0.0
52,3.6,1.95,1.02,0.66,4.1,20.0,0.0
53,3.6,1.95,1.02,0.66,4.1,20.0,0.0
54,3.6,1.95,1.02,0.66,4.1,20.0,0.0
55,3.6,1.95,1.02,0.66,4.1,20.0,0.0
56,3.6,1.95,1.02,0.66,4.1,20.0,0.0
57,3.6,1.95,1.02,0.66,4.1,20.0,0.0
58,3.6,1.95,1.02,0.66,4.1,20.0,0.0
59,3.6,1.95,1.02,0.66,4.1,20.0,0.0
60,3.6,1.95,1.02,0.66,4.1,20.0,0.0
61,3.6,1.95,1.02,0.66,4.1,20.0,0.0
62,3.6,1.95,1.02,0.66,4.1,20.0,0.0
63,3.6,1.95,1.02,0.66,4.1,20.0,0.0
64,3.6,1.95,1.02,0.66,4.1,20.0,0.0
65,3.6,1.95,1.02,0.66,4.1,20.0,0.0
66,3.6,1.95,1.02,0.66,4.1,20.0,0.0
67,3.6,1.95,1.02,0.66,4.1,20.0,0.0
68,3.6,1.95,1.02,0.66,4.1,20.0,0.0
69,3.6,1.95,1.02,0.66,4.1,20.0,0.0
70,3.6,1.95,1.02,0.66,4.1,20.0,0.0
71,3.6,1.95,1.02,0.66,4.1,20.0,0.0
72,3.6,1.95,1.02,0.66,4.1,20.0,0.0
73,3.6,1.95,1.02,0.66,4.1,20.0,0.0
