Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
50000,1,1,1,11,168,280.7692307692308,1,38286.50081
,,,,,,56.15384615384616,2,37154.18859
,,,,,,280.7692307692308,3,36581.17392
,,,,,,336.92307692307696,4,37217.57205
,,,,,,449.2307692307693,5,38501.30542
,,,,,,954.6153846153848,6,40637.7601
,,,,,,280.7692307692308,7,43629.91109
,,,,,,0.0,8,46891.03647
,,,,,,168.46153846153842,9,50284.0988
,,,,,,56.15384615384615,10,53813.23863
,,,,,,56.15384615384615,11,56857.66531
,,,,,,,12,59387.83823
,,,,,,,13,61155.32155
,,,,,,,14,62303.37982
,,,,,,,15,62795.87878
,,,,,,,16,62820.83707
,,,,,,,17,62206.72546
,,,,,,,18,60894.47302
,,,,,,,19,58579.51257
,,,,,,,20,56698.4988
,,,,,,,21,53520.11039
,,,,,,,22,49297.1394
,,,,,,,23,45540.55016
,,,,,,,24,42441.88481
,,,,,,,25,40626.08179
,,,,,,,26,39228.43925
,,,,,,,27,38520.71895
,,,,,,,28,38830.10084
,,,,,,,29,40056.98434
,,,,,,,30,42047.43839
,,,,,,,31,44951.05103
,,,,,,,32,48085.5927
,,,,,,,33,51778.02877
,,,,,,,34,55415.7671
,,,,,,,35,58251.70268
,,,,,,,36,60666.12847
,,,,,,,37,62184.29764
,,,,,,,38,63089.85288
,,,,,,,39,63540.44402
,,,,,,,40,63254.19652
,,,,,,,41,62432.73563
,,,,,,,42,60811.62139
,,,,,,,43,58582.4145
,,,,,,,44,56840.62585
,,,,,,,45,53796.95497
,,,,,,,46,50058.06319
,,,,,,,47,46240.12813
,,,,,,,48,43568.36787
,,,,,,,49,41466.44979
,,,,,,,50,40004.68539
,,,,,,,51,39203.21571
,,,,,,,52,39314.90801
,,,,,,,53,40215.13758
,,,,,,,54,42212.09654
,,,,,,,55,45502.06604
,,,,,,,56,49107.9117
,,,,,,,57,52983.61458
,,,,,,,58,56836.14477
,,,,,,,59,59790.90327
,,,,,,,60,62127.05958
,,,,,,,61,63612.36332
,,,,,,,62,64455.56112
,,,,,,,63,64746.24735
,,,,,,,64,64308.73976
,,,,,,,65,63622.46155
,,,,,,,66,62305.31665
,,,,,,,67,59856.11973
,,,,,,,68,57887.52533
,,,,,,,69,54901.45462
,,,,,,,70,51306.20628
,,,,,,,71,47447.92425
,,,,,,,72,44918.76049
,,,,,,,73,42638.66303
,,,,,,,74,40972.09127
,,,,,,,75,40176.28618
,,,,,,,76,40173.93909
,,,,,,,77,41192.76551
,,,,,,,78,43197.85542
,,,,,,,79,46308.77567
,,,,,,,80,49894.7707
,,,,,,,81,53819.15047
,,,,,,,82,57637.60297
,,,,,,,83,60789.69581
,,,,,,,84,63057.95809
,,,,,,,85,64090.26907
,,,,,,,86,64361.52514
,,,,,,,87,64006.54058
,,,,,,,88,63525.20927
,,,,,,,89,62489.33122
,,,,,,,90,61091.64644
,,,,,,,91,58957.72385
,,,,,,,92,57695.31745
,,,,,,,93,54869.79522
,,,,,,,94,50884.4236
,,,,,,,95,47148.84243
,,,,,,,96,44193.8859
,,,,,,,97,42069.5341
,,,,,,,98,40536.52823
,,,,,,,99,39626.55421
,,,,,,,100,39793.16952
,,,,,,,101,40638.72081
,,,,,,,102,42416.33499
,,,,,,,103,45218.9254
,,,,,,,104,48576.90741
,,,,,,,105,52368.76659
,,,,,,,106,56113.53632
,,,,,,,107,59167.84442
,,,,,,,108,61668.09941
,,,,,,,109,63156.33606
,,,,,,,110,64124.42879
,,,,,,,111,64370.9364
,,,,,,,112,63819.05792
,,,,,,,113,62620.31248
,,,,,,,114,60767.22862
,,,,,,,115,58403.7217
,,,,,,,116,56778.62587
,,,,,,,117,53996.47656
,,,,,,,118,50360.90394
,,,,,,,119,46803.42103
,,,,,,,120,44076.18634
,,,,,,,121,41893.22148
,,,,,,,122,40348.21623
,,,,,,,123,39144.26781
,,,,,,,124,38695.42695
,,,,,,,125,38320.54904
,,,,,,,126,38629.20481
,,,,,,,127,41238.34392
,,,,,,,128,44950.48041
,,,,,,,129,48872.7647
,,,,,,,130,52555.14914
,,,,,,,131,55451.73773
,,,,,,,132,57164.29572
,,,,,,,133,58419.69374
,,,,,,,134,58855.01364
,,,,,,,135,58880.4723
,,,,,,,136,58703.27417
,,,,,,,137,57838.047
,,,,,,,138,56403.79885
,,,,,,,139,54657.59184
,,,,,,,140,53273.56815
,,,,,,,141,50889.41618
,,,,,,,142,47572.31103
,,,,,,,143,44468.61823
,,,,,,,144,42007.30255
,,,,,,,145,39982.73194
,,,,,,,146,38677.80133
,,,,,,,147,37673.0321
,,,,,,,148,36985.85798
,,,,,,,149,36629.52763
,,,,,,,150,36893.45023
,,,,,,,151,39731.00966
,,,,,,,152,43165.13595
,,,,,,,153,46253.57295
,,,,,,,154,49322.04254
,,,,,,,155,51782.41555
,,,,,,,156,54034.61189
,,,,,,,157,55341.1045
,,,,,,,158,56281.93781
,,,,,,,159,56675.91535
,,,,,,,160,56294.87624
,,,,,,,161,55331.0126
,,,,,,,162,54120.87948
,,,,,,,163,52173.13043
,,,,,,,164,50844.14471
,,,,,,,165,48501.77185
,,,,,,,166,45686.33517
,,,,,,,167,42730.72654
,,,,,,,168,40432.77721
,,,,,,,169,30808.21897
,,,,,,,170,30530.84396
,,,,,,,171,30791.60703
,,,,,,,172,32000.2504
,,,,,,,173,34528.30651
,,,,,,,174,37000.80152
,,,,,,,175,37529.1914
,,,,,,,176,37920.05677
,,,,,,,177,38630.85317
,,,,,,,178,39115.36318
,,,,,,,179,39577.83981
,,,,,,,180,39893.25674
,,,,,,,181,39819.68689
,,,,,,,182,39606.92915
