Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
NGCC_bf,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCC_gf,1,34586.38469086766,10170.428503068104,0.0,24415.95618779955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT_bf,1,8200.0,7140.065679893647,0.0,1059.934320106353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT_gf,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGST,1,1060.0,0.0,0.0,1060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal,1,-1.8189894035458565e-12,0.0,0.0,-1.8189894035458565e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,1,2360.0,0.0,0.0,2360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,1,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarPV,1,9783.0175021564,0.0,0.0,9783.0175021564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,1,5720.0,0.0,0.0,5720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro,1,480.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li-ion,1,5.366320116348561,0.0,0.0,5.366320116348561,5.962577907053957,0.0,0.0,5.962577907053957,0.0,0.0,0.0,0.0
Retro_NGCC_CCS,1,2890.0,0.0,9153.385652761293,12043.385652761293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retro_NGCC_H2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retro_Coal_TES,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retro_Coal_SMR,1,12495.0,0.0,0.0,12495.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,n/a,77599.76851314041,17310.494182961753,9153.385652761293,69442.65998293995,5.962577907053957,0.0,0.0,5.962577907053957,0.0,0.0,0.0,0.0
