Resource,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,NGST,Coal,Nuclear,Biomass,SolarPV,Wind,Hydro,PHS,Li-ion,Retro_NGCC_CCS,Retro_NGCC_H2,Retro_Coal_TES,Retro_Coal_SMR
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,67.2475203664809,20.733605220972606,0.0,62.475
t2,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,67.2475203664809,20.733605220972606,0.0,62.475
t3,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,67.2475203664809,20.733605220972606,0.0,62.475
t4,0.0,0.0,0.0,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,67.2475203664809,24.211351329810412,0.0,62.475
t5,0.0,0.0,0.0,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,67.2475203664809,24.211351329810412,0.0,62.475
t6,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,67.2475203664809,24.211351329810412,0.0,62.475
t7,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,67.2475203664809,24.21135132981041,0.0,62.475
t8,0.0,0.0,5.168807544047386,0.0,0.0,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,67.2475203664809,24.21135132981041,0.0,62.475
t9,0.0,0.0,5.168807544047386,0.0,0.0,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,67.2475203664809,24.21135132981041,0.0,62.475
t10,0.0,0.0,5.168807544047386,0.0,0.0,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,67.2475203664809,24.21135132981041,0.0,62.475
t11,0.0,0.0,5.168807544047386,0.0,0.0,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,79.8690466797088,24.21135132981041,0.0,62.475
t12,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,12.621526313227903,24.21135132981041,0.0,62.475
t13,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,12.621526313227903,24.21135132981041,0.0,62.475
t14,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,12.621526313227903,24.211351329810412,0.0,62.475
t15,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,12.621526313227903,24.211351329810412,0.0,62.475
t16,0.0,0.0,0.0,0.0,2.12,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,69.88630867994151,24.211351329810412,0.0,62.475
t17,0.0,0.0,0.0,0.0,2.12,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,69.88630867994151,24.211351329810412,0.0,62.475
t18,0.0,0.0,0.0,0.0,2.12,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,69.88630867994151,24.211351329810412,0.0,62.475
t19,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,69.88630867994151,24.211351329810412,0.0,62.475
t20,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,69.88630867994151,24.211351329810412,0.0,62.475
t21,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,69.88630867994151,24.211351329810412,0.0,62.475
t22,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,57.264782366713604,24.211351329810412,0.0,62.475
t23,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,57.264782366713604,0.0,0.0,62.475
t24,0.0,0.0,0.0,0.0,2.12,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,57.264782366713604,0.0,0.0,62.475
t25,0.0,0.0,0.0,0.0,2.12,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,57.264782366713604,0.0,0.0,62.475
t26,0.0,0.0,0.0,0.0,2.12,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,57.264782366713604,0.0,0.0,62.475
t27,0.0,0.0,0.0,0.0,2.12,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,57.264782366713604,0.0,0.0,62.475
t28,0.0,0.0,0.0,0.0,2.12,0.0,2.36,0.003124999999999989,0.0,0.0,0.0,0.0,0.0,57.264782366713604,0.0,0.0,62.475
t29,0.0,0.0,0.0,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,57.264782366713604,9.824233939583335,0.0,62.475
t30,0.0,0.0,0.0,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,67.36776261071361,24.211351329810412,0.0,62.475
t31,0.0,0.0,0.0,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,10.102980244000001,24.211351329810412,0.0,62.475
t32,0.0,0.0,0.0,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,10.102980244000001,24.211351329810412,0.0,62.475
t33,0.0,0.0,0.0,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,10.102980244000001,24.211351329810412,0.0,62.475
t34,0.0,0.0,0.0,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,10.102980244000001,24.211351329810412,0.0,62.475
t35,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,10.102980244000001,24.211351329810412,0.0,62.475
t36,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,10.102980244000001,24.211351329810412,0.0,62.475
t37,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,10.102980244000001,10.801987516376952,0.0,62.475
t38,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,10.102980244000001,10.801987516376952,0.0,62.475
t39,0.0,0.0,5.168807544047386,0.0,0.0,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,10.102980244000001,0.0,0.0,62.475
t40,0.0,0.0,5.168807544047386,0.0,0.0,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,10.102980244000001,13.409363813433458,0.0,62.475
t41,0.0,0.0,5.168807544047386,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,10.102980244000001,13.409363813433458,0.0,62.475
t42,0.0,0.0,5.168807544047386,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,10.102980244000001,13.409363813433458,0.0,62.475
t43,0.0,0.0,5.168807544047386,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,10.102980244000001,13.409363813433458,0.0,62.475
t44,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,10.102980244000001,24.211351329810412,0.0,62.475
t45,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,10.102980244000001,24.211351329810412,0.0,62.475
t46,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,10.102980244000001,24.211351329810412,0.0,62.475
t47,0.0,0.0,0.0,0.0,2.12,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,10.102980244000001,17.991509804170725,0.0,62.475
t48,0.0,0.0,0.0,0.0,2.12,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,17.26024120583334,17.991509804170725,0.0,62.475
t49,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,20.672309712,10.801987516376954,0.0,62.475
t50,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,20.672309712,10.801987516376954,0.0,62.475
t51,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,20.672309712,13.88080789787895,0.0,62.475
t52,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,20.672309712,13.88080789787895,0.0,62.475
t53,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,10.569329468000001,13.88080789787895,0.0,62.475
t54,0.0,0.0,5.168807544047386,0.0,0.0,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,10.569329468000001,16.55038495757115,0.0,62.475
t55,0.0,0.0,5.168807544047386,0.0,0.0,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,10.569329468000001,16.55038495757115,0.0,62.475
t56,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,10.569329468000001,16.55038495757115,0.0,62.475
t57,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,10.569329468000001,24.211351329810412,0.0,62.475
t58,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,10.569329468000001,24.211351329810412,0.0,62.475
t59,0.0,0.0,0.0,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,10.569329468000001,24.211351329810412,0.0,62.475
t60,0.0,0.0,0.0,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,0.0,24.211351329810412,0.0,62.475
t61,0.0,0.0,0.0,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,6.837711957976308,24.211351329810412,0.0,62.475
t62,0.0,0.0,0.0,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,6.837711957976308,24.211351329810412,0.0,62.475
t63,0.0,0.0,0.0,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,6.837711957976308,24.211351329810412,0.0,62.475
t64,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,6.837711957976308,24.211351329810412,0.0,62.475
t65,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,6.837711957976308,24.211351329810412,0.0,62.475
t66,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,6.837711957976308,15.608327830125017,0.0,62.475
t67,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,6.837711957976308,15.608327830125017,0.0,62.475
t68,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,6.837711957976308,15.608327830125017,0.0,62.475
t69,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,6.837711957976308,15.608327830125017,0.0,62.475
t70,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,46.46991570808708,15.608327830125017,0.0,62.475
t71,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,46.46991570808708,8.603023499685396,0.0,62.475
t72,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,46.46991570808708,8.603023499685396,0.0,62.475
t73,0.0,0.0,0.0,0.0,2.12,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,46.46991570808708,8.603023499685396,0.0,62.475
t74,0.0,0.0,0.0,0.0,1.8408236581000126,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,51.63323967565231,8.603023499685396,0.0,62.475
t75,0.0,0.0,0.0,0.0,1.8408236581000126,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,51.63323967565231,8.603023499685396,0.0,62.475
t76,0.0,0.0,0.0,0.0,0.5814370516258287,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,44.795527717675995,8.603023499685396,0.0,62.475
t77,0.0,0.0,5.168807544047386,0.0,0.5814370516258287,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,106.04502223125664,22.650518546797908,0.0,62.475
t78,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,106.04502223125664,22.650518546797908,0.0,62.475
t79,0.0,0.0,5.168807544047386,0.0,1.8177392902741587,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,66.41281848114588,15.608327830125017,0.0,62.475
t80,0.0,0.0,5.168807544047386,0.0,1.8177392902741587,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,66.41281848114588,15.608327830125017,0.0,62.475
t81,0.0,0.0,5.168807544047386,0.0,1.8177392902741587,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,66.41281848114588,15.608327830125017,0.0,62.475
t82,0.0,0.0,5.168807544047386,0.0,1.8177392902741587,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,66.41281848114588,15.608327830125017,0.0,62.475
t83,0.0,0.0,5.168807544047386,0.0,1.8408236581000128,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,66.41281848114588,15.608327830125017,0.0,62.475
t84,0.0,0.0,5.168807544047386,0.0,1.8408236581000128,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,66.41281848114588,15.608327830125017,0.0,62.475
t85,0.0,0.0,5.168807544047386,0.0,1.8408236581000128,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,66.41281848114588,15.608327830125017,0.0,62.475
t86,0.0,0.0,5.168807544047386,0.0,1.8408236581000128,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,66.41281848114588,15.608327830125017,0.0,62.475
t87,0.0,0.0,5.168807544047386,0.0,1.8408236581000128,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,66.41281848114588,0.0,0.0,62.475
t88,0.0,0.0,5.168807544047386,0.0,1.8408236581000128,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,67.08365503146048,0.0,0.0,62.475
t89,0.0,0.0,5.168807544047386,0.0,0.30226070972584146,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,67.08365503146048,8.603023499685396,0.0,62.475
t90,0.0,0.0,0.0,0.0,0.30226070972584146,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.6708365503146047,8.603023499685396,0.0,62.475
t91,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,0.6708365503146047,8.603023499685396,0.0,62.475
t92,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,0.6708365503146047,9.09750019,0.0,62.475
t93,0.0,0.0,5.168807544047386,0.0,0.0,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,8.66433203,9.097500190000002,0.0,62.475
t94,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,8.66433203,13.697884679661705,0.0,62.475
t95,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,8.66433203,13.697884679661705,0.0,62.475
t96,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,7.993495479685396,13.697884679661705,0.0,62.475
t97,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,8.52108155,5.094861179976308,0.0,62.475
t98,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,8.52108155,15.608327830125017,0.0,62.475
t99,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,8.52108155,15.608327830125017,0.0,62.475
t100,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,8.52108155,15.608327830125017,0.0,62.475
t101,0.0,0.0,5.168807544047386,0.0,2.12,0.0,2.36,0.2,0.0,0.0,0.0,0.0,0.0,8.52108155,15.608327830125017,0.0,62.475
