Resource,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,NGST,Coal,Nuclear,Biomass,SolarPV,Wind,Hydro,PHS,Li-ion,Retro_NGCC_CCS,Retro_NGCC_H2,Retro_Coal_TES,Retro_Coal_SMR,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Sum,0.0,0.0,14056.691737711933,0.0,33615.785819918405,0.0,0.0,685.3041891891892,0.0,0.0,0.0,0.0,0.0,2.13339120382835e6,158478.20115462792,0.0,0.0,2.3402271867297976e6
t1,0.0,0.0,129.22018860118465,0.0,247.53426939881535,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381.754458
t2,0.0,0.0,0.0,0.0,265.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,109.56718690000002,0.0,0.0,0.0,379.5671869
t3,0.0,0.0,129.22018860118465,0.0,251.59232459881537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.8125132
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,379.7891187,0.0,0.0,384.7891187
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.7476539,0.0,0.0,0.0,393.7476539
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.1543084,0.0,0.0,408.1543084
t7,0.0,0.0,129.22018860118465,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3362.3760183240447,1210.5675664905204,0.0,0.0,4967.163773415749
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.915091,0.0,0.0,428.915091
t9,0.0,0.0,129.22018860118465,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,290.91481289881534,0.0,0.0,0.0,425.1350015
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,407.7709968,0.0,0.0,0.0,412.7709968
t11,0.0,0.0,129.22018860118465,0.0,0.0,0.0,0.0,4.800000000000001,0.0,0.0,0.0,0.0,0.0,272.97135329881536,0.0,0.0,0.0,406.9915419
t12,0.0,0.0,129.22018860118465,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.726555298815356,0.0,0.0,398.9467439
t13,0.0,0.0,129.22018860118465,0.0,262.22754049881536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.4477291
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.5742561,0.0,0.0,0.0,388.5742561
t15,0.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.96485370000005,0.0,0.0,391.96485370000005
t16,0.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3494.315433997075,0.0,0.0,0.0,3759.315433997075
t17,0.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1210.5675664905207,0.0,0.0,1475.5675664905207
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,445.16286529999996,0.0,0.0,445.16286529999996
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3494.315433997075,1210.5675664905207,0.0,0.0,4704.883000487596
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3494.315433997075,0.0,0.0,0.0,3494.315433997075
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3494.315433997075,1210.5675664905207,0.0,0.0,4704.883000487596
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2863.2391183356804,0.0,0.0,0.0,2863.2391183356804
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2390.0027717743997,0.0,0.0,0.0,2390.0027717743997
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2863.2391183356804,0.0,0.0,0.0,2863.2391183356804
t25,0.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2863.2391183356804,0.0,0.0,0.0,3128.2391183356804
t26,0.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.56847390000001,0.0,0.0,0.0,406.5684739
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.0837892,0.0,0.0,0.0,417.0837892
t28,0.0,0.0,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.4734878,0.0,0.0,0.0,437.4734878
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,471.56322910000006,0.0,0.0,476.56322910000006
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3368.388130535681,0.0,0.0,0.0,3373.388130535681
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,505.1490122,0.0,0.0,0.0,510.1490122
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.1490122000001,1210.5675664905207,0.0,0.0,1715.7165786905207
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,505.1490122000001,1210.5675664905207,0.0,0.0,1720.7165786905207
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.7623903,0.0,0.0,0.0,460.7623903
t35,0.0,0.0,129.22018860118465,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1210.5675664905207,0.0,0.0,1344.7877550917053
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,428.28614070000003,0.0,0.0,0.0,433.28614070000003
t37,0.0,0.0,129.22018860118465,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,505.1490122000001,0.0,0.0,0.0,639.3692008011847
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,505.1490122000001,0.0,0.0,0.0,510.1490122000001
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,415.49661430000003,0.0,0.0,0.0,420.49661430000003
t40,0.0,0.0,129.22018860118465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.09335629881537,0.0,0.0,440.3135449
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.1490122000001,0.0,0.0,0.0,505.1490122000001
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.4681906716729,0.0,0.0,670.4681906716729
t43,0.0,0.0,129.22018860118465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,505.1490122000001,670.4681906716729,0.0,0.0,1304.8373914728577
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.3413056,0.0,0.0,0.0,476.3413056
