Resource,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,NGST,Coal,Nuclear,Biomass,SolarPV,Wind,Hydro,PHS,Li-ion,Retro_NGCC_CCS,Retro_NGCC_H2,Retro_Coal_TES,Retro_Coal_SMR,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,1.6662490297277903e6,2.8981885194583233e7,889422.3909051192,0.0,350481.6901297288,0.0,6.891200000000005e6,53881.6035683558,23127.870695970698,6.425191988338008e6,561212.1263945339,0.0,486890.3451909769,4.381518928304945e6,-6.915949294731641e-12,0.0,3.648539999999999e7,8.719646116783866e7
t1,0.0,4802.196043775475,0.0,0.0,0.0,0.0,2360.0,13.0,0.0,3717.48572624,0.0,0.0,0.0,1046.1851396298093,0.0,0.0,12495.000000000002,24433.866909645287
t2,0.0,4802.196043775475,0.0,0.0,0.0,0.0,2360.0,13.0,0.0,2572.89256224,0.0,0.0,173.32507349735943,1034.8620174298094,0.0,0.0,12495.000000000002,23451.27569694265
t3,0.0,4802.196043775475,0.0,0.0,0.0,0.0,2360.0,13.0,0.0,2309.0645806800003,0.0,0.0,21.59680262736083,1029.1318707298094,0.0,0.0,12495.000000000002,23029.989297812645
t4,0.0,4802.196043775475,0.0,0.0,0.0,0.0,2360.0,13.0,0.0,2133.0218544154595,0.0,0.0,424.6352401096314,1035.4958520298094,0.0,0.0,12495.000000000002,23263.348990330378
t5,0.0,4802.196043775475,0.0,0.0,0.0,0.0,2360.0,13.0,0.0,4253.188370934713,0.0,0.0,0.0,1048.3331857298099,0.0,0.0,12495.000000000002,24971.717600440003
t6,0.0,5208.573644775475,0.0,0.0,0.0,0.0,2360.0,20.0,6.356000000000001,4022.0301264000004,0.0,0.0,0.0,1670.8003288245234,0.0,0.0,12495.000000000002,25782.7601
t7,0.0,10388.497280415479,0.0,0.0,0.0,0.0,2360.0,20.0,3.772,1836.84148076,0.0,0.0,0.0,1670.8003288245234,0.0,0.0,12495.000000000002,28774.911090000005
t8,608.9206075039506,14430.935420311522,0.0,0.0,0.0,0.0,2360.0,20.0,8.9,441.48011336,0.0,0.0,0.0,1670.8003288245234,0.0,0.0,12495.000000000002,32036.03647
t9,951.4384492249228,17889.106749750546,0.0,0.0,0.0,0.0,2360.0,20.0,14.796,27.957272200000002,0.0,0.0,0.0,1670.8003288245234,0.0,0.0,12495.000000000002,35429.09879999999
t10,475.7192246124614,21296.804250403016,0.0,0.0,0.0,0.0,2360.0,20.0,20.344,619.57082616,0.0,0.0,0.0,1670.8003288245234,0.0,0.0,12495.000000000002,38958.23863000001
t11,814.8880263946762,22566.47763378056,290.7353709202342,0.0,212.0,0.0,2360.0,20.0,23.631999999999998,1549.13195008,0.0,0.0,0.0,1670.8003288245234,0.0,0.0,12495.000000000002,42002.66531
