BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,8.670957082264769e7,486890.3451909769,-601099.1915937987,0.0,0.0,0.0,0.0,0.0,0.0,-1.2997196197624488e8
t1,24433.866909645287,0.0,-1002.3660996452918,0.0,0.0,0.0,0.0,0.0,0.0,-38286.50081
t2,23277.950623445286,173.32507349735943,-1152.0871069426462,0.0,0.0,0.0,0.0,0.0,0.0,-37154.18859
t3,23008.392495185286,21.59680262736083,-1303.8153778126448,0.0,0.0,0.0,0.0,0.0,0.0,-36581.17392
t4,22838.713750220748,424.6352401096314,-900.7769403303741,0.0,0.0,0.0,0.0,0.0,0.0,-37217.57205
t5,24971.717600440003,0.0,-1325.4121804400056,0.0,0.0,0.0,0.0,0.0,0.0,-38501.30542
t6,25782.7601,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40637.7601
t7,28774.911090000005,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43629.91109
t8,32036.03647,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46891.03647
t9,35429.09879999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50284.0988
t10,38958.23863000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53813.23863
t11,42002.66531,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56857.66531
t12,44532.83823,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59387.83823
t13,46300.32154999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61155.32155
t14,46701.612564606774,746.7672553932267,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62303.37982
t15,46615.466599559986,1325.4121804400056,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62795.87878
t16,46640.42488955999,1325.4121804400056,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62820.83707
t17,47217.99330014999,133.73215985000206,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62206.72546
