Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
NGCC_bf,1,1458.863881,0,0,1458.863881,0,0,0,0,0,0,0,0
NGCC_gf,1,23146.81246,14186.6712,8109.415604,17069.55687,0,0,0,0,0,0,0,0
NGCT_bf,1,8200,0,0,8200,0,0,0,0,0,0,0,0
NGCT_gf,1,0,0,0,0,0,0,0,0,0,0,0,0
NGST,1,1060,0,0,1060,0,0,0,0,0,0,0,0
Coal,1,6.727604343,-2.99E-12,0,6.727604343,0,0,0,0,0,0,0,0
Nuclear,1,2360,0,0,2360,0,0,0,0,0,0,0,0
Biomass,1,20,0,0,20,0,0,0,0,0,0,0,0
SolarPV,1,40,0,0,40,0,0,0,0,0,0,0,0
Wind,1,5720,0,0,5720,0,0,0,0,0,0,0,0
Hydro,1,480,0,0,480,0,0,0,0,0,0,0,0
PHS,1,0,0,0,0,0,0,0,0,0,0,0,0
Li-ion,1,1313.975253,0,0,1313.975253,4368.028747,0,0,4368.028747,0,0,0,0
Retro_NGCC_CCS,1,1649.965701,0,12768.00408,14417.96978,0,0,0,0,0,0,0,0
Retro_NGCC_H2,1,0,0,0,0,0,0,0,0,0,0,0,0
Retro_Coal_TES,1,0,0,0,0,0,0,0,0,0,0,0,0
Retro_Coal_SMR,1,12489.28154,0,-2.54E-12,12489.28154,0,0,0,0,0,0,0,0
Total,n/a,57945.62644,14186.6712,20877.41968,64636.37492,4368.028747,0,0,4368.028747,0,0,0,0
