Resource,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,NGST,Coal,Nuclear,Biomass,SolarPV,Wind,Hydro,PHS,Li-ion,Retro_NGCC_CCS,Retro_NGCC_H2,Retro_Coal_TES,Retro_Coal_SMR
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,57.02289248787149,0.0,0.0,62.47499999999998
t2,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,57.02289248787149,0.0,0.0,62.474999999999994
t3,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,57.02289248787149,0.0,0.0,62.475
t4,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,57.02289248787149,0.0,0.0,62.474999999999994
t5,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,57.02289248787149,0.0,0.0,62.474999999999994
t6,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,57.02289248787149,0.0,0.0,62.474999999999994
t7,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,95.47973074654044,0.0,0.0,62.474999999999994
t8,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,95.47973074654044,0.0,0.0,62.474999999999994
t9,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,95.47973074654044,0.0,0.0,62.474999999999994
t10,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,95.47973074654044,0.0,0.0,62.474999999999994
t11,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,95.47973074654044,0.0,0.0,62.474999999999994
t12,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,95.47973074654044,0.0,0.0,62.474999999999994
t13,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,95.47973074654044,0.0,0.0,62.474999999999994
t14,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,95.47973074654044,0.0,0.0,62.474999999999994
t15,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,123.89944109472968,0.0,0.0,62.474999999999994
t16,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,123.89944109472968,0.0,0.0,62.474999999999994
t17,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,123.89944109472968,0.0,0.0,62.474999999999994
t18,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,123.89944109472968,0.0,0.0,62.474999999999994
t19,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,123.89944109472968,0.0,0.0,62.474999999999994
t20,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,123.89944109472968,0.0,0.0,62.474999999999994
t21,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,123.89944109472968,0.0,0.0,62.474999999999994
t22,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,116.21563037203211,0.0,0.0,62.474999999999994
t23,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,109.35735850548868,0.0,0.0,62.474999999999994
t24,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,109.35735850548868,0.0,0.0,62.474999999999994
t25,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,98.91932481488901,0.0,0.0,62.474999999999994
t26,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,98.91932481488901,0.0,0.0,62.475
t27,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,98.91932481488901,0.0,0.0,62.474999999999994
t28,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,98.919324814889,0.0,0.0,62.47499999999998
t29,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,98.919324814889,0.0,0.0,62.474999999999994
t30,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,98.919324814889,0.0,0.0,62.474999999999994
t31,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,98.919324814889,0.0,0.0,62.474999999999994
t32,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,98.919324814889,0.0,0.0,62.474999999999994
t33,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,98.919324814889,0.0,0.0,62.474999999999994
t34,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,98.919324814889,0.0,0.0,62.474999999999994
t35,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,98.919324814889,0.0,0.0,62.474999999999994
t36,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,98.919324814889,0.0,0.0,62.474999999999994
t37,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,98.919324814889,0.0,0.0,62.474999999999994
t38,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,98.919324814889,0.0,0.0,62.474999999999994
t39,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,98.919324814889,0.0,0.0,62.474999999999994
t40,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,120.3461769329854,0.0,0.0,62.474999999999994
t41,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,120.3461769329854,0.0,0.0,62.475
t42,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,126.0706094640001,0.0,0.0,62.475
t43,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,126.0706094640001,0.0,0.0,62.475
t44,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,126.0706094640001,0.0,0.0,62.47499999999998
t45,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,124.89767035742057,0.0,0.0,62.474999999999994
t46,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,124.89767035742057,0.0,0.0,62.474999999999994
t47,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,124.89767035742057,0.0,0.0,62.474999999999994
t48,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,124.89767035742057,0.0,0.0,62.474999999999994
t49,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,124.89767035742057,0.0,0.0,62.474999999999994
t50,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,124.89767035742057,0.0,0.0,62.474999999999994
t51,0.0,0.0,0.0,0.0,0.0,0.0,2.36,0.0,0.0,0.0,0.0,0.0,0.0,124.89767035742057,0.0,0.0,62.474999999999994
