BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.037873388891106e8,3.6107368808472212e6,-4.457699852897806e6,0.0,0.0,0.0,0.0,0.0,0.0,-1.2528421591706003e8
t1,30300.977558642837,556.3036013571636,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38509.28116
t2,29734.28531,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37386.28531
t3,29231.78303,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36883.78303
t4,31381.903189300763,0.0,-1687.842019300766,0.0,0.0,0.0,0.0,0.0,0.0,-37346.06117
t5,30897.71967,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38549.71967
t6,32780.83076,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40432.83076
t7,30774.19811353524,4946.98600646476,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43373.18412
t8,36411.34946150919,2624.6549184908126,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46688.00438
t9,42658.88061,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50310.88061
t10,49621.48716720488,0.0,-3193.2444172048863,0.0,0.0,0.0,0.0,0.0,0.0,-54080.24275
t11,53409.583584374224,0.0,-3944.5954143742247,0.0,0.0,0.0,0.0,0.0,0.0,-57116.98817
t12,56977.92172028689,0.0,-4980.856240286904,0.0,0.0,0.0,0.0,0.0,0.0,-59649.06548
t13,54369.06358541622,0.0,-963.1516654162232,0.0,0.0,0.0,0.0,0.0,0.0,-61057.91192
t14,54477.16937630894,0.0,-360.1579263089452,0.0,0.0,0.0,0.0,0.0,0.0,-61769.01145
t15,54190.0646,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61842.0646
t16,53581.57819,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61233.57819
t17,52903.59279,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60555.59279
t18,51119.68157999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58771.68158
t19,43852.92201313414,5132.470606865854,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56637.39262
t20,43261.29199379506,4214.494196204929,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55127.78619
t21,43013.68652556191,1541.0597844380954,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52206.74631
t22,40723.49945,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48375.49945
t23,37249.325509999995,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44901.32551
t24,34628.08393,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42280.08393
t25,33160.48906014204,0.0,-554.5229701420403,0.0,0.0,0.0,0.0,0.0,0.0,-40257.96609
t26,33633.745039917885,0.0,-2166.7185299178827,0.0,0.0,0.0,0.0,0.0,0.0,-39119.02651
t27,34151.52848319631,0.0,-3451.1083931963085,0.0,0.0,0.0,0.0,0.0,0.0,-38352.42009
t28,29840.932547451277,1170.0931625487246,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38663.02571
t29,31265.93916441771,740.6567655822943,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39658.59593
t30,39704.068971437315,0.0,-5764.365381437325,0.0,0.0,0.0,0.0,0.0,0.0,-41591.70359
t31,35124.25927107532,1984.3632589246772,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44760.62253
t32,35068.62493856267,5764.365381437325,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48484.99032
t33,44976.358495991255,9.260804008743435,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52637.6193
t34,51875.330279377624,0.0,-2754.7327493776284,0.0,0.0,0.0,0.0,0.0,0.0,-56772.59753
t35,58011.26640143733,0.0,-5764.365381437325,0.0,0.0,0.0,0.0,0.0,0.0,-59898.90102
t36,59632.86430277625,0.0,-4922.907532776254,0.0,0.0,0.0,0.0,0.0,0.0,-62361.95677
t37,56335.99926,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63987.99926
t38,57408.91644,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65060.91644
t39,57713.70919999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65365.7092
t40,57245.21857,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64897.21857
t41,56188.26504,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63840.26504
t42,54023.473415268076,227.64674473192085,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61903.12016
t43,48576.84288047993,3230.6225895200623,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59459.46547
t44,44518.199134420865,5091.345945579145,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57261.54508
t45,44476.55597232224,2338.40930767775,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54466.96528
t46,43181.04025,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50833.04025
t47,39808.45503,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47460.45503
t48,36928.41173,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44580.41173
t49,34540.2957,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42192.2957
t50,32692.23713,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40344.23713
