Resource,NGCC,NGCT,NGST,Coal,Nuclear,Biomass,SolarPV,Wind,Hydro,PHS,Li-ion,Retro_NGCC_CCS,Retro_NGCC_H2,Retro_Coal_TES,Retro_Coal_SMR,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,2.2808846448699016e7,204142.70587707422,93259.73240027935,0.0,5.840000000000002e6,4366.830586080587,2.6416625827836946e7,2.4560998522766482e7,560254.5411859093,0.0,2.493833288899781e6,9.614950092075007e6,1.8239866271819714e-12,0.0,1.5452639999999998e7,1.0804991799032658e8
t1,17381.2743620791,471.9800915230986,0.0,0.0,2000.0,4.377339219330856,0.0,0.0,480.0,0.0,138.96601980164385,1741.07702065583,0.0,0.0,5292.000000000002,27509.67483327901
t2,15063.771113801888,471.9800915230986,0.0,0.0,2000.0,4.377339219330856,0.0,0.0,0.0,0.0,0.0,1741.07702065583,0.0,0.0,5292.000000000002,24573.20556520015
t3,8083.364447871063,471.9800915230986,0.0,0.0,2000.0,0.13399628252788104,0.0,0.0,0.0,0.0,3888.4023889947516,1566.9693185902472,0.0,0.0,5292.000000000002,21302.850243261688
t4,9533.133699451064,471.9800915230986,28.964656964656996,0.0,2000.0,8.709758364312268,0.0,0.0,0.0,0.0,1331.9389398766552,1566.9693185902472,0.0,0.0,5292.000000000002,20233.696464770037
t5,9533.133699451064,1061.955205926972,65.17047817047822,0.0,2000.0,8.709758364312268,0.0,0.0,0.0,0.0,0.0,1566.9693185902472,0.0,0.0,5292.000000000002,19527.938460503072
t6,10999.769653212765,4460.211864893282,65.17047817047822,0.0,2000.0,8.709758364312268,5962.276453719581,0.0,0.0,0.0,0.0,4352.692551639575,0.0,0.0,5292.000000000002,33140.83075999999
t7,7987.159585918189,1061.955205926972,28.96465696465699,0.0,2000.0,8.709758364312268,0.0,0.0,0.0,0.0,1740.1137762904689,1741.07702065583,0.0,0.0,5292.000000000002,19859.98000412043
t8,9215.953368367142,1061.955205926972,65.17047817047822,0.0,2000.0,8.709758364312268,0.0,0.0,0.0,0.0,0.0,1741.07702065583,0.0,0.0,5292.000000000002,19384.865831484734
t9,8430.175917510825,1061.955205926972,52.13638253638257,0.0,2000.0,5.359851301115242,0.0,0.0,480.0,0.0,1740.1137762904689,1741.07702065583,0.0,0.0,5292.000000000002,20802.818154221597
t10,9727.126058666336,3982.3320222261445,144.8232848232849,0.0,2000.0,12.912902416356877,0.0,0.0,480.0,0.0,3480.227552580938,4352.692551639575,0.0,0.0,5292.000000000002,29472.11437235264
t11,8054.315383766337,5309.77602963486,52.13638253638257,0.0,2000.0,6.600371747211897,0.0,0.0,0.0,0.0,0.0,1566.969318590247,0.0,0.0,5292.000000000002,22281.79748627504
t12,6980.406665930825,3982.3320222261445,28.964656964656974,0.0,2000.0,2.640148698884759,0.0,0.0,0.0,0.0,0.0,835.7169699147985,0.0,0.0,5292.000000000002,19122.06046373531
t13,8054.315383766337,4916.459286698944,387.00000000000006,0.0,2000.0,6.600371747211897,0.0,0.0,480.0,0.0,0.0,1358.0400761115475,0.0,0.0,5292.000000000002,22494.415118324046
t14,10967.553650264545,6555.279048931925,143.03534303534303,0.0,2000.0,13.0,0.0,0.0,480.0,0.0,0.0,979.73725104,0.0,0.0,5292.000000000002,26430.605293271816
t15,6815.635870655928,4916.459286698944,600.7484407484408,0.0,2000.0,8.0,0.0,0.0,480.0,0.0,3888.4023889947516,1592.07303294,0.0,0.0,5292.000000000002,25593.319020038063
t16,2453.628913436134,5506.434401102817,257.4636174636175,0.0,2000.0,8.0,0.0,0.0,0.0,0.0,1331.9389398766552,1592.07303294,0.0,0.0,5292.000000000002,18441.538904819223
t17,4600.554212692751,1311.055809786385,715.1767151767152,0.0,2000.0,13.0,0.0,0.0,0.0,0.0,0.0,2449.3431276,0.0,0.0,5292.000000000002,16381.129865255853
t18,3987.146984333718,4916.459286698944,715.1767151767152,0.0,2000.0,5.359851301115242,0.0,0.0,480.0,0.0,0.0,979.73725104,0.0,0.0,5292.000000000002,18375.880088550493
t19,4600.554212692751,4916.459286698944,715.1767151767152,0.0,2000.0,8.709758364312268,0.0,619.3382464169077,0.0,0.0,0.0,1741.07702065583,0.0,0.0,5292.000000000002,19893.31524000546
t20,3987.146984333718,4916.459286698944,257.4636174636175,0.0,2000.0,8.709758364312268,0.0,896.9393203396234,0.0,0.0,2995.275909646879,4352.692551639575,0.0,0.0,5292.000000000002,24706.68742848667
t21,19054.0850369791,4916.459286698944,144.82328482328478,0.0,2000.0,6.091961728319825,0.0,0.0,480.0,0.0,3888.4023889947516,3917.423296475617,0.0,0.0,5292.000000000002,39699.28525570002
t22,16513.540365381887,1311.055809786385,402.28690228690226,0.0,2000.0,9.899437808519716,0.0,0.0,0.0,0.0,0.0,1566.969318590247,0.0,0.0,5292.000000000002,27095.751833853938
t23,16513.540365381887,4916.459286698944,144.82328482328484,0.0,2000.0,15.229904320799564,0.0,0.0,480.0,0.0,0.0,1566.969318590247,0.0,0.0,5292.000000000002,30929.022159815162
t24,16513.540365381887,3635.0347168500357,144.8232848232848,0.0,2000.0,7.390803827168018,0.0,0.0,480.0,0.0,0.0,1566.969318590247,0.0,0.0,5292.000000000002,29639.758489472624
t25,16513.540365381887,3635.0347168500357,144.8232848232848,0.0,2000.0,8.527850569809251,0.0,0.0,0.0,0.0,2453.87485486508,4352.692551639575,0.0,0.0,5292.000000000002,34400.493624129675
t26,19054.0850369791,2181.020830110021,144.8232848232848,0.0,2000.0,4.5481869705649345,0.0,0.0,480.0,0.0,1103.129504236103,4352.692551639575,0.0,0.0,5292.000000000002,34612.29939475865
t27,14453.530824286354,3635.0347168500352,226.28638253638252,0.0,2000.0,8.0,0.0,4981.278003682404,0.0,0.0,0.0,4352.692551639575,0.0,0.0,5292.000000000002,34948.82247899475
t28,14453.530824286354,4667.633249501266,226.28638253638252,0.0,2000.0,15.0,0.0,0.0,0.0,0.0,3149.6059350857486,1566.9693185902465,0.0,0.0,5292.000000000002,31371.02571
t29,14453.530824286354,4667.633249501266,81.46309771309772,0.0,2000.0,20.0,0.0,0.0,480.0,0.0,0.0,626.7877274360986,0.0,0.0,5292.000000000002,27621.41489893682
t30,14453.530824286354,4916.459286698944,61.097323284823304,0.0,2000.0,20.0,0.0,2917.5941209725024,0.0,0.0,3480.227552580938,1566.9693185902465,0.0,0.0,5292.000000000002,34707.87842641381
t31,14453.530824286354,1311.055809786385,81.46309771309774,0.0,2000.0,13.0,0.0,0.0,217.2615590399855,0.0,0.0,1566.9693185902465,0.0,0.0,5292.000000000002,24935.280609416077
t32,14453.530824286354,5506.434401102817,29.326715176715183,0.0,2000.0,8.0,0.0,0.0,0.0,0.0,1740.1137762904689,626.7877274360987,0.0,0.0,5292.000000000002,29656.193444292454
t33,19054.0850369791,6555.279048931925,81.46309771309774,0.0,2000.0,5.609196172831982,0.0,0.0,0.0,0.0,3888.4023889947516,1741.07702065583,0.0,0.0,5292.000000000002,38617.915789447536
t34,19054.0850369791,6555.279048931925,81.46309771309774,0.0,2000.0,8.629532573587666,0.0,0.0,480.0,0.0,0.0,4352.692551639575,0.0,0.0,5292.000000000002,37824.14926783729
t35,19054.0850369791,2359.900457615493,181.02910602910606,0.0,2000.0,3.1066317264915595,0.0,0.0,0.0,0.0,2524.270512639003,2829.2501585657237,0.0,0.0,5292.000000000002,34243.64190355492
t36,16513.540365381887,1415.7343495729942,181.02910602910606,0.0,2000.0,3.1066317264915595,0.0,0.0,480.0,0.0,852.5197685842562,2785.7232330493284,0.0,0.0,5292.000000000002,29523.653454344065
t37,11467.736364848533,377.5291598861318,65.17047817047819,0.0,2000.0,7.7665793162289,0.0,0.0,480.0,0.0,0.0,2089.2924247869964,0.0,0.0,5292.000000000002,21779.495007008372
