Resource,NGCC,NGCT,NGST,Coal,Nuclear,Biomass,SolarPV,Wind,Hydro,PHS,Li-ion,Retro_NGCC_CCS,Retro_NGCC_H2,Retro_Coal_TES,Retro_Coal_SMR,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Sum,2.330625204451028e6,169483.61761968728,7554.714583834766,0.0,0.0,763.3418508194414,0.0,0.0,0.0,0.0,0.0,401007.2269933961,0.0,0.0,0.0,2.909434105498765e6
t1,5793.758120693034,0.0,0.0,0.0,0.0,1.6835920074349444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5795.441712700468
t2,5793.758120693034,0.0,0.0,0.0,0.0,1.6835920074349444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5795.441712700468
t3,3108.986326104255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3108.986326104255
t4,3666.5898844042554,0.0,0.0,0.0,0.0,3.349907063197026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3669.9397914674523
t5,3666.5898844042554,589.9751144038734,36.20582120582124,0.0,0.0,3.349907063197026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4296.1207270771465
t6,3666.5898844042554,849.5641647415778,36.20582120582124,0.0,0.0,3.349907063197026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4555.709777414851
t7,3071.9844561223804,0.0,0.0,0.0,0.0,3.349907063197026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3075.3343631855773
t8,3071.9844561223804,0.0,36.20582120582124,0.0,0.0,3.349907063197026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3111.5401843913987
t9,3242.3753528887787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3242.3753528887787
t10,3242.3753528887787,1327.444007408715,0.0,0.0,0.0,4.96650092936803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4574.785861226861
