Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
NGCC,1,24136.275540426166,18.120418968490526,1402.2302594679127,25520.38538092559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT,1,8208.81264046885,3000.0,2800.487803377362,8009.300443846212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGST,1,860.0,400.00000000000006,0.0,459.99999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal,1,-3.637978807091713e-12,0.0,0.0,-3.637978807091713e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,1,2000.0,400.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,1,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarPV,1,51046.88744622929,0.0,0.0,51046.88744622929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,1,31246.49319884674,0.0,0.0,31246.49319884674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro,1,480.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li-ion,1,3888.4023889947516,0.0,0.0,3888.4023889947516,6844.71761152206,0.0,0.0,6844.71761152206,0.0,0.0,0.0,0.0
Retro_NGCC_CCS,1,3830.6395582124833,0.0,15.402356123217942,3846.041914335701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retro_NGCC_H2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retro_Coal_TES,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retro_Coal_SMR,1,5292.000000000002,0.0,0.0,5292.000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,n/a,131009.51077317828,3818.1204189684904,4218.120418968493,131409.5107731783,6844.71761152206,0.0,0.0,6844.71761152206,0.0,0.0,0.0,0.0
