Resource,NGCC,NGCT,NGST,Coal,Nuclear,Biomass,SolarPV,Wind,Hydro,PHS,Li-ion,Retro_NGCC_CCS,Retro_NGCC_H2,Retro_Coal_TES,Retro_Coal_SMR
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,84.86009916684924,15.950743255999999,0.0,0.0,1.6,0.11201866977829639,0.0,0.0,0.0,0.0,0.0,12.43013940740741,0.0,0.0,26.460000000000008
t2,102.49354801996476,36.04185199730796,0.0,0.0,1.6,0.11201866977829639,0.0,0.0,0.0,0.0,0.0,12.43013940740741,0.0,0.0,26.460000000000008
t3,127.60192690462794,36.04185199730796,0.0,0.0,1.6,0.11201866977829639,0.0,0.0,0.0,0.0,0.0,12.43013940740741,0.0,0.0,26.460000000000008
t4,42.741827737778706,36.04185199730796,0.0,0.0,1.6,0.1120186697782964,0.0,0.0,0.0,0.0,0.0,12.43013940740741,0.0,0.0,26.460000000000008
t5,42.74182773777871,36.04185199730796,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,12.43013940740741,0.0,0.0,26.460000000000008
t6,42.74182773777871,36.04185199730796,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,12.43013940740741,0.0,0.0,26.460000000000008
t7,42.74182773777871,36.04185199730796,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,11.187125466666668,0.0,0.0,26.460000000000008
t8,42.74182773777871,36.04185199730796,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,11.187125466666668,0.0,0.0,26.460000000000008
t9,42.74182773777871,44.05115244115417,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,11.187125466666668,0.0,0.0,26.460000000000008
t10,42.74182773777871,44.05115244115417,0.0,0.0,1.6,0.08798133022170361,0.0,0.0,0.0,0.0,0.0,11.187125466666668,0.0,0.0,26.460000000000008
t11,42.74182773777871,44.05115244115417,0.0,0.0,1.6,0.08798133022170361,0.0,0.0,0.0,0.0,0.0,11.187125466666668,0.0,0.0,26.460000000000008
t12,42.74182773777871,44.05115244115417,0.0,0.0,1.6,0.08798133022170361,0.0,0.0,0.0,0.0,0.0,11.187125466666668,0.0,0.0,26.460000000000008
t13,42.74182773777871,44.05115244115417,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,10.06841292,0.0,0.0,26.460000000000008
t14,42.74182773777871,44.05115244115417,0.9199999999999998,0.0,1.6,0.1120186697782964,0.0,0.0,0.0,0.0,0.0,10.06841292,0.0,0.0,26.460000000000008
t15,96.61410179473837,44.05115244115417,0.9199999999999998,0.0,1.6,0.1120186697782964,0.0,0.0,0.0,0.0,0.0,10.06841292,0.0,0.0,26.460000000000008
t16,96.61410179473837,44.05115244115417,0.9199999999999998,0.0,1.6,0.1120186697782964,0.0,0.0,0.0,0.0,0.0,10.06841292,0.0,0.0,26.460000000000008
t17,96.61410179473837,36.04185199730796,0.9199999999999998,0.0,1.6,0.1120186697782964,0.0,0.0,0.0,0.0,0.0,11.698326981110851,0.0,0.0,26.460000000000008
t18,96.61410179473837,36.04185199730796,0.9199999999999998,0.0,1.6,0.1120186697782964,0.0,0.0,0.0,0.0,0.0,11.698326981110851,0.0,0.0,26.460000000000008
t19,96.61410179473837,36.04185199730796,0.9199999999999998,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,11.698326981110851,0.0,0.0,26.460000000000008
t20,96.61410179473837,36.04185199730796,0.9199999999999998,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,11.698326981110851,0.0,0.0,26.460000000000008
t21,96.61410179473837,36.04185199730796,0.3942857142857143,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,11.698326981110851,0.0,0.0,26.460000000000008
t22,96.61410179473837,80.09300443846213,0.39428571428571424,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,11.698326981110851,0.0,0.0,26.460000000000008
t23,96.61410179473837,80.09300443846213,0.0,0.0,1.6,0.08798133022170361,0.0,0.0,0.0,0.0,0.0,19.230209571678508,0.0,0.0,26.460000000000008
t24,96.61410179473837,44.05115244115417,0.0,0.0,1.6,0.08798133022170361,0.0,0.0,0.0,0.0,0.0,7.823805302,0.0,0.0,26.460000000000008
t25,81.69517528970883,44.05115244115417,0.0,0.0,1.6,0.08798133022170361,0.0,0.0,0.0,0.0,0.0,7.823805302,0.0,0.0,26.460000000000008
t26,112.68300039959838,44.05115244115417,0.0,0.0,1.6,0.08798133022170361,0.0,0.0,0.0,0.0,0.0,7.823805302,0.0,0.0,26.460000000000008
t27,112.68300039959838,44.05115244115417,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,7.823805302,0.0,0.0,26.460000000000008
t28,112.68300039959838,44.05115244115417,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,7.823805302,0.0,0.0,26.460000000000008
t29,30.987825109889553,44.05115244115417,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,7.823805302,0.0,0.0,26.460000000000008
t30,30.987825109889553,44.05115244115417,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,7.823805302,0.0,0.0,26.460000000000008
t31,45.906751614919116,44.05115244115417,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,7.823805302,0.0,0.0,26.460000000000008
t32,45.906751614919116,44.05115244115417,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,7.823805302,0.0,0.0,26.460000000000008
t33,45.906751614919116,80.09300443846213,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,7.823805302,0.0,0.0,26.460000000000008
t34,45.906751614919116,80.09300443846213,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,7.823805302,0.0,0.0,26.460000000000008
t35,45.906751614919116,80.09300443846213,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,12.668053008,0.0,0.0,26.460000000000008
t36,45.906751614919116,80.09300443846213,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,12.668053008,0.0,0.0,26.460000000000008
t37,45.906751614919116,80.09300443846213,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,12.668053008,0.0,0.0,26.460000000000008
t38,45.906751614919116,80.09300443846213,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,12.668053008,0.0,0.0,26.460000000000008
t39,45.906751614919116,36.04185199730796,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,12.668053008,0.0,0.0,26.460000000000008
t40,45.906751614919116,36.04185199730796,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,12.668053008,0.0,0.0,26.460000000000008
t41,45.906751614919116,36.04185199730796,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,12.668053008,0.0,0.0,26.460000000000008
t42,12.380624032,44.05115244115417,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,12.668053008,0.0,0.0,26.460000000000008
t43,12.380624032,44.05115244115417,0.0,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,10.10081857631579,0.0,0.0,26.460000000000008
t44,12.380624032,44.05115244115417,0.0,0.0,1.6,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,10.10081857631579,0.0,0.0,26.460000000000008
t45,12.380624032,44.05115244115417,0.0,0.0,1.6,0.1315789473684212,0.0,0.0,0.0,0.0,0.0,10.10081857631579,0.0,0.0,26.460000000000008
t46,92.5441696007534,44.05115244115417,0.0,0.0,1.6,0.1315789473684212,0.0,0.0,0.0,0.0,0.0,10.10081857631579,0.0,0.0,26.460000000000008
t47,92.5441696007534,80.09300443846213,0.0,0.0,1.6,0.001754385964912277,0.0,0.0,0.0,0.0,0.0,10.10081857631579,0.0,0.0,26.460000000000008
t48,92.5441696007534,80.09300443846213,0.0,0.0,1.6,0.0017543859649122764,0.0,0.0,0.0,0.0,0.0,4.848392916631581,0.0,0.0,26.460000000000008
t49,92.5441696007534,36.04185199730796,0.0,0.0,1.6,0.07017543859649106,0.0,0.0,0.0,0.0,0.0,13.977783911994297,0.0,0.0,26.460000000000008
t50,92.5441696007534,36.04185199730796,0.006096540383998317,0.0,1.6,0.07017543859649106,0.0,0.0,0.0,0.0,0.0,9.129390995362716,0.0,0.0,26.460000000000008
t51,92.5441696007534,36.04185199730796,0.006096540383998317,0.0,1.6,0.07017543859649106,0.0,0.0,0.0,0.0,0.0,9.129390995362716,0.0,0.0,26.460000000000008
t52,92.54416960075342,36.04185199730796,0.006096540383998317,0.0,1.6,0.07017543859649106,0.0,0.0,0.0,0.0,0.0,9.129390995362716,0.0,0.0,26.460000000000008
t53,92.54416960075342,36.04185199730796,0.006096540383998317,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,9.129390995362716,0.0,0.0,26.460000000000008
t54,92.54416960075342,36.04185199730796,0.006096540383998317,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,12.211576875999999,0.0,0.0,26.460000000000008
t55,92.54416960075342,36.04185199730796,0.006096540383998317,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,12.211576875999999,0.0,0.0,26.460000000000008
t56,92.54416960075342,36.041851997307944,0.006096540383998317,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,12.211576875999999,0.0,0.0,26.460000000000008
t57,92.54416960075342,63.87417103967355,0.016934834399995324,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,12.211576875999999,0.0,0.0,26.460000000000008
t58,92.54416960075342,63.87417103967355,0.016934834399995324,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,12.211576875999999,0.0,0.0,26.460000000000008
t59,92.54416960075342,63.87417103967355,0.016934834399995324,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,12.211576875999999,0.0,0.0,26.460000000000008
t60,92.54416960075342,63.87417103967355,0.016934834399995324,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,12.211576875999999,0.0,0.0,26.460000000000008
t61,92.54416960075342,63.87417103967355,0.016934834399995324,0.0,1.6,0.2,0.0,0.0,0.0,0.0,0.0,12.211576875999999,0.0,0.0,26.460000000000008
