Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
NGCC,1,3400.0,3400.0,27216.6328882419,27216.6328882419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGCT,1,8200.0,0.0,0.0,8200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGST,1,1060.0,0.0,0.0,1060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal,1,14700.0,14700.000000000002,0.0,-1.8189894035458565e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,1,2360.0,0.0,0.0,2360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Biomass,1,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SolarPV,1,40.0,0.0,32948.5671723356,32988.5671723356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,1,5720.0,0.0,18825.50418760001,24545.50418760001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro,1,480.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHS,1,480.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Li-ion,1,0.0,0.0,2415.8098631236567,2415.8098631236567,0.0,0.0,4181.018089793084,4181.018089793084,0.0,0.0,0.0,0.0
Retro_NGCC_CCS,1,0.0,0.0,2890.0,2890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retro_NGCC_H2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retro_Coal_TES,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Retro_Coal_SMR,1,0.0,0.0,5292.0,5292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,n/a,36460.0,18580.0,89588.51411130115,107468.51411130118,0.0,0.0,4181.018089793084,4181.018089793084,0.0,0.0,0.0,0.0
