Resource,NGCC,NGCT,NGST,Coal,Nuclear,Biomass,SolarPV,Wind,Hydro,PHS,Li-ion,Retro_NGCC_CCS,Retro_NGCC_H2,Retro_Coal_TES,Retro_Coal_SMR,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,3.069467085729251e7,408526.75133087893,164127.90760128043,0.0,6.8911999999999935e6,3824.1255411255406,1.7834747396898214e7,2.521321057480477e7,594862.4272887274,0.0,1.194199263531608e6,7.284200142768335e6,0.0,0.0,1.5452639999999989e7,1.0573620944705744e8
t1,10359.963631057764,0.0,0.0,0.0,2360.0,0.0,0.0,8623.523999768824,0.0,0.0,1331.7935291734082,2890.0,0.0,0.0,5292.0,30857.281159999995
t2,9369.906554693865,0.0,0.0,0.0,2360.0,0.0,0.0,9822.378755306137,0.0,0.0,0.0,2890.0,0.0,0.0,5292.0,29734.285310000003
t3,7128.892107763945,0.0,0.0,0.0,2360.0,0.0,0.0,12242.781272276317,0.0,0.0,0.0,2890.0,0.0,0.0,5292.0,29913.673380040265
t4,7133.514889163946,0.0,0.0,0.0,2360.0,0.0,0.0,14179.07651652559,0.0,0.0,0.0,2890.0,0.0,0.0,5292.0,31854.591405689534
t5,9890.622410148673,0.0,0.0,0.0,2360.0,0.0,0.0,9985.097259851322,480.0,0.0,0.0,2890.0,0.0,0.0,5292.0,30897.719669999995
t6,9892.864745953324,0.0,0.0,0.0,2360.0,0.0,3853.064645728798,8492.901368317876,0.0,0.0,0.0,2890.0,0.0,0.0,5292.0,32780.83076
t7,17366.013938685086,0.0,0.0,0.0,2360.0,0.0,3001.9596126825395,4811.210568632376,0.0,0.0,0.0,2890.0,0.0,0.0,5292.0,35721.18412
t8,17169.79650001424,0.0,0.0,0.0,2360.0,0.0,7448.818467513378,3395.3894124723843,480.0,0.0,0.0,2890.0,0.0,0.0,5292.0,39036.00438
t9,13343.733794798914,0.0,0.0,0.0,2360.0,0.0,12799.564062866213,5493.582752334879,480.0,0.0,0.0,2890.0,0.0,0.0,5292.0,42658.88061000001
t10,12593.539870253415,0.0,0.0,0.0,2360.0,0.0,16659.22642202948,6633.476457717107,0.0,0.0,0.0,2890.0,0.0,0.0,5292.0,46428.24275
t11,13214.001466616595,0.0,0.0,0.0,2360.0,0.0,18605.551885197277,7103.434818186126,0.0,0.0,0.0,2890.0,0.0,0.0,5292.0,49464.98817
t12,13002.21205195655,0.0,0.0,0.0,2360.0,0.0,19453.3580615263,8999.495366517138,0.0,0.0,0.0,2890.0,0.0,0.0,5292.0,51997.06547999999
t13,16582.814227867726,0.0,0.0,0.0,2360.0,0.0,19123.472389802944,7157.625302329325,0.0,0.0,0.0,2890.0,0.0,0.0,5292.0,53405.91192
t14,17145.178964240087,0.0,0.0,0.0,2360.0,0.0,18998.11583454807,7431.71665121184,0.0,0.0,0.0,2890.0,0.0,0.0,5292.0,54117.01145
t15,16233.613883056012,1349.0155220482748,0.0,0.0,2360.0,0.8000000000000007,17249.721774414287,8814.913420481429,0.0,0.0,0.0,2890.0,0.0,0.0,5292.0,54190.0646
t16,21587.052263936046,1349.0155220482748,212.0,0.0,2360.0,0.8000000000000007,13894.784492987756,5995.925911027925,0.0,0.0,0.0,2890.0,0.0,0.0,5292.0,53581.57819
t17,26113.50447770327,1349.0155220482748,212.0,0.0,2360.0,7.199999999999999,10282.536387617007,3917.3364026314543,480.0,0.0,0.0,2890.0,0.0,0.0,5292.0,52903.59279
t18,27216.6328882419,3398.7128838793615,890.4000000000001,0.0,2360.0,20.0,5522.286144648979,3049.6496632297535,480.0,0.0,0.0,2890.0,0.0,0.0,5292.0,51119.68158
t19,27216.6328882419,4309.669727581375,1060.0,0.0,2360.0,20.0,2421.3608304494333,519.9193106036362,480.0,0.0,2415.8098631236567,2890.0,0.0,0.0,5292.0,48985.39262
