Resource,NGCC,NGCT,NGST,Coal,Nuclear,Biomass,SolarPV,Wind,Hydro,PHS,Li-ion,Retro_NGCC_CCS,Retro_NGCC_H2,Retro_Coal_TES,Retro_Coal_SMR,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,544777.4306857034,0.0,0.0,0.0,0.0,544777.4306857034
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.6023436820309,0.0,0.0,0.0,0.0,458.6023436820309
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.6023436820309,0.0,0.0,0.0,0.0,458.6023436820309
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.6023436820309,0.0,0.0,0.0,0.0,458.6023436820309
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.60234368203083,0.0,0.0,0.0,0.0,458.60234368203083
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0702420644759,0.0,0.0,0.0,0.0,830.0702420644759
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.70783455833396,0.0,0.0,0.0,0.0,194.70783455833396
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,458.6023436820309,0.0,0.0,0.0,0.0,458.6023436820309
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.0702420644758,0.0,0.0,0.0,0.0,830.0702420644758
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.26889059917175,0.0,0.0,0.0,0.0,174.26889059917175
