BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.0688520811783871e8,441269.7188554197,-544777.4306857034,0.0,0.0,0.0,0.0,0.0,0.0,-1.2807434040600842e8
t1,25300.725934341994,371.467898382445,-458.6023436820309,0.0,0.0,0.0,6003.689670957593,0.0,0.0,-38509.28116
t2,30094.28531,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37386.28531
t3,21219.466822360977,371.467898382445,-458.6023436820309,0.0,0.0,0.0,8459.450652938609,0.0,0.0,-36883.78303
t4,22077.86682236098,371.467898382445,-458.6023436820309,0.0,0.0,0.0,8063.3287929386115,0.0,0.0,-37346.06117
t5,26779.482239002806,0.0,-0.0,0.0,0.0,0.0,4478.237430997191,0.0,0.0,-38549.71967
t6,24358.12033185504,371.46789838244507,-458.60234368203083,0.0,0.0,0.0,8869.84487344455,0.0,0.0,-40432.83076
t7,27653.570804685547,830.0702420644759,-0.0,0.0,0.0,0.0,7597.543073249972,0.0,0.0,-43373.18412
t8,36235.1209392,0.0,-830.0702420644759,0.0,0.0,0.0,3990.953682864465,0.0,0.0,-46688.00438
t9,28313.495252527828,0.0,-194.70783455833396,0.0,0.0,0.0,14900.093192030507,0.0,0.0,-50310.88061
t10,39666.79735034711,371.467898382445,-458.6023436820309,0.0,0.0,0.0,7208.579844952479,0.0,0.0,-54080.24275
t11,34680.8881757012,830.0702420644759,-0.0,0.0,0.0,0.0,14314.029752234326,0.0,0.0,-57116.98817
t12,30370.223621811136,1.1368683772161603e-13,-830.0702420644758,0.0,0.0,0.0,22816.912100253336,0.0,0.0,-59649.06548
t13,30690.152105004403,0.0,-0.0,0.0,0.0,0.0,23075.759814995596,0.0,0.0,-61057.91192
t14,28116.164416486492,655.8013514653042,-174.26889059917175,0.0,0.0,0.0,25879.31457264738,0.0,0.0,-61769.01145
t15,29094.010372773562,0.0,-0.0,0.0,0.0,0.0,25456.054227226443,0.0,0.0,-61842.0646
t16,30893.82229773008,0.0,-830.0702420644759,0.0,0.0,0.0,23877.8261343344,0.0,0.0,-61233.57819
t17,26283.826954150572,830.0702420644759,-0.0,0.0,0.0,0.0,26149.695593784956,0.0,0.0,-60555.59279
t18,24257.865541252817,1.1368683772161603e-13,-820.9485910527784,0.0,0.0,0.0,28042.764629799967,0.0,0.0,-58771.68158
t19,31888.072441721364,0.0,-0.0,0.0,0.0,0.0,17457.320178278635,0.0,0.0,-56637.39262
t20,29386.896225783014,0.0,-0.0,0.0,0.0,0.0,18448.889964216985,0.0,0.0,-55127.78619
t21,25410.744626836233,738.8537319475006,-91.21651011697531,0.0,0.0,0.0,18856.364461333247,0.0,0.0,-52206.74631
t22,33613.87491558219,0.0,-0.0,0.0,0.0,0.0,7469.62453441781,0.0,0.0,-48375.49945
t23,32937.085867533664,0.0,-0.0,0.0,0.0,0.0,4672.239642466338,0.0,0.0,-44901.32551
t24,35616.46433302805,0.0,-628.3804030280526,0.0,0.0,0.0,0.0,0.0,0.0,-42280.08393
t25,22647.98958795065,565.5423627252474,-264.52787933922855,0.0,0.0,0.0,10016.962018663336,0.0,0.0,-40257.96609
t26,31827.026510000003,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39119.02651
t27,31890.490332064473,0.0,-830.0702420644759,0.0,0.0,0.0,0.0,0.0,0.0,-38352.42009
t28,26527.660400294604,371.467898382445,-458.6023436820309,0.0,0.0,0.0,4930.499755004988,0.0,0.0,-38663.02571
t29,31694.239033927777,672.3568960722255,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39658.59593
t30,35129.77383206447,0.0,-830.0702420644759,0.0,0.0,0.0,0.0,0.0,0.0,-41591.70359
t31,18224.296302090537,371.467898382445,-458.6023436820309,0.0,0.0,0.0,19331.46067320905,0.0,0.0,-44760.62253
t32,15806.872465299732,0.0,-0.0,0.0,0.0,0.0,25386.117854700264,0.0,0.0,-48484.99032
t33,20980.254870895133,0.0,-0.0,0.0,0.0,0.0,24365.36442910487,0.0,0.0,-52637.6193
t34,21950.055180418836,0.0,-0.0,0.0,0.0,0.0,27530.54234958117,0.0,0.0,-56772.59753
t35,24314.435786930226,371.467898382445,-458.6023436820309,0.0,0.0,0.0,28379.599678369366,0.0,0.0,-59898.90102
t36,21034.33878648044,830.0702420644759,-0.0,0.0,0.0,0.0,33205.547741455084,0.0,0.0,-62361.95677
t37,26041.44698849004,1.1368683772161603e-13,-830.0702420644758,0.0,0.0,0.0,31484.62251357443,0.0,0.0,-63987.99926
t38,34022.39020748248,14.61558143102502,-0.0,0.0,0.0,0.0,23731.910651086495,0.0,0.0,-65060.91644
t39,33559.372440628365,730.823682934667,-99.24655912980893,0.0,0.0,0.0,23882.75963556677,0.0,0.0,-65365.7092
t40,27594.203313830098,8.119271779642828,-821.950970284833,0.0,0.0,0.0,30824.846954675086,0.0,0.0,-64897.21857
t41,28080.049270117168,738.8537319475006,-91.21651011697531,0.0,0.0,0.0,27820.578548052305,0.0,0.0,-63840.26504
t42,36108.66110212113,0.0,-830.0702420644759,0.0,0.0,0.0,19332.529299943344,0.0,0.0,-61903.12016
t43,33257.79742070619,672.3568960722255,-0.0,0.0,0.0,0.0,18237.311153221584,0.0,0.0,-59459.46547
t44,29246.291945562723,0.0,-0.0,0.0,0.0,0.0,20723.253134437276,0.0,0.0,-57261.54508
t45,28948.733445185844,0.0,-830.0702420644759,0.0,0.0,0.0,19056.302076878623,0.0,0.0,-54466.96528
t46,30080.362795368368,742.93579676489,-87.13444529958588,0.0,0.0,0.0,12804.876103166329,0.0,0.0,-50833.04025
t47,30435.675041090897,0.0,-830.0702420644759,0.0,0.0,0.0,10562.850230973576,0.0,0.0,-47460.45503
t48,26531.52745193994,742.93579676489,-87.13444529958588,0.0,0.0,0.0,10101.08292659476,0.0,0.0,-44580.41173
t49,19414.294085775487,0.0,-0.0,0.0,0.0,0.0,15486.00161422452,0.0,0.0,-42192.2957
t50,24048.52394512556,0.0,-830.0702420644759,0.0,0.0,0.0,9833.78342693892,0.0,0.0,-40344.23713
t51,16509.787080714857,0.0,-194.70783455833396,0.0,0.0,0.0,15517.978163843483,0.0,0.0,-39125.05741
t52,22198.439153259726,742.93579676489,-87.13444529958588,0.0,0.0,0.0,8401.613205274973,0.0,0.0,-38547.85371
t53,22678.439153259726,0.0,-830.0702420644759,0.0,0.0,0.0,8775.725788804755,0.0,0.0,-37916.0947
t54,29925.725181860027,826.0330351022227,-4.037206962253343,0.0,0.0,0.0,0.0,0.0,0.0,-38039.72101
t55,24658.77450934571,8.119271779642828,-821.950970284833,0.0,0.0,0.0,9635.57129915948,0.0,0.0,-40772.51411
t56,27965.72533655763,738.8537319475006,-91.21651011697531,0.0,0.0,0.0,8871.648041611845,0.0,0.0,-44777.0106
t57,22109.814509345706,0.0,-0.0,0.0,0.0,0.0,19936.51752065429,0.0,0.0,-49338.33203
