Resource,NGCC,NGCT,NGST,Coal,Nuclear,Biomass,SolarPV,Wind,Hydro,PHS,Li-ion,Retro_NGCC_CCS,Retro_NGCC_H2,Retro_Coal_TES,Retro_Coal_SMR,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Sum,-8.861743248043917e-13,151752.74297499377,9520.052853706804,-1.3465069059748203e-9,0.0,1308.6387280442925,0.0,0.0,0.0,0.0,0.0,1.9686722987466312e6,546680.8802674207,0.0,0.0,2.6779346135707954e6
t1,0.0,610.199203856702,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,192.63085292323888,1710.3903444115556,0.0,0.0,2518.2204011914964
t2,0.0,610.199203856702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3607.9675351845394,0.0,0.0,0.0,4218.166739041241
t3,0.0,610.199203856702,0.0,0.0,0.0,0.4999999999999998,0.0,0.0,0.0,0.0,0.0,3607.9675351845394,2936.61613898257,0.0,0.0,7155.2828780238115
t4,0.0,0.0,0.0,0.0,0.0,0.4999999999999998,0.0,0.0,0.0,0.0,0.0,3607.9675351845394,0.0,0.0,0.0,3608.4675351845394
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3607.9675351845394,0.0,0.0,0.0,3607.9675351845394
t6,0.0,0.0,0.0,0.0,0.0,0.4999999999999998,0.0,0.0,0.0,0.0,0.0,3607.9675351845394,0.0,0.0,0.0,3608.4675351845394
t7,0.0,0.0,0.0,0.0,0.0,0.4999999999999998,0.0,0.0,0.0,0.0,0.0,3607.9675351845394,0.0,0.0,0.0,3608.4675351845394
t8,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3607.9675351845394,1532.7822432137687,0.0,0.0,5145.749778398308
t9,0.0,0.0,114.99999999999997,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3607.9675351845394,2227.7043514962024,0.0,0.0,5955.671886680742
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3607.9675351845394,2227.7043514962024,0.0,0.0,5835.671886680742
