Resource,Zone,StartCap_p1,EndCap_p1,EndCap_p2,EndCap_p3
NGCC,1,3400,27216.63289,18377.23281,0
NGCT,1,8200,8200,6200,3813.745024
NGST,1,1060,1060,860,460
Coal,1,14700,-1.82E-12,-1.82E-12,-1.82E-12
Nuclear,1,2360,2360,2000,1600
Biomass,1,20,20,20,20
SolarPV,1,40,32988.56717,28329.94708,41360.64037
Wind,1,5720,24545.50419,27352.04671,29404.26606
Hydro,1,480,480,480,480
PHS,1,480,0,0,0
Li-ion,1,0,2415.809863,830.0702421,6323.917261
Retro_NGCC_CCS,1,0,2890,15282.45956,18914.91545
Retro_NGCC_H2,1,0,0,0,12359.57745
Retro_Coal_TES,1,0,0,0,0
Retro_Coal_SMR,1,0,5292,5292,5292
Total,n/a,36460,107468.5141,105023.7564,120029.0616
