region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MO,NGCC,1,1,1,9.479387236783454e8,0.0,2.843816171035035e8,0.0,2.030208192197374e8,1.7784623763648994e9,0.0,2.7320015245271754e8,0.0,6.364845e9,0.0,0.0,0.0,2.877841319565992e9,0.0,6.364845056e9,6.364845008385196e9,47.6148042678833
MO,NGCT,1,1,2,0.0,0.0,9.02e7,0.0,4.326168903919925e6,5.567779379344942e7,0.0,1.950970780720757e7,0.0,3.18477e8,0.0,0.0,0.0,9.062898014331843e7,0.0,3.18476992e8,2.6034265064789534e8,5.8134341352104664e7
MO,NGST,1,1,3,0.0,0.0,1.166e7,0.0,1.8858194092884657e6,2.053657336715139e7,0.0,6.988418092267087e6,0.0,9.0123064e7,0.0,0.0,0.0,3.341537627540376e7,0.0,9.0123064e7,7.44861871441107e7,1.5636876855889305e7
MO,Coal,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Nuclear,1,1,5,0.0,0.0,2.36e8,0.0,4.1347200000000015e7,1.0137919968000002e8,0.0,0.0,0.0,1.1115889e9,0.0,0.0,0.0,0.0,0.0,1.111588864e9,3.7872639968e8,7.328624643199999e8
MO,Biomass,1,1,6,0.0,0.0,2.0e6,0.0,69771.15384615386,185033.10000000006,0.0,97830.42857142861,0.0,2.119965e6,0.0,0.0,0.0,833614.906019064,0.0,2.119965e6,3.1862495884366464e6,-1.0662845884366464e6
MO,SolarPV,1,1,7,1.851055667530611e9,0.0,5.145821298696142e8,0.0,0.0,0.0,0.0,0.0,0.0,2.367078e9,0.0,0.0,0.0,0.0,0.0,2.367077888e9,2.365637797400225e9,1.4400905997748375e6
MO,Wind,1,1,8,1.6021847418578632e9,0.0,1.2969231612385757e9,0.0,7.808993711105708e6,0.0,0.0,0.0,0.0,3.2501169e9,0.0,0.0,0.0,0.0,0.0,3.250116864e9,2.9069168968075447e9,3.431999671924553e8
MO,Hydro,1,1,9,0.0,0.0,8.64e6,0.0,170355.2723792097,0.0,0.0,0.0,0.0,1.5072878e8,0.0,0.0,0.0,0.0,0.0,1.50728784e8,8.81035527237921e6,1.4191842872762078e8
MO,PHS,1,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Li-ion,1,0,11,1.0644447731814502e8,2.7525782784845096e8,2.6611119329536255e7,6.606187868362824e7,1.460434000396585e6,0.0,1.803004938761219e6,0.0,1.11013224e8,5.699905e8,0.0,0.0,0.0,0.0,0.0,5.69990528e8,5.886519661189184e8,-1.866143811891842e7
MO,Retro_NGCC_CCS,1,1,12,1.734e8,0.0,4.624e7,0.0,4.943159736638577e7,4.9316256972530895e8,0.0,3.272941482497044e7,0.0,1.3209038e9,0.0,0.0,0.0,6.98420827919446e7,0.0,1.320903808e9,8.648056647086098e8,4.560981432913902e8
MO,Retro_NGCC_H2,1,1,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Retro_Coal_TES,1,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MO,Retro_Coal_SMR,1,1,15,1.03194e9,0.0,3.28104e7,0.0,3.4768440000000104e7,2.273299680959999e8,0.0,0.0,0.0,2.4925965e9,0.0,0.0,0.0,0.0,0.0,2.49259648e9,1.326848808096e9,1.165747671904e9
