BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,3.089917669936077e8,9.736226669310568e6,-1.2020032925074777e7,0.0,0.0,0.0,0.0,0.0,0.0,-3.7373948073784345e8
t1,45856.01992000004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53508.01992
t2,46057.83034,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53709.83034
t3,46694.863600000004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54346.8636
t4,47425.54946,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55077.54946
t5,48480.413920000006,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56132.41392
t6,47432.87989201962,2021.352237980377,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57106.23213
t7,45041.648211214844,4708.887028785152,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57402.53524
t8,46665.1177542213,3179.0425357787058,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57496.16029
t9,48992.20868000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56644.20868
t10,47944.891480000006,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55596.89148
t11,46354.08452,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54006.08452
t12,48625.02675831504,0.0,-3967.8980083150464,0.0,0.0,0.0,0.0,0.0,0.0,-52309.12875
t13,47279.27570291032,0.0,-3819.0047729103144,0.0,0.0,0.0,0.0,0.0,0.0,-51112.27093
t14,46108.819915436725,0.0,-3323.061355436721,0.0,0.0,0.0,0.0,0.0,0.0,-50437.75856
t15,44255.50333104684,0.0,-1123.71710104685,0.0,0.0,0.0,0.0,0.0,0.0,-50783.78623
t16,46133.87896000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53785.87896
t17,44130.20642409275,5322.223865907251,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57104.43029
t18,50635.91040999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58287.91041
t19,51068.24794,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58720.24794
t20,51128.7925,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58780.7925
t21,51717.947756583606,0.0,-1369.4654965836007,0.0,0.0,0.0,0.0,0.0,0.0,-58000.48226
t22,50453.93082688237,0.0,-961.9141568823721,0.0,0.0,0.0,0.0,0.0,0.0,-57144.01667
t23,48801.25342,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56453.25342
t24,48534.72740999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56186.72741
t25,48771.00255999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56423.00256
t26,49433.33805,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57085.33805
t27,50205.690919999994,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57857.69092
t28,51516.378039999996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59168.37804
t29,54450.08935903265,0.0,-745.5139790326514,0.0,0.0,0.0,0.0,0.0,0.0,-61356.57538
t30,55874.82439,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63526.82439
t31,53760.71609788659,2578.3895921134103,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63991.10569
t32,50497.04096420872,4393.763085791285,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62542.80405
t33,52782.997458943835,107.18910105617496,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60542.18656
t34,50664.42349,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58316.42349
t35,53775.05078590725,0.0,-5322.223865907251,0.0,0.0,0.0,0.0,0.0,0.0,-56104.82692
t36,49798.10130873818,1111.8782635845346,-4210.345602322716,0.0,0.0,0.0,0.0,0.0,0.0,-54351.63397
t37,39867.51601409274,5322.223865907251,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52841.73988
t38,49498.66549590725,0.0,-5322.223865907251,0.0,0.0,0.0,0.0,0.0,0.0,-51828.44163
t39,49814.453885907256,0.0,-5322.223865907251,0.0,0.0,0.0,0.0,0.0,0.0,-52144.23002
t40,47318.38539316154,2381.768691372858,-2940.455174534393,0.0,0.0,0.0,0.0,0.0,0.0,-54411.69891
t41,49813.353722706604,232.80938729340815,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57698.16311
t42,51043.698430000004,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58695.69843
t43,51313.58878,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58965.58878
t44,46520.2662094564,4323.117220543601,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58495.38343
t45,49368.09549000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57020.09549
