Resource,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,SolarPV,Retro_NGCC_CCS,Retro_NGCC_H2
Zone,1,1,1,1,1,1,1
t1,0.0,153.41244089999998,0.0,0.0,0.0,0.0,14.45
t2,0.0,153.41244089999998,0.0,0.0,0.0,0.0,14.45
t3,0.0,153.41244089999998,0.0,0.0,0.0,0.0,14.45
t4,0.0,153.41244089999998,0.0,0.0,0.0,0.0,14.45
t5,0.0,153.41244089999998,0.0,0.0,0.0,0.0,14.45
t6,0.0,153.41244089999998,0.0,0.0,0.0,0.0,14.45
t7,0.0,153.41244089999998,0.0,0.0,0.0,0.0,14.45
t8,0.0,153.41244089999998,0.0,0.0,0.0,0.0,14.45
t9,0.0,0.0,0.0,0.0,0.0,0.0,13.004999999999997
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,0.0,0.0,0.0,8.128124999999999
t18,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.449999999999998
t19,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t20,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t21,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t22,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t23,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t24,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t25,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t26,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t27,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t28,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t29,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t30,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t31,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t32,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t33,0.0,0.0,0.0,0.0,0.0,0.0,13.005
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t41,0.0,0.0,0.0,0.0,0.0,0.0,8.128124999999999
t42,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.449999999999998
t43,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t44,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t45,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t46,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t47,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t48,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t49,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t50,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t51,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t52,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t53,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t54,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t55,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t56,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.449999999999998
t57,0.0,0.0,0.0,0.0,0.0,0.0,13.004999999999999
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t64,0.0,0.0,0.0,0.0,0.0,0.0,8.128124999999999
t65,0.0,116.4698402211335,0.0,0.0,0.0,0.0,14.449999999999998
t66,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t67,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t68,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t69,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t70,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t71,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t72,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t73,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t74,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t75,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t76,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t77,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t78,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t79,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t80,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t81,0.0,0.0,0.0,0.0,0.0,0.0,13.005
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t89,0.0,0.0,0.0,0.0,0.0,0.0,8.128124999999999
t90,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.449999999999998
t91,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t92,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t93,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t94,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t95,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t96,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t97,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t98,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t99,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t100,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t101,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t102,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t103,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t104,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t105,0.0,0.0,0.0,0.0,0.0,0.0,13.005
t106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t107,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t109,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t110,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t112,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t113,0.0,0.0,0.0,0.0,0.0,0.0,8.128124999999999
t114,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.449999999999998
t115,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t116,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t117,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t118,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t119,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t120,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t121,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t122,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t123,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t124,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t125,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t126,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t127,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t128,0.0,174.0353539659329,0.0,0.0,0.0,0.0,14.45
t129,0.0,0.0,0.0,0.0,0.0,0.0,13.005
t130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t131,0.0,0.0,0.0,0.0,0.0,0.0,0.0
