Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
50000,1,1,1,11,168,336.92307692307696,1,46761.161
,,,,,,505.3846153846154,2,46780.46639
,,,,,,2526.9230769230767,3,47198.62088
,,,,,,842.3076923076924,4,48606.17931
,,,,,,1179.2307692307693,5,50782.48348
,,,,,,168.46153846153848,6,52667.75118
,,,,,,1347.6923076923078,7,53165.11428
,,,,,,336.92307692307696,8,52739.05583
,,,,,,505.3846153846154,9,51740.92771
,,,,,,842.3076923076924,10,50533.08104
,,,,,,168.46153846153848,11,49242.45709
,,,,,,,12,48003.02858
,,,,,,,13,47054.9559
,,,,,,,14,46353.09219
,,,,,,,15,46634.54127
,,,,,,,16,47966.68262
,,,,,,,17,50450.03495
,,,,,,,18,51388.06334
,,,,,,,19,51574.08826
,,,,,,,20,51328.9708
,,,,,,,21,50255.52323
,,,,,,,22,48989.86104
,,,,,,,23,48634.41311
,,,,,,,24,48365.47833
,,,,,,,25,48847.35511
,,,,,,,26,49424.35707
,,,,,,,27,50293.75121
,,,,,,,28,51857.79773
,,,,,,,29,54788.56176
,,,,,,,30,57096.54403
,,,,,,,31,58371.21457
,,,,,,,32,58169.1796
,,,,,,,33,58025.17838
,,,,,,,34,57127.75896
,,,,,,,35,56197.7277
,,,,,,,36,55703.22321
,,,,,,,37,54941.3996
,,,,,,,38,54314.97827
,,,,,,,39,54607.84304
,,,,,,,40,56258.47691
,,,,,,,41,59322.61795
,,,,,,,42,60148.8847
,,,,,,,43,60245.16473
,,,,,,,44,59628.12604
,,,,,,,45,58665.74938
,,,,,,,46,57667.31469
,,,,,,,47,57018.42633
,,,,,,,48,56660.78929
,,,,,,,49,57182.65056
,,,,,,,50,57154.94141
,,,,,,,51,58063.30772
,,,,,,,52,59528.96371
,,,,,,,53,61289.6252
,,,,,,,54,62931.4009
,,,,,,,55,63251.15097
,,,,,,,56,63075.5437
,,,,,,,57,61759.20977
,,,,,,,58,60218.15
,,,,,,,59,58264.80378
,,,,,,,60,56278.53152
,,,,,,,61,54510.92394
,,,,,,,62,53318.58548
,,,,,,,63,53147.43574
,,,,,,,64,55055.50251
,,,,,,,65,58494.02708
,,,,,,,66,56105.15796
,,,,,,,67,59609.80085
,,,,,,,68,59240.44978
,,,,,,,69,58041.91449
,,,,,,,70,56681.88511
,,,,,,,71,55979.24664
,,,,,,,72,55910.98507
,,,,,,,73,55625.8423
,,,,,,,74,55841.03215
,,,,,,,75,56502.58012
,,,,,,,76,57826.19872
,,,,,,,77,60230.95069
,,,,,,,78,62220.30692
,,,,,,,79,62000.10617
,,,,,,,80,59796.52866
,,,,,,,81,56713.68959
,,,,,,,82,53980.43517
,,,,,,,83,51353.32356
,,,,,,,84,49053.88526
,,,,,,,85,47066.57565
,,,,,,,86,45338.9912
,,,,,,,87,45590.98055
,,,,,,,88,47277.50848
,,,,,,,89,50453.9915
,,,,,,,90,51994.79105
,,,,,,,91,52288.73037
,,,,,,,92,52086.72987
,,,,,,,93,51006.90988
,,,,,,,94,49565.89192
,,,,,,,95,48476.66919
,,,,,,,96,48625.697
,,,,,,,97,48491.32903
,,,,,,,98,48905.89075
,,,,,,,99,49787.58029
,,,,,,,100,51465.64327
,,,,,,,101,54498.79535
,,,,,,,102,56660.15304
,,,,,,,103,56621.05919
,,,,,,,104,53995.18649
,,,,,,,105,50663.91017
,,,,,,,106,47878.11413
,,,,,,,107,45448.42688
,,,,,,,108,43624.15541
,,,,,,,109,41518.66489
,,,,,,,110,41005.84212
,,,,,,,111,40866.36931
,,,,,,,112,42075.39
,,,,,,,113,44432.40934
,,,,,,,114,45243.68802
,,,,,,,115,45219.02463
,,,,,,,116,44710.47804
,,,,,,,117,43671.20583
,,,,,,,118,42136.47637
,,,,,,,119,40654.63583
,,,,,,,120,39861.07964
,,,,,,,121,38830.09493
,,,,,,,122,38394.30057
,,,,,,,123,38241.49259
,,,,,,,124,38766.89653
,,,,,,,125,39635.32823
,,,,,,,126,40746.02286
,,,,,,,127,41868.3296
,,,,,,,128,42427.47463
,,,,,,,129,42107.44783
,,,,,,,130,41151.2992
,,,,,,,131,39765.01124
,,,,,,,132,38305.63117
,,,,,,,133,37198.06983
,,,,,,,134,36446.93272
,,,,,,,135,36243.52342
,,,,,,,136,37043.65232
,,,,,,,137,39017.42551
,,,,,,,138,39532.14611
,,,,,,,139,39454.11728
,,,,,,,140,38846.70944
,,,,,,,141,37947.45212
,,,,,,,142,36696.24848
,,,,,,,143,35729.14407
,,,,,,,144,35173.50579
,,,,,,,145,34528.98808
,,,,,,,146,34392.59975
,,,,,,,147,34551.18429
,,,,,,,148,34968.88272
,,,,,,,149,35555.49438
,,,,,,,150,36616.02813
,,,,,,,151,37558.3039
,,,,,,,152,38085.94987
,,,,,,,153,37600.01935
,,,,,,,154,36724.44145
,,,,,,,155,36034.57765
,,,,,,,156,35372.52548
,,,,,,,157,34873.13003
,,,,,,,158,34443.62671
,,,,,,,159,34415.76855
,,,,,,,160,35638.26169
,,,,,,,161,37945.4781
,,,,,,,162,38682.52843
,,,,,,,163,38496.03877
,,,,,,,164,37688.47516
,,,,,,,165,36415.22694
,,,,,,,166,34737.32995
,,,,,,,167,33572.48818
,,,,,,,168,33137.04315
,,,,,,,169,36938.37705
,,,,,,,170,37357.63232
,,,,,,,171,38432.37409
,,,,,,,172,40534.04136
,,,,,,,173,44350.3428
,,,,,,,174,47419.58814
,,,,,,,175,47665.58589
,,,,,,,176,46178.93105
,,,,,,,177,44597.17524
,,,,,,,178,43234.39283
,,,,,,,179,41979.30764
,,,,,,,180,41082.90526
,,,,,,,181,40444.08706
,,,,,,,182,40191.41023
,,,,,,,183,40478.23589
,,,,,,,184,41829.76917
,,,,,,,185,44903.69022
,,,,,,,186,46186.37475
,,,,,,,187,46448.21106
,,,,,,,188,45938.60666
,,,,,,,189,44606.2992
