Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,Total
Zone,1,1,1,1,0
AnnualSum,0.0,8.4546953125e7,7.38597119140625e6,0.0,9.193292431640625e7
t1,10.819206390496168,0.0,5429.59697013268,49469.16206030607,54909.57823682925
t2,10.819206390496168,0.0,5356.356033125628,49469.7043885327,54836.879628048824
t3,10.819206390496168,0.0,5513.246441055955,49470.31961215562,54994.385259602066
t4,10.819206390496168,0.0,5462.771513922152,49470.49969865431,54944.09041896696
t5,10.819206390496168,0.0,4621.251682927277,49469.69289336992,54101.76378268769
t6,10.819206390496168,0.0,3850.3123678974853,49468.744413711596,53329.87598799958
t7,10.819206390496168,0.0,3400.239238052548,49467.91495500158,52878.97339944462
t8,10.819206390496168,0.0,3705.805622227808,49467.87846502196,53184.503293640264
t9,10.819206390496168,20910.235405441606,2586.5410499640975,49475.06156871306,72982.65723050927
t10,10.819206390496168,50424.34507551686,45.63687025087772,49475.06156871306,99955.86272087129
t11,10.819206390496168,67567.33918982782,15.491358797146393,49475.06156871306,117068.71132372854
t12,10.819206390496168,76226.76172138617,13.156404548543842,49475.06156871306,125725.79890103827
t13,10.819206390496168,73028.84475805974,27.191866076161713,49475.06156871306,122541.91739923946
t14,10.819206390496168,70092.78710305638,47.10792325392685,49475.06156871306,119625.77580141387
t15,10.819206390496168,58969.07817101052,616.0534632235451,49475.06156871306,109071.01240933762
t16,10.819206390496168,38943.79879099443,1232.7527586175856,49475.06156871306,89662.43232471557
t17,10.819206390496168,7546.020871440983,866.1622106594178,49469.86386253383,57892.866151024726
t18,10.819206390496168,0.0,3460.3181003608,49463.760076443934,52934.89738319523
t19,10.819206390496168,0.0,5773.221890878524,49466.16164794623,55250.202745215254
t20,10.819206390496168,0.0,5635.115581889552,49466.47243635511,55112.40722463516
t21,10.819206390496168,0.0,5818.14535826028,49467.18189159453,55296.14645624531
t22,10.819206390496168,0.0,5670.579166228526,49467.76766592132,55149.16603854034
t23,10.819206390496168,0.0,5184.344429300616,49468.19018541624,54663.353821107354
t24,10.819206390496168,0.0,4061.7207193370327,49468.08539737353,53540.625323101056
t25,10.819206390496168,0.0,3218.8263057368968,49468.10416823782,52697.74968036521
t26,10.819206390496168,0.0,3955.726092900013,49469.36398426576,53435.90928355627
t27,10.819206390496168,0.0,3883.097705467881,49469.54221336211,53363.459125220485
t28,10.819206390496168,0.0,5582.923416647801,49471.300631654594,55065.04325469289
t29,10.819206390496168,0.0,5234.071139715287,49470.74621601689,54715.63656212267
t30,10.819206390496168,0.0,5033.241548422027,49470.02300679162,54514.083761604146
t31,10.819206390496168,0.0,3579.955308878241,49467.78398199439,53058.558497263126
t32,10.819206390496168,0.0,2965.6725131111957,49466.5260122077,52443.01773170939
t33,10.819206390496168,18806.28254564731,3456.8572758563614,49475.06156871306,71749.02059660724
t34,10.819206390496168,40174.921088139075,4532.257002603793,49475.06156871306,94193.05886584643
t35,10.819206390496168,58205.44447877843,5676.996012280314,49475.06156871306,113368.3212661623
