Resource,natural_gas_combined_cycle,solar_pv,onshore_wind_1,onshore_wind_2,onshore_wind_3,battery
Zone,1,1,1,1,1,1
n1,0.0,0.0,0.0,0.0,0.0,9.681427216593473
n2,0.0,0.0,0.0,0.0,0.0,8.38010429913696
n3,0.0,0.0,0.0,0.0,0.0,5.599800215517543
n4,0.0,0.0,0.0,0.0,0.0,4.298477298061032
n5,0.0,0.0,0.0,0.0,0.0,16.58255034956753
n6,0.0,0.0,0.0,0.0,0.0,15.281227432111017
n7,0.0,0.0,0.0,0.0,0.0,8.331301524095494
n8,0.0,0.0,0.0,0.0,0.0,1.3813756160799713
n9,0.0,0.0,0.0,0.0,0.0,13.66544866758647
n10,0.0,0.0,0.0,0.0,0.0,25.949521719092967
n11,0.0,0.0,0.0,0.0,0.0,18.99959581107744
n12,0.0,0.0,0.0,0.0,0.0,31.28366886258394
n13,0.0,0.0,0.0,0.0,0.0,24.333742954568418
n14,0.0,0.0,0.0,0.0,0.0,17.383817046552895
n15,0.0,0.0,0.0,0.0,0.0,29.66789009805939
n16,0.0,0.0,0.0,0.0,0.0,21.78387095704522
n17,0.0,0.0,0.0,0.0,0.0,14.833945049029696
n18,0.0,0.0,0.0,0.0,0.0,14.833945049029696
n19,0.0,0.0,0.0,0.0,0.0,7.884019141014172
n20,0.0,0.0,0.0,0.0,0.0,7.884019141014172
n21,0.0,0.0,0.0,0.0,0.0,7.884019141014172
n22,0.0,0.0,0.0,0.0,0.0,0.0
n23,0.0,0.0,0.0,0.0,0.0,0.0
n24,0.0,0.0,0.0,0.0,0.0,0.0
n25,0.0,0.0,0.0,0.0,0.0,0.0
n26,0.0,0.0,0.0,0.0,0.0,1.688008485825582
n27,0.0,0.0,0.0,0.0,0.0,0.0
n28,0.0,0.0,0.0,0.0,0.0,1.688008485825582
n29,0.0,0.0,0.0,0.0,0.0,3.376016971651164
n30,0.0,0.0,0.0,0.0,0.0,2.6576277566619986
n31,0.0,0.0,0.0,0.0,0.0,16.15472385039741
n32,0.0,0.0,0.0,0.0,0.0,17.842732336222994
n33,0.0,0.0,0.0,0.0,0.0,19.530740822048575
n34,0.0,0.0,0.0,0.0,0.0,17.842732336222998
n35,0.0,0.0,0.0,0.0,0.0,19.53074082204858
n36,0.0,0.0,0.0,0.0,0.0,21.21874930787416
n37,0.0,0.0,0.0,0.0,0.0,13.334730166859986
n38,0.0,0.0,0.0,0.0,0.0,15.022738652685568
n39,0.0,0.0,0.0,0.0,0.0,13.334730166859986
n40,0.0,0.0,0.0,0.0,0.0,5.450711025845814
n41,0.0,0.0,0.0,0.0,0.0,5.4507110258458145
n42,0.0,0.0,0.0,0.0,0.0,3.762702540020233
n43,0.0,0.0,0.0,0.0,0.0,3.762702540020233
n44,0.0,0.0,0.0,0.0,0.0,3.762702540020233
n45,0.0,0.0,0.0,0.0,0.0,2.074694054194651
n46,0.0,0.0,0.0,0.0,0.0,0.3866855683690691
n47,0.0,0.0,0.0,0.0,0.0,1.688008485825582
n48,0.0,0.0,0.0,0.0,0.0,0.0
n49,0.0,0.0,0.0,0.0,0.0,1.3013229174565126
n50,0.0,0.0,0.0,0.0,0.0,0.0
n51,0.0,0.0,0.0,0.0,0.0,12.284073051506498
n52,0.0,0.0,0.0,0.0,0.0,10.982750134049986
