Resource,natural_gas_combined_cycle,solar_pv,onshore_wind_1,onshore_wind_2,onshore_wind_3,battery,Total
Zone,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,2.8122834e7,2.8122834e7
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0,0.0,2380.9368934241115,2380.9368934241115
t4,0.0,0.0,0.0,0.0,0.0,6534.264200387185,6534.264200387185
t5,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t8,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t9,0.0,0.0,0.0,0.0,0.0,5969.705694606146,5969.705694606146
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t12,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0,0.0,6787.299915240305,6787.299915240305
t15,0.0,0.0,0.0,0.0,0.0,5455.344487556532,5455.344487556532
t16,0.0,0.0,0.0,0.0,0.0,4079.2484436233226,4079.2484436233226
t17,0.0,0.0,0.0,0.0,0.0,3261.7452347090134,3261.7452347090134
t18,0.0,0.0,0.0,0.0,0.0,3041.9074934488845,3041.9074934488845
t19,0.0,0.0,0.0,0.0,0.0,4123.3103203810415,4123.3103203810415
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,0.0,0.0,606.3771868264982,606.3771868264982
t24,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t25,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t28,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t29,0.0,0.0,0.0,0.0,0.0,3880.4804017905735,3880.4804017905735
t30,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t31,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0,0.0,4387.133692121373,4387.133692121373
t34,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t35,0.0,0.0,0.0,0.0,0.0,3802.9938385240757,3802.9938385240757
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t38,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t39,0.0,0.0,0.0,0.0,0.0,6724.892476347581,6724.892476347581
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t42,0.0,0.0,0.0,0.0,0.0,7020.648453613837,7020.648453613837
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t44,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t45,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t46,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
