Resource,natural_gas_combined_cycle,solar_pv,onshore_wind_1,onshore_wind_2,onshore_wind_3,battery,Total
Zone,1,1,1,1,1,1,0
AnnualSum,0.0,3.659571044921875e6,5.327092578125e7,0.0,0.0,0.0,5.6930496826171875e7
t1,9733.872061941627,0.0,4923.271584697975,0.0,0.0,7016.248023235336,21673.391669874938
t2,9733.872061941627,0.0,7961.135156051228,0.0,0.0,7019.737927711165,24714.74514570402
t3,9733.872061941627,0.0,12182.741956530685,0.0,0.0,7021.847823450854,28938.461841923167
t4,9733.872061941627,0.0,15773.890896746192,0.0,0.0,7021.36023982779,32529.12319851561
t5,9733.872061941627,0.0,19380.809035635633,0.0,0.0,7021.847823450854,36136.52892102811
t6,9733.872061941627,0.0,21865.64043533575,0.0,0.0,7014.825975627403,38614.33847290478
t7,9733.872061941627,0.0,23428.070806519285,0.0,0.0,7021.847823450854,40183.79069191177
t8,9733.872061941627,0.0,24307.58789354911,0.0,0.0,7021.847823450854,41063.307778941584
t9,9733.872061941627,488.2150787438178,24482.381538715155,0.0,0.0,7020.795681322009,41725.264360722605
t10,9733.872061941627,725.4428107825339,23767.775796232763,0.0,0.0,7014.825975627403,41241.91664458433
t11,9733.872061941627,1258.0853134167319,23098.06904900539,0.0,0.0,7021.847823450854,41111.8742478146
t12,9733.872061941627,1798.7130679967124,21956.265015292396,0.0,0.0,7021.847823450854,40510.69796868159
t13,9733.872061941627,1576.6688858438083,20765.256988681635,0.0,0.0,7014.825975627403,39090.623912094474
t14,9733.872061941627,1042.4211000186249,18761.507155004107,0.0,0.0,7021.613275542643,36559.413592507
t15,9733.872061941627,695.5286282771634,16401.198682233386,0.0,0.0,7020.281320114959,33850.88069256714
t16,9733.872061941627,284.51937880594693,14248.582035926049,0.0,0.0,7018.905224071026,31285.878700744648
t17,9733.872061941627,0.0,14048.580003321205,0.0,0.0,7018.087720862112,30800.539786124948
t18,9733.872061941627,0.0,14804.14819628347,0.0,0.0,7017.867883120852,31555.88814134595
t19,9733.872061941627,0.0,17106.09940815981,0.0,0.0,7018.949285947784,33858.92075604922
t20,9733.872061941627,0.0,20013.65078778909,0.0,0.0,7014.825975627403,36762.34882535812
t21,9733.872061941627,0.0,22776.66677686605,0.0,0.0,7014.825975627403,39525.36481443508
t22,9733.872061941627,0.0,23924.923109171126,0.0,0.0,7014.825975627403,40673.62114674016
t23,9733.872061941627,0.0,24273.872728678503,0.0,0.0,7015.4323528142295,41023.177143434354
t24,9733.872061941627,0.0,24710.891053515985,0.0,0.0,7021.847823450854,41466.61093890846
t25,9733.872061941627,0.0,24963.382937047074,0.0,0.0,7021.847823450854,41719.102822439556
t26,9733.872061941627,0.0,24971.941481053804,0.0,0.0,7014.825975627403,41720.63951862283
