Resource,natural_gas_combined_cycle,solar_pv,onshore_wind_1,onshore_wind_2,onshore_wind_3,battery,Total
Zone,1,1,1,1,1,1,0
AnnualSum,1.829366e6,1.0391562e7,1.4128619e7,0.0,0.0,4.8992235e6,3.1248772e7
t1,0.0,0.0,4928.199784482458,0.0,0.0,5599.800215517543,10528.0
t2,0.0,0.0,7969.104260311539,0.0,0.0,2109.8957396884616,10079.0
t3,0.0,0.0,12194.936893424112,0.0,0.0,0.0,12194.936893424112
t4,0.0,0.0,15789.680577323517,0.0,0.0,487.5836230636681,16277.264200387186
t5,0.0,0.0,16838.847823450855,0.0,0.0,0.0,16838.847823450855
t6,0.0,0.0,3081.152176549146,0.0,0.0,7021.847823450854,10103.0
t7,0.0,0.0,17676.84782345085,0.0,0.0,0.0,17676.84782345085
t8,0.0,0.0,18255.847823450855,0.0,0.0,0.0,18255.847823450855
t9,0.0,488.7037825263441,16468.859783235093,0.0,0.0,1052.1421288447082,18009.705694606146
t10,0.0,726.1689797622962,4915.9831967868495,0.0,0.0,7021.847823450854,12664.0
t11,0.0,1259.3446580748068,18820.50316537605,0.0,0.0,0.0,20079.847823450855
t12,0.0,1800.5135815782908,18525.334241872562,0.0,0.0,0.0,20325.847823450855
t13,0.0,1578.247132976785,4745.905043572361,0.0,0.0,7021.847823450854,13346.0
t14,0.0,1043.4645645832081,18780.28744244655,0.0,0.0,234.54790821054817,20058.29991524031
t15,0.0,696.2248531302937,16417.616298531917,0.0,0.0,1566.5033358943213,18680.344487556533
t16,0.0,284.80418298893585,14262.844880806857,0.0,0.0,2942.599379827531,17490.248443623324
t17,0.0,0.0,14062.642645967173,0.0,0.0,3760.10258874184,17822.745234709015
t18,0.0,0.0,14818.967163446916,0.0,0.0,3979.940330001969,18798.907493448885
t19,0.0,0.0,16957.77281731123,0.0,0.0,2898.537503069812,19856.310320381042
t20,0.0,0.0,8304.152176549147,0.0,0.0,7021.847823450854,15326.0
t21,0.0,0.0,7772.152176549147,0.0,0.0,7021.847823450854,14794.0
t22,0.0,0.0,6900.152176549147,0.0,0.0,7021.847823450854,13922.0
t23,0.0,0.0,6963.906550202143,0.0,0.0,6415.470636624355,13379.3771868265
t24,0.0,0.0,18789.847823450855,0.0,0.0,0.0,18789.847823450855
t25,0.0,0.0,18130.847823450855,0.0,0.0,0.0,18130.847823450855
t26,0.0,0.0,3771.1521765491457,0.0,0.0,7021.847823450854,10793.0
t27,0.0,0.0,17696.84782345085,0.0,0.0,0.0,17696.84782345085
t28,0.0,0.0,17736.84782345085,0.0,0.0,0.0,17736.84782345085
t29,0.0,0.0,11842.112980130294,0.0,0.0,3141.36742166028,14983.480401790574
t30,0.0,0.0,19238.847823450855,0.0,0.0,0.0,19238.847823450855
t31,0.0,0.0,21244.847823450855,0.0,0.0,0.0,21244.847823450855
t32,0.0,1430.2782170223975,6930.873959526748,0.0,0.0,7021.847823450854,15383.0
t33,0.0,9983.126071777591,7265.293489014304,0.0,0.0,2634.7141313294806,19883.133692121377
t34,0.0,14377.598605374671,8155.249218076181,0.0,0.0,0.0,22532.84782345085
t35,0.0,11024.718220444796,5063.421633152501,0.0,0.0,3218.853984926778,19306.993838524075
t36,0.0,6943.0482607588565,1406.1039157902906,0.0,0.0,7021.847823450854,15371.0
t37,0.0,5202.918726044424,2886.2334505047234,0.0,0.0,7021.847823450854,15111.0
t38,0.0,4701.054819324085,17269.79300412677,0.0,0.0,0.0,21970.84782345085
t39,0.0,5042.966455842615,16124.97067340169,0.0,0.0,296.95534710327246,21464.89247634758
t40,0.0,2656.1437092297424,5111.008467319404,0.0,0.0,7021.847823450854,14789.0
t41,0.0,0.0,8763.152176549147,0.0,0.0,7021.847823450854,15785.0
t42,0.0,0.0,24145.44908377682,0.0,0.0,1.1993698370167394,24146.648453613838
t43,0.0,0.0,10062.152176549147,0.0,0.0,7021.847823450854,17084.0
t44,0.0,0.0,23647.84782345085,0.0,0.0,0.0,23647.84782345085
t45,0.0,0.0,22981.847823450855,0.0,0.0,0.0,22981.847823450855
t46,0.0,0.0,21884.847823450855,0.0,0.0,0.0,21884.847823450855
t47,0.0,0.0,6443.152176549146,0.0,0.0,7021.847823450854,13465.0
t48,0.0,0.0,5206.152176549146,0.0,0.0,7021.847823450854,12228.0
t49,0.0,0.0,18326.478158594477,0.0,0.0,56.184832428188614,18382.662991022666
t50,0.0,0.0,3990.152176549147,0.0,0.0,7021.847823450854,11012.0
t51,0.0,0.0,16107.098427648254,0.0,0.0,852.8746979013002,16959.973125549554
t52,0.0,0.0,16500.68473213539,0.0,0.0,648.0815456577318,17148.766277793122
t53,0.0,0.0,17412.2046036059,0.0,0.0,348.3216099224764,17760.526213528377
t54,0.0,0.0,9961.448178146851,0.0,0.0,4588.199822652001,14549.648000798852
t55,0.0,0.0,18267.88805259737,0.0,0.0,1410.479885426743,19678.367938024112
t56,0.0,1446.64940268397,6641.502773865175,0.0,0.0,7021.847823450854,15110.0
t57,0.0,10010.418310108698,0.0,0.0,0.0,6088.214756671077,16098.633066779776
t58,0.0,15138.162696192068,0.0,0.0,0.0,3562.3425636293923,18700.50525982146
t59,0.0,12671.415030718957,9175.875192890362,0.0,0.0,210.7787999207673,22058.06902353009
t60,0.0,10824.259921820149,0.0,0.0,0.0,5648.793950815352,16473.0538726355
t61,0.0,11279.292728914183,10593.555094536672,0.0,0.0,0.0,21872.847823450855
t62,0.0,12549.977430137178,9195.870393313675,0.0,0.0,0.0,21745.84782345085
t63,0.0,10898.63646652779,4276.503387069507,0.0,0.0,3218.853984926778,18393.993838524075
t64,0.0,4479.731446216307,10794.408407380992,0.0,0.0,3218.853984926778,18492.993838524075
t65,0.0,283.19734954733923,15953.94250404996,0.0,0.0,3218.853984926778,19455.993838524075
t66,0.0,0.0,9724.152176549145,0.0,0.0,7021.847823450854,16746.0
t67,0.0,0.0,9602.152176549145,0.0,0.0,7021.847823450854,16624.0
t68,0.0,0.0,23233.84782345085,0.0,0.0,0.0,23233.84782345085
t69,0.0,0.0,22624.847823450855,0.0,0.0,0.0,22624.847823450855
t70,0.0,0.0,7553.152176549146,0.0,0.0,7021.847823450854,14575.0
t71,0.0,0.0,6197.152176549146,0.0,0.0,7021.847823450854,13219.0
t72,0.0,0.0,19061.847823450855,0.0,0.0,0.0,19061.847823450855
t73,0.0,0.0,4272.152176549147,0.0,0.0,7021.847823450854,11294.0
t74,0.0,0.0,14256.696414767523,0.0,0.0,1842.0757043416654,16098.772119109188
t75,0.0,0.0,3724.152176549147,0.0,0.0,7021.847823450854,10746.0
t76,0.0,0.0,3773.1521765491466,0.0,0.0,7021.847823450854,10795.0
t77,0.0,0.0,18154.84782345085,0.0,0.0,0.0,18154.84782345085
t78,0.0,0.0,19267.847823450855,0.0,0.0,0.0,19267.847823450855
t79,0.0,0.0,14687.891712219343,0.0,0.0,3270.9780556157552,17958.869767835098
t80,0.0,1856.9186490415384,19386.169782061635,0.0,0.0,512.3796961738396,21755.468127277014
t81,0.0,11521.606378053326,10747.241445397529,0.0,0.0,0.0,22268.847823450855
t82,0.0,15255.384422790343,0.0,0.0,0.0,3461.2317003302555,18716.6161231206
t83,0.0,11847.804129958582,0.0,0.0,0.0,5138.021846746135,16985.825976704717
t84,0.0,9368.898660670728,9627.854329273037,0.0,0.0,1503.0474167535442,20499.800406697308
t85,0.0,9121.59969034936,8236.442553248855,0.0,0.0,2216.902789926319,19574.945033524535
t86,0.0,9884.34975318818,7534.134429153708,0.0,0.0,2144.6818205544823,19563.166002896374
t87,0.0,10167.981357551316,0.0,0.0,0.0,5699.433232949768,15867.414590501085
t88,0.0,3988.4550989666745,7482.5509314751125,0.0,0.0,5097.420896504534,16568.426926946322
