,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.2160905403145632e8,2.380316638539102e7,-2.8122833631133065e7,0.0,0.0,0.0,0.0,0.0,0.0,-1.1728938678571427e8
t1,4928.199784482458,5599.800215517543,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10528.0
t2,7969.104260311539,2109.8957396884616,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10079.0
t3,12194.936893424112,0.0,-2380.9368934241115,0.0,-0.0,0.0,0.0,0.0,0.0,-9814.0
t4,15789.680577323517,487.5836230636681,-6534.264200387185,0.0,-0.0,0.0,0.0,0.0,0.0,-9743.0
t5,16838.847823450855,0.0,-7021.847823450854,0.0,-0.0,0.0,0.0,0.0,0.0,-9817.0
t6,3081.152176549146,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10103.0
t7,17676.84782345085,0.0,-7021.847823450854,0.0,-0.0,0.0,0.0,0.0,0.0,-10655.0
t8,18255.847823450855,0.0,-7021.847823450854,0.0,-0.0,0.0,0.0,0.0,0.0,-11234.0
t9,16957.563565761437,1052.1421288447082,-5969.705694606146,0.0,-0.0,0.0,0.0,0.0,0.0,-12040.0
t10,5642.152176549146,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12664.0
t11,20079.847823450855,0.0,-7021.847823450854,0.0,-0.0,0.0,0.0,0.0,0.0,-13058.0
t12,20325.847823450855,0.0,-7021.847823450854,0.0,-0.0,0.0,0.0,0.0,0.0,-13304.0
t13,6324.152176549147,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13346.0
t14,19823.752007029758,234.54790821054817,-6787.299915240305,0.0,-0.0,0.0,0.0,0.0,0.0,-13271.0
t15,17113.84115166221,1566.5033358943213,-5455.344487556532,0.0,-0.0,0.0,0.0,0.0,0.0,-13225.0
t16,14547.649063795792,2942.599379827531,-4079.2484436233226,0.0,-0.0,0.0,0.0,0.0,0.0,-13411.0
t17,14062.642645967173,3760.10258874184,-3261.7452347090134,0.0,-0.0,0.0,0.0,0.0,0.0,-14561.0
t18,14818.967163446916,3979.940330001969,-3041.9074934488845,0.0,-0.0,0.0,0.0,0.0,0.0,-15757.0
t19,16957.77281731123,2898.537503069812,-4123.3103203810415,0.0,-0.0,0.0,0.0,0.0,0.0,-15733.0
t20,8304.152176549147,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15326.0
t21,7772.152176549147,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14794.0
t22,6900.152176549147,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13922.0
t23,6963.906550202143,6415.470636624355,-606.3771868264982,0.0,-0.0,0.0,0.0,0.0,0.0,-12773.0
